databaseId	name	imageUrl	cardBack	type	set	faction	cost	costType	cancel	cancelType	wealth	attack	parry	cannon	sailing	adventuring	influence	swashbuckling	crewMax	moveCost	rarity	text	loadGroupId
158a0582-05a7-456d-a1e7-213772ef04fc	Alesio's Sacrifice	7th-sea/horizons-edge/7thSea-HorizonsEdge-AlesiosSacrifice.jpg	default	Attachment	Horizon's Edge							C	d,s								U	CREW ATTACHMENT Fate 1 Knack React: Tack Alesio's Sacrifice after one of your Crew with an Influence cost greater than 3 is sunk. Place the Crew in your discard pile.	playerNDeck
7627de17-56e6-49d9-8889-03995f40ae5d	Allende 's Rescue	7th-sea/horizons-edge/7thSea-HorizonsEdge-AllendeSRescue.jpg	default	Action	Horizon's Edge							D	p,t								C	React: Play when you are entering a Boarding. Tack one of your Crew aligned to your Captain's faction to untack your Captain if your Captain has the Heroic trait.	playerNDeck
45551ade-5162-490d-b76b-cf839fdd873d	Andare de Castillo	7th-sea/horizons-edge/7thSea-HorizonsEdge-AndareDeCastillo.jpg	default	Crew	Horizon's Edge	Castille	3	In				P	c,t	0	2	0	1	1			C	Holy Andare has +2 Influence and +1 Swashbuckling while you have one or more cards in play with the Oath trait.	playerNDeck
2e6a6df2-3a11-4432-b88f-482a9a11d4c3	Andre Braudel (Experienced)	7th-sea/horizons-edge/7thSea-HorizonsEdge-AndreBraudelExperienced.jpg	default	Crew	Horizon's Edge	Gosse's Gentlemen	9	In				P	c,t	3	4	3	2	4			F	Experienced • Unique • First Mate Heroic • Loyal • Swordsman +2 (Andre inflicts 2 extra hits during Boarding Attacks) Act: Tack Andre to suffer 2 fewer Hits from all cannon attacks (minimum 0) until the end of the turn.	playerNDeck
810ceca9-9cfc-4f71-990e-f639c29168f9	Benny Gimble	7th-sea/horizons-edge/7thSea-HorizonsEdge-BennyGimble.jpg	default	Crew	Horizon's Edge	Sea Dogs	7	In				P	c,t	0	2	3	2	1			R	Experienced • Unique • Loyal Glamour 2 React: Discard an Attachment attached to Benny when you are suffering Hits to reduce the Hits suffered by 2.	playerNDeck
5947eeef-7cc9-48fb-9eca-f2b992b384a3	Blink Attack	7th-sea/horizons-edge/7thSea-HorizonsEdge-BlinkAttack.jpg	default	Adventure	Horizon's Edge							T	c,s								U	1 Sea Away To Complete: Tack one of your Sorcerers with Porte of 1 or more. Crew Attachment • Porte 1 Knack: Act: Tack this Crew to target another player's untacked, non-Captain Crew. Play a card out of your hand as a Boarding Attack to begin a Duel between this Crew and the target Crew.	playerNDeck
3bcbddc1-d690-4f27-94be-1f8aa0a89b7f	Bones of Our Ancestors	7th-sea/horizons-edge/7thSea-HorizonsEdge-BonesOfOurAncestors.jpg	default	Attachment	Horizon's Edge		4	In				C	d,s								R	VESTEN CAPTAIN ATTACHMENT Patron • You may tack one of your Laerdom Sorcerers when attaching this card to your Captain to reduce the Influence cost of this card to 0. React: Tack this card when you inflict Hits on another Ship in this Sea. That Ship suffers 3 additional Hits.	playerNDeck
e8448fdb-90cf-4677-bf7e-3de7efa9e08a	Cathwulf Vogt	7th-sea/horizons-edge/7thSea-HorizonsEdge-CathwulfVogt.jpg	default	Crew	Horizon's Edge	Montaigne	8	In				P	c,t	4	2	2	1	3			R	Experienced • Unique Gunner Attachments which increase Cathwulf's Cannon skill each provide an addtional +1 Cannon.	playerNDeck
a50c2ac2-d318-47c2-8ba1-48cbaf717004	Connor Lynch	7th-sea/horizons-edge/7thSea-HorizonsEdge-ConnorLynch.jpg	default	Crew	Horizon's Edge	Gosse's Gentlemen	6	In				P	c,t	2	0	2	0	4			R	Experienced • Unique • Heroic Swordsman +1 (Connor inflicts 1 extra hit during Boarding Attacks) During a Boarding, Connor has a bonus to his Swashbuckling equal to the number of Crew on the other Ship with an Influence cost less than 3.	playerNDeck
6a87c564-918e-4c6e-8a22-d8793fa77c9c	Daring Fools	7th-sea/horizons-edge/7thSea-HorizonsEdge-DaringFools.jpg	default	Crew	Horizon's Edge	Sea Dogs	3	In				P	c,t	1	0	2	1	2			U	Loyal • No Attachments Act: Tack and sink the Daring Fools to draw 2 cards from your deck. You may only use this ability if you have no cards in your hand.	playerNDeck
