databaseId	name	imageUrl	cardBack	type	set	culture	element	traits	initiative	life	speed	experience	damage	setNumbers	text	loadGroupId
set1_01-091	Achilles	anachronism/set1/Anachronism-Set1-Achilles.jpg	default	Warrior	set1	greek	fire	warrior/male	0	8	3	9	1	91	Iroiki Taxitita - Action: Move one space diagonally.	playerNWarrior
set1_01-001	Alexander the Great	anachronism/set1/Anachronism-Set1-AlexanderTheGreat.jpg	default	Warrior	set1	greek	fire	warrior/male	0	8	3	4	1	1	Kataktas: Your attacks deal +1 damage against warriors with more life than you.	playerNWarrior
set1_01-028	Amaterasu	anachronism/set1/Anachronism-Set1-Amaterasu.jpg	default	Inspiration	set1	japanese	wind	inspiration/deity	7	0	0	0	0	28	Hikarimono - Reveal: At the beginning of this round, if you have less life than all other warriors, you gain +1 speed for this round.	playerNPool
set1_01-076	Amazonia	anachronism/set1/Anachronism-Set1-Amazonia.jpg	default	Warrior	set1	roman	water	warrior/female	0	6	3	9	1	76	Utriusque Manus Compos: You may use up to two weapons.	playerNWarrior
set1_01-082	Apollo	anachronism/set1/Anachronism-Set1-Apollo.jpg	default	Inspiration	set1	roman	fire	inspiration/deity	5	0	0	0	0	82	Cura Dei - Reveal: Your attack rolls gain +1 this round.	playerNPool
set1_01-094	Armor of Hephaestus	anachronism/set1/Anachronism-Set1-ArmorOfHephaestus.jpg	default	Armor	set1	greek		armor/torso	5	0	0	0	0	94	Eulogimeni Panoplia: Once per round, when you attack, you may make your enemy re-roll their defense roll. Discard this card if the result is lower than their original roll.	playerNPool
set1_01-067	Bear Sark	anachronism/set1/Anachronism-Set1-BearSark.jpg	default	Armor	set1	norse		armor/torso	5	0	0	0	0	67	Bjorn: Once per round, when you are attacked, force the attacker to re-roll their attack roll. Discard this card if the result is lower than their original roll.	playerNPool
set1_01-015	Belt of Hippolyte	anachronism/set1/Anachronism-Set1-BeltOfHippolyte.jpg	default	Special	set1	greek		special/item	4	0	0	0	0	15	Zoni Dexiotexnias: You gain +4 experience.	playerNPool
set1_01-052	Beowulf	anachronism/set1/Anachronism-Set1-Beowulf.jpg	default	Warrior	set1	norse		warrior/male	0	7	3	6	1	52	Tenacity: During their turns, opposing warriors must spend an additional action to move out of a space in any of your attack grids.	playerNWarrior
set1_01-068	Berserkergangr	anachronism/set1/Anachronism-Set1-Berserkergangr.jpg	default	Special	set1	norse		special/ability	7	0	0	0	0	68	Vrede: Your attacks deal +1 damage. You take 1 damage after each of your attacks.	playerNPool
set1_01-034	Bishamon-ten	anachronism/set1/Anachronism-Set1-BishamonTen.jpg	default	Inspiration	set1	japanese	fire	inspiration/deity	2	0	0	0	0	34	Hogosha: All warriors' attack rolls gain +1.	playerNPool
set1_01-097	Blossius of Cumae	anachronism/set1/Anachronism-Set1-BlossiusOfCumae.jpg	default	Inspiration	set1	roman	water	inspiration/philosophy	0	0	0	0	0	97	Primus ultimus erit, atque ultimus primus: If you are a metal warrior, resolve initiative from lowest to highest this challenge.	playerNPool
set1_01-027	Bokken	anachronism/set1/Anachronism-Set1-Bokken.jpg	default	Weapon	set1	japanese		weapon/sword(1 hand)	8	0	0	0	1	27	Precision: Once per turn, you may re-roll one die on an attack roll. Pair: You may use two "Bokken" cards in this game.	playerNPool
set1_01-005	Bucephalus	anachronism/set1/Anachronism-Set1-Bucephalus.jpg	default	Special	set1	greek		special/cavalry	6	0	0	0	0	5	Strategike Thesis: Once per round, after you make an attack, you may move one space.	playerNPool
set1_01-054	Byrnies	anachronism/set1/Anachronism-Set1-Byrnies.jpg	default	Armor	set1	norse		armor/torso	4	0	0	0	0	54	Stalwart - Reveal: Add +2 to your defensive rolls for this round.	playerNPool
set1_01-074	Caesar's Greaves	anachronism/set1/Anachronism-Set1-CaesarsGreaves.jpg	default	Armor	set1	roman		armor/legs	3	0	0	0	0	74	Tutela Crusibus: After you roll doubles on a defense roll, gain 1 life.	playerNPool
