databaseId	name	imageUrl	cardBack	type	action	clues	cluesFixed	code	concealed	concealedId	cost	deckbuilderQuantity	doom	encounterNumber	encounterSet	enemyDamage	enemyEvade	enemyFight	enemyHorror	exceptional	faction	free	hasBonded	health	healthPerInvestigator	myriad	numberInPack	packName	parallelContent	permanent	reaction	sanity	setUuid	shroud	side	skillAgility	skillCombat	skillIntellect	skillWild	skillWillpower	stage	starting	subtype	tabooId	tabooName	tabooXp	text	traits	unique	uses	vengeance	victoryPoints	xp
01000	Random Basic Weakness	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-RandomBasicWeakness.webp	Player Card	Treachery	0		0	01000	0			1								0	Neutral.	0	0		0	0	1000	Core Set	0	0	0		core									0	Basic Weakness	0	None	0			0				
01001	Roland Banks: The Fed	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-RolandBanksTheFed.webp	multi_sided	Investigator	0		0	01001	0			1								0	Guardian.	0	0	9	0	0	1	Core Set	1	0	1	5	core		A	2	4	3		3		0		0	None	0	[reaction] After you defeat an enemy: Discover 1 clue at your location. (Limit once per round.)  [elder_sign] effect: +1 for each clue on your location.	Agency. Detective.	1				
01001	Roland Banks: The Fed	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-RolandBanksTheFed-2.webp	multi_sided	Investigator	0		0	01001	0			1								0	Guardian.	0	0		0	0	1	Core Set	1	0	0		core		B							0		0	None	0	<b>Deck Size</b>: 30.  <b>Deckbuilding Options</b>: Guardian cards ([guardian]) level 0-5, Seeker cards ([seeker]) level 0-2, Neutral cards level 0-5.  <b>Deckbuilding Requirements</b> (do not count toward deck size): Roland's .38 Special, Cover Up, 1 random basic weakness.		1				
0100190024	Roland Banks: The Fed	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-RolandBanksTheFed.webp	multi_sided	Investigator	0		0	0100190024	0			1								0	Guardian.	0	0	9	0	0	1	Core Set / By the Book	1	0	1	5	btb		A	2	4	3		3		0		0	None	0	[reaction] After you defeat an enemy: Discover 1 clue at your location. (Limit once per round.)  [elder_sign] effect: +1 for each clue on your location.	Agency. Detective.	1				
0100190024	Roland Banks: The Fed	arkham-horror-living-card-game/core-set-by-the-book/ArkhamHorrorLivingCardGame-CoreSetByTheBook-RolandBanksTheFed.webp	multi_sided	Investigator	0		0	0100190024	0			1								0	Guardian.	0	0		0	0	24	Core Set / By the Book	1	0	0		btb		B							0		0	None	0	<b>Deck size</b>: 30.  <b>Deckbuilding Options</b>: Guardian cards ([guardian]) level 0-3, [[Insight]] cards level 0-3, [[Tactic]] cards level 0-3, Neutral cards level 0-5.  <b>Deckbuilding Requirements</b> (do not count toward deck size): Roland's .38 Special, Cover Up, 1 random basic weakness.  <b>Bonus Experience</b>: You begin the campaign with 5 additional experience (does not affect the number of weakneses you must take in Standalone Mode).		1				
01002	Daisy Walker: The Librarian	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-DaisyWalkerTheLibrarian.webp	multi_sided	Investigator	1		0	01002	0			1								0	Seeker.	0	0	5	0	0	2	Core Set	1	0	0	9	core		A	2	2	5		3		0		0	None	0	You may take an additional action during your turn, which can only be used on [[Tome]] [action] abilities.  [elder_sign] effect: +0. If you succeed, draw 1 card for each [[Tome]] you control.	Miskatonic.	1				
01002	Daisy Walker: The Librarian	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-DaisyWalkerTheLibrarian-2.webp	multi_sided	Investigator	0		0	01002	0			1								0	Seeker.	0	0		0	0	2	Core Set	1	0	0		core		B							0		0	None	0	<b>Deck Size</b>: 30.  <b>Deckbuilding Options</b>: Seeker cards ([seeker]) level 0-5, Mystic cards ([mystic]) level 0-2, Neutral cards level 0-5.  <b>Deckbuilding Requirements</b> (do not count toward deck size): Daisy's Tote Bag, The Necronomicon (John Dee Translation), 1 random basic weakness.		1				
0100290001	Daisy Walker: The Librarian	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-DaisyWalkerTheLibrarian.webp	multi_sided	Investigator	1		0	0100290001	0			1								0	Seeker.	0	0	5	0	0	2	Core Set / Read or Die	1	0	0	9	rod		A	2	2	5		3		0		0	None	0	You may take an additional action during your turn, which can only be used on [[Tome]] [action] abilities.  [elder_sign] effect: +0. If you succeed, draw 1 card for each [[Tome]] you control.	Miskatonic.	1				
0100290001	Daisy Walker: The Librarian	arkham-horror-living-card-game/core-set-read-or-die/ArkhamHorrorLivingCardGame-CoreSetReadOrDie-DaisyWalkerTheLibrarian.webp	multi_sided	Investigator	0		0	0100290001	0			1								0	Seeker.	0	0		0	0	1	Core Set / Read or Die	1	0	0		rod		B							0		0	None	0	<b>Deck size</b>: 30.  <b>Deckbuilding Options</b>: [[Tome]] cards level 0-5, Seeker cards ([seeker]) level 0-3, Neutral cards level 0-5, up to five other level 0 Guardian and/or Mystic cards ([guardian] and/or [mystic]).  <b>Deckbuilding Requirements</b> (do not count toward deck size): Daisy's Tote Bag, The Necronomicon (John Dee Translation), 1 random basic weakness.		1				
01003	"Skids" O'Toole: The Ex-Con	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-SkidsOTooleTheExCon.webp	multi_sided	Investigator	0		0	01003	0			1								0	Rogue.	1	0	8	0	0	3	Core Set	1	0	0	6	core		A	4	3	3		2		0		0	None	0	[fast] During your turn, spend 2 resources: You may take an additional action this turn. (Limit once per turn.)  [elder_sign] effect: +2. If you succeed, gain 2 resources.	Criminal.	1				
01003	"Skids" O'Toole: The Ex-Con	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-SkidsOTooleTheExCon-2.webp	multi_sided	Investigator	0		0	01003	0			1								0	Rogue.	0	0		0	0	3	Core Set	1	0	0		core		B							0		0	None	0	<b>Deck Size</b>: 30.  <b>Deckbuilding Options</b>: Rogue cards ([rogue]) level 0-5, Guardian cards ([guardian]) level 0-2, Neutral cards level 0-5.  <b>Deckbuilding Requirements</b> (do not count toward deck size): On the Lam, Hospital Debts, 1 random basic weakness.		1				
0100390008	"Skids" O'Toole: The Ex-Con	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-SkidsOTooleTheExCon.webp	multi_sided	Investigator	0		0	0100390008	0			1								0	Rogue.	1	0	8	0	0	3	Core Set / All or Nothing	1	0	0	6	aon		A	4	3	3		2		0		0	None	0	[fast] During your turn, spend 2 resources: You may take an additional action this turn. (Limit once per turn.)  [elder_sign] effect: +2. If you succeed, gain 2 resources.	Criminal.	1				
0100390008	"Skids" O'Toole: The Ex-Con	arkham-horror-living-card-game/core-set-all-or-nothing/ArkhamHorrorLivingCardGame-CoreSetAllOrNothing-SkidsOTooleTheExCon.webp	multi_sided	Investigator	0		0	0100390008	0			1								0	Rogue.	0	0		0	0	8	Core Set / All or Nothing	1	0	0		aon		B							0		0	None	0	<b>Deck size</b>: 25.  <b>Deckbuilding Options</b>: Rogue cards ([rogue]) level 0-5, [[Fortune]] cards level 0-3, [[Gambit]] cards level 0-3, Neutral cards level 0-5.  <b>Deckbuilding Requirements</b> (do not count toward deck size): On the Lam, Hospital Debts, 1 random basic weakness.  <b>Additional Options</b>: When you upgrade a [[Fortune]] or [[Gambit]] card, you may instead pay the full experience cost of the higher level version and leave the lower level version in your deck (it does not count towards your deck size or the number of copies of that card in your deck).		1				
01004	Agnes Baker: The Waitress	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-AgnesBakerTheWaitress.webp	multi_sided	Investigator	0		0	01004	0			1								0	Mystic.	0	0	6	0	0	4	Core Set	1	0	1	8	core		A	3	2	2		5		0		0	None	0	[reaction] After 1 or more horror is placed on Agnes Baker: Deal 1 damage to an enemy at your location. (Limit once per phase.)  [elder_sign] effect: +1 for each horror on Agnes Baker.	Sorcerer.	1				
