databaseId	name	imageUrl	cardBack	type	set	legal	rarity	keywords	alignment	affiliation	cost	asset	attack	armor	structure	speed	mass	armament	text	loadGroupId
AR001	Advanced Manufacturing Techniques	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-AdvancedManufacturingTechniques.jpg	default	Command	Arsenal	4	Common	Resource	Generic		1	L		3	3				{T}: {R} {T}: Add two construction counters to a card under construction that has at least five construction counters on it, or three construction counters to a card that has at least eight construction counters on it. Use this ability only during your Deploy phase. Logistics (If you have Logistics in play, you may restock a card from your hand at the end of your turn.)	playerNStockpile
AR002	Airdropped Supplies	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-AirdroppedSupplies.jpg	default	Command	Arsenal	4	Rare		Generic		1+2P			2	6				{R}, {T}: Add a supply counter to Airdropped Supplies. Use this ability only during your Deploy phase. {T}: Remove a supply counter from Airdropped Supplies to choose a 'Mech you control and roll a die: 1-2: Restock Airdropped Supplies. 3-6: Untap that 'Mech. Use this ability only during your Missions phase but not during a mission.	playerNStockpile
AR003	Bandersnatch (BNDR-01A)	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-BandersnatchBNDR01A.jpg	default	Unit	Arsenal	4	Uncommon	Mech	Inner Sphere	Inner Sphere	5+3L+2M		4	2	7	Slow	75	6 Med Lasers, 15 LRMs, 2 AC/10s	Missile 1 Alpha Strike: +2 attack	playerNStockpile
AR004	Battle Armor Squad	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-BattleArmorSquad.jpg	default	Unit	Arsenal	4	Common	Battle Armor	Inner Sphere	Inner Sphere	1+2L		1	0	3	Slow			Battle Armor (Activates, attacks, guards, and blocks like a 'Mech, and cannot attack or block alone.) AP (Battle Armor Squad deals +1 damage to any target other than a 'Mech.) Attacks or blocks at the speed of the fastest Omni 'Mech in the group accompanying it, if any. You may deploy Battle Armor Squad revealed to make an additional deployment this turn.	playerNStockpile
AR005	Behemoth (Flamer Variant)	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-BehemothFlamerVariant.jpg	default	Unit	Arsenal	4	Uncommon	Vehicle	Inner Sphere	Davion Steiner	4+2L+1M		3	3	7	Slow	100	20 LRMs, 12 SRMs, 2 AC/10s	Missile 1 Alpha Strike: +2 attack Vehicle (If Behemoth (Flamer Variant) is damaged, roll a die. On a 5 or 6, scrap it.) AP (Behemoth deals +1 damage to any target other than a 'Mech.) Behemoth cannot block unless guarding. [Errata]	playerNStockpile
AR006	Berserk Elemental Point	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-BerserkElementalPoint.jpg	default	Unit	Arsenal	4	Uncommon	Battle Armor	Clan	Clan	3+3L		3	0	4	Slow			Battle Armor (Activates, attacks, guards, and blocks like a 'Mech, and cannot attack or block alone.) Jump (-1 attack: +1 initiative) AP (Berserk Elemental Point deals +1 damage to any target other than a 'Mech.) Attacks or blocks at the speed of the fastest Omni 'Mech in the group accompanying it, if any. Choose an engaged 'Mech. If that 'Mech takes structure damage later in the battle, scrap it and Berserk Elemental Point. Use this ability only during battle.	playerNStockpile
AR007	Black Hawk S (Nova)	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-BlackHawkSNova.jpg	default	Unit	Arsenal	4	Uncommon	Mech - Omni	Clan	Clan	9+2A+2T		8	1	7	Moderate	50	6 Med Lasers	Jump (-1 attack: +1 initiative) Anti-missile (Each missile assigned to a 'Mech in a group that includes Black Hawk S deals -1 damage.) AP (Black Hawk S deals +1 damage to any target other than a 'Mech.)	playerNStockpile
AR008	Black Lanner A	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-BlackLannerA.jpg	default	Unit	Arsenal	4	Common	Mech - Omni	Clan	Jade Falcon	7+3A+3T		5	1	7	Fast	55	PPC, 2 Med Lasers	ECM (Each 'Mech in a group that includes at least one 'Mech with ECM gets +1 armor.)	playerNStockpile
AR009	Blitzkrieg Elemental Point	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-BlitzkriegElementalPoint.jpg	default	Unit	Arsenal	1	Uncommon	Battle Armor	Clan	Clan	1+3L		3	0	4	Slow			Battle Armor (Activates, attacks, guards, and blocks like a 'Mech, and cannot attack or block alone.) Jump (-1 attack: +1 initiative) AP (Blitzkrieg Elemental Point deals +1 damage to any target other than a 'Mech.) Attacks or blocks at the speed of the fastest Omni 'Mech in the group accompanying it, if any. Blitzkrieg Elemental Point deals an additional 1 damage to each 'Mech blocking or blocked by it. Use this ability only during battle.	playerNStockpile
AR012	Bulldog	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-Bulldog.jpg	default	Unit	Arsenal	4	Common	Vehicle	Inner Sphere	Inner Sphere	1+1M		3	2	3	Slow	60	Lg Laser, 8 SRMs	Vehicle (If Bulldog is damaged, roll a die. On a 5 or 6, scrap it.) [Errata]	playerNStockpile
