databaseId	name	imageUrl	cardBack	type	packName	set	loadGroupId	rank	suit	cost	upkeep	production	bullets	drawType	influence	control	outfit	keywords	text	dtdbCode
13cdc52f-986e-4f3b-b053-c3261267790d	The Brute	doomtown-reloaded/election-day-slaughter/DoomtownReloaded-ElectionDaySlaughter-TheBrute.jpg	default	Dude	Election Day Slaughter	Election Day Slaughter	playerNDeck	4	Spades	2	0		1	Draw	0		The Fourth Ring	Abomination	When aced to cover casualties in a shootout, reduce the remaining casualties you must cover by 2.	04001
d90e5abe-ed12-4dad-9007-16aa47afa2cc	Smiling Tom	doomtown-reloaded/election-day-slaughter/DoomtownReloaded-ElectionDaySlaughter-SmilingTom.jpg	default	Dude	Election Day Slaughter	Election Day Slaughter	playerNDeck	Q	Spades	7	2		2	Stud	2		The Fourth Ring	Huckster 4	Tom can only move to your home or to a location that has another Fourth Ring dude.	04002
f1012bb4-2429-4ec3-9b89-6ebcb3f94184	Philip Swinford	doomtown-reloaded/election-day-slaughter/DoomtownReloaded-ElectionDaySlaughter-PhilipSwinford.jpg	default	Dude	Election Day Slaughter	Election Day Slaughter	playerNDeck	3	Spades	4	1		1	Draw	2		Law Dogs	Experienced-Deputy	Each time an opposing player reveals an illegal draw hand and you do not, you may draw a card then discard a card.	04003
19fc7ff8-d4da-492f-8a41-7a838490c9e4	Drew Beauman	doomtown-reloaded/election-day-slaughter/DoomtownReloaded-ElectionDaySlaughter-DrewBeauman.jpg	default	Dude	Election Day Slaughter	Election Day Slaughter	playerNDeck	7	Spades	6	0		1	Draw	1		Law Dogs	Mad Scientist 1	Each time a player reveals an illegal draw hand and you do not, Drew may immediately attempt to invent a Gadget without booting (other requirements of inventing must still be met).	04004
95b9d8df-a95d-4b5e-aeed-98f8e99ca5a5	Dr. Arden Gillman	doomtown-reloaded/election-day-slaughter/DoomtownReloaded-ElectionDaySlaughter-DrArdenGillman.jpg	default	Dude	Election Day Slaughter	Election Day Slaughter	playerNDeck	6	Spades	5	1		0	Draw	1		Morgan Cattle Co.	Mad Scientist 1	Shootout Boot: Arden makes a mad scientist skill check against an opposing dude's grit. If successful, send that dude home booted. If successful by 6 or more, ace the dude. If the pull is a spade or a joker, Arden suffers the same fate.	04005
33b97a88-5b7f-4073-8e30-5c66da9060c5	Arvid Mardh	doomtown-reloaded/election-day-slaughter/DoomtownReloaded-ElectionDaySlaughter-ArvidMardh.jpg	default	Dude	Election Day Slaughter	Election Day Slaughter	playerNDeck	9	Spades	6	2		3	Stud	2		Morgan Cattle Co.		React: After Arvid enters play, make a tradin' Noon play.	04006
28c37361-c5ac-4561-b1bc-5f41113e0625	Allie Hensman	doomtown-reloaded/election-day-slaughter/DoomtownReloaded-ElectionDaySlaughter-AllieHensman.jpg	default	Dude	Election Day Slaughter	Election Day Slaughter	playerNDeck	5	Spades	5	2		2	Draw	1		The Sloane Gang	Experienced	Noon Job, Boot: Allie leads a job that marks an opposing dude. If successful, the mark's controller must give you ghost rock equal to the mark's influence. If the player cannot or does not, discard the mark.	04007
cd99ead2-3b50-4989-8331-59f76b5edb0b	Milt Clemons	doomtown-reloaded/election-day-slaughter/DoomtownReloaded-ElectionDaySlaughter-MiltClemons.jpg	default	Dude	Election Day Slaughter	Election Day Slaughter	playerNDeck	8	Spades	6	1		2	Stud	1		The Sloane Gang		Whenever Milt's bounty increases, gain 1 ghost rock.	04008
36c80330-39fc-4fdc-8736-4c8d47758063	Jake Smiley	doomtown-reloaded/election-day-slaughter/DoomtownReloaded-ElectionDaySlaughter-JakeSmiley.jpg	default	Dude	Election Day Slaughter	Election Day Slaughter	playerNDeck	A	Spades	2	0		1	Draw	0		Drifter		Jake has +2 Influence during the Sundown phase.	04009
144991c0-f3f4-4914-a075-ab2093991411	QUATERMAN	doomtown-reloaded/election-day-slaughter/DoomtownReloaded-ElectionDaySlaughter-QUATERMAN.jpg	default	Dude	Election Day Slaughter	Election Day Slaughter	playerNDeck	3	Spades	1	1		1	Stud	0		Drifter	Non-Unique-Gadget-Difficulty 5	Quaterman must be invented by a Mad Scientist like any other gadget. It enters play at the Mad Scientist's location (but does not attach). Quaterman's bullets cannot be modified except by attached goods. Cards cannot move or boot Quaterman.	04010
