databaseId	name	imageUrl	cardBack	type	packName	set	loadGroupId	rank	suit	cost	upkeep	production	bullets	drawType	influence	control	outfit	rarity	ghostRock	text
6de75331-380f-431e-a067-14470bb9d214	Accountant	doomtown/ashes-to-ashes/Doomtown-AshesToAshes-Accountant.jpg	default	Deed	Ashes to Ashes	Ashes to Ashes	playerNDeck	4	D	4		0				0		U		Private. While the Accountant is in play, all Events have a ghost rock cost of 2. If the Event's owner does not pay this ghost rock cost, the Event is aced without effect.
119d7bf6-ad69-46ef-90f3-7f85c9d456d0	Adrian Townsend	doomtown/ashes-to-ashes/Doomtown-AshesToAshes-AdrianTownsend.jpg	default	Dude	Ashes to Ashes	Ashes to Ashes	playerNDeck	4	S	4	0		1	Draw	1		Sweetrock	U		Reaction: Pay 1 ghost rock immediately after Adrian becomes Wanted. Adrian Townsend becomes un-Wanted.
664798cd-a76a-4394-9e3a-2bba82a9f63a	Alastor the Executioner	doomtown/ashes-to-ashes/Doomtown-AshesToAshes-AlastorTheExecutioner.jpg	default	Dude	Ashes to Ashes	Ashes to Ashes	playerNDeck	Q	S	7	1		2	Stud	1		Lost Angels	R		Shootout: If your posse contains one of your Blessed dudes, Alastor moves to the shootout's location (if necessary) and joins the posse.
0affb5be-0b74-4aef-8292-5d1a016840eb	Anahuac Staff	doomtown/ashes-to-ashes/Doomtown-AshesToAshes-AnahuacStaff.jpg	default	Good	Ashes to Ashes	Ashes to Ashes	playerNDeck	Q	H	2								C		Mystical. Weapon. Reaction: After another player's Event resolves, the Anahuac Staff gains a permanent +1 Bullet bonus.
131a0de9-7c10-40a0-9668-9f7724115ddf	Army of the Dead	doomtown/ashes-to-ashes/Doomtown-AshesToAshes-ArmyOfTheDead.jpg	default	Dude	Ashes to Ashes	Ashes to Ashes	playerNDeck	2	S	1	1		1	Draw	0		Drifters	C		Harrowed. Army of the Dead may not be targeted by Harrowed Ability cards.
761ae0ec-22eb-48a1-aa25-6d8cc61e2e90	Art Gallery	doomtown/ashes-to-ashes/Doomtown-AshesToAshes-ArtGallery.jpg	default	Deed	Ashes to Ashes	Ashes to Ashes	playerNDeck	9	D	2		0				0		U		Private. Government. Dudes in the Art Gallery have their Upkeep cost reduced by 1.
d5b008b3-cd6b-4a84-9453-09931033e7a7	Astoreth Whateley	doomtown/ashes-to-ashes/Doomtown-AshesToAshes-AstorethWhateley.jpg	default	Dude	Ashes to Ashes	Ashes to Ashes	playerNDeck	7	S	3	0		1	Draw	1		Whateleys	U		Reaction: Boot Astoreth when you bring an Abomination into play from your Play hand. The ghost rock cost of the Abomination is reduced by Astoreth's Influence. Reaction: Boot Astoreth at the beginning of the Upkeep phase and target one of your Abominations. The Upkeep cost of the Abomination is reduced by Astoreth's Influence.
d8516731-d4ad-4e0a-88cf-43926e4f5bf8	Astoreth's Rage	doomtown/ashes-to-ashes/Doomtown-AshesToAshes-AstorethsRage.jpg	default	Spell	Ashes to Ashes	Ashes to Ashes	playerNDeck	Q	H	0								U		Noon Spirit 7: If this Spirit succeeds, players may only discard one card during Nightfall this turn (events are not automatically discarded).
56809620-f176-4f92-805d-35142b724649	Bad Blood	doomtown/ashes-to-ashes/Doomtown-AshesToAshes-BadBlood.jpg	default	Spell	Ashes to Ashes	Ashes to Ashes	playerNDeck	J	H	0								R		Noon Hex 8: Target the highest value Dude controlled by another player. If this Hex succeeds, ace this Hex, and the target Dude is cursed: the next player to ace the Dude with an action or in a shootout gains 1 Victory Point.
a212930e-9b24-4244-afd4-effb05a477ab	Barthalomew Prospectus	doomtown/ashes-to-ashes/Doomtown-AshesToAshes-BarthalomewProspectus.jpg	default	Dude	Ashes to Ashes	Ashes to Ashes	playerNDeck	7	S	7	2		0	Draw	3		Texas Rangers	R		Experienced.  Reaction: Boot Barthalomew immediately before the Nightfall phase. You may perform one additional Noon action. You may not use this action to put a Deed into play.
b6407902-b7e3-413b-a726-ec98f222c163	Billy Iron Horse	doomtown/ashes-to-ashes/Doomtown-AshesToAshes-BillyIronHorse.jpg	default	Dude	Ashes to Ashes	Ashes to Ashes	playerNDeck	7	S	6	0		1	Draw	2		Sioux	R		Experienced.  Noon: Move Billy from one out-of-town Deed to another. Noon: Move Billy from one out-of-town Deed to another.
3c7e3902-4159-4e7b-9e68-5128f4d54b96	Bleeding Vein	doomtown/ashes-to-ashes/Doomtown-AshesToAshes-BleedingVein.jpg	default	Deed	Ashes to Ashes	Ashes to Ashes	playerNDeck	1	D	9		2				2		R		Private. Strike. At the end of Nightfall, boot all Dudes at the Bleeding Vein.
606f0bfa-3f35-4c13-bfbb-baf578c9ec13	Blood Money	doomtown/ashes-to-ashes/Doomtown-AshesToAshes-BloodMoney.jpg	default	Good	Ashes to Ashes	Ashes to Ashes	playerNDeck	10	H	2				Draw	1			C		This Dude is Wanted while Blood Money is attached.
6ff73985-13d8-45b5-a7f9-87182e2a61e0	Brigadier-General Patterson	doomtown/ashes-to-ashes/Doomtown-AshesToAshes-BrigadierGeneralPatterson.jpg	default	Dude	Ashes to Ashes	Ashes to Ashes	playerNDeck	J	S	10	3		2	Stud	4		Texas Rangers	F		Noon Pull: Boot Patterson and pay 5 ghost rock to target one of your dudes in Boot Hill that was previously in play. If the pull is less than the dude's value, return the dude to your Home, booted. The Dude gains the harrowed trait, permanently.
7d25fdce-bf2b-421d-9eb5-b97565eaf487	Brimstone	doomtown/ashes-to-ashes/Doomtown-AshesToAshes-Brimstone.jpg	default	Spell	Ashes to Ashes	Ashes to Ashes	playerNDeck	8	H	0								C		Noon Hex 8: Target this or an adjacent location and declare a difficulty for the Hex. If the Hex succeeds, Dudes may not move to the target location until after Nightfall unless the Dude's controller discards a card from his or her Play hand with a value higher than the difficulty.
68ba7af0-7b00-4c16-806e-d00660cb7663	Calm Before The Storm	doomtown/ashes-to-ashes/Doomtown-AshesToAshes-CalmBeforeTheStorm.jpg	default	Event	Ashes to Ashes	Ashes to Ashes	playerNDeck	10	H	0								C		Until after Nightfall, any Dude calling out another Dude must boot to do so.
9aaaccc8-a833-4ad6-865e-0b84b6e5014c	Candlestick Maker	doomtown/ashes-to-ashes/Doomtown-AshesToAshes-CandlestickMaker.jpg	default	Deed	Ashes to Ashes	Ashes to Ashes	playerNDeck	8	D	2		1				0		C		Private.
dd6236fc-4fdd-4588-8d73-bdd7904ad169	Cerulean Cove Mining Operation	doomtown/ashes-to-ashes/Doomtown-AshesToAshes-CeruleanCoveMiningOperation.jpg	default	Deed	Ashes to Ashes	Ashes to Ashes	playerNDeck	4	D	10		5				3		R		Private. Strike.
e1f6a216-e9bf-4b53-935a-799608b9afd8	Chupacabra	doomtown/ashes-to-ashes/Doomtown-AshesToAshes-Chupacabra.jpg	default	Dude	Ashes to Ashes	Ashes to Ashes	playerNDeck	2	S	4	1		1	Draw	0		Drifters	R		Abomination. Chupacabra's value cannot be changed except with the ability below. Reaction: When another player's Dude goes to Boot Hill from this location, increase Chupacabra's value by 1, permanently (maximum King). This can be used once per Dude aced at this location. Noon: Target a Dude at this location. If the Fear level and Chupacabra's value are both greater than the Dude's value, ace the Dude.
2ddb7d16-2753-49e0-9a00-e96df6c5ad36	Close Shave	doomtown/ashes-to-ashes/Doomtown-AshesToAshes-CloseShave.jpg	default	Action	Ashes to Ashes	Ashes to Ashes	playerNDeck	4	C	2								U		Reaction: Target one of your Dudes when he or she is aced outside of a shootout. The Dude is not aced, but goes home booted instead.
