databaseId	name	imageUrl	cardBack	type	AWA	FIT	FOC	SPI	UncommonWisdom	conflict	conflict_number	connectedLocations	connectedPaths	connection	connection_number	cost	deck_limit	equip_value	exploration	exploration_number	flavor	generic_token	harm	harm_threshold	illustrator	packName	pack_code	pack_name	pivotal	position	presence	progress	progress_threshold	quantity	reason	reason_number	reveal	scaleGenericTokenPerPlayer	scaleHarmThresholdPerPlayer	scaleProgressThresholdPerPlayer	set	sphere_code	sphere_cost	sphere_name	text	traits	type_code	white_large_square	white_square_button
00001	Challenge1	earthborne-rangers/core/EarthborneRangers-Core-Challenge1.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		1 of 24											Challenge						challenge		
00002	Challenge2	earthborne-rangers/core/EarthborneRangers-Core-Challenge2.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		2 of 24											Challenge						challenge		
00003	Challenge3	earthborne-rangers/core/EarthborneRangers-Core-Challenge3.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		3 of 24											Challenge						challenge		
00004	Challenge4	earthborne-rangers/core/EarthborneRangers-Core-Challenge4.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		4 of 24											Challenge						challenge		
00005	Challenge5	earthborne-rangers/core/EarthborneRangers-Core-Challenge5.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		5 of 24											Challenge						challenge		
00006	Challenge6	earthborne-rangers/core/EarthborneRangers-Core-Challenge6.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		6 of 24											Challenge						challenge		
00007	Challenge7	earthborne-rangers/core/EarthborneRangers-Core-Challenge7.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		7 of 24											Challenge						challenge		
00008	Challenge8	earthborne-rangers/core/EarthborneRangers-Core-Challenge8.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		8 of 24											Challenge						challenge		
00009	Challenge9	earthborne-rangers/core/EarthborneRangers-Core-Challenge9.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		9 of 24											Challenge						challenge		
00010	Challenge10	earthborne-rangers/core/EarthborneRangers-Core-Challenge10.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		10 of 24											Challenge						challenge		
