databaseId	name	imageUrl	cardBack	type	packName	set	loadGroupId	rarity	cost	klass	traits	range	attack	support	text
AD01_AD01-001v2.jpg	Eldigan, Bahara Academy Standout	fe-cipher/ad01/FeCipher-AD01-EldiganBaharaAcademyStandout.png	default	Yellow	AD01	AD01	playerNDeck	Custom	1	Cavalier	Male/Sword/Beast	1	40	10	Inheritor of the Demon Sword |AUTO| When this unit’s attack destroys an enemy, you may choose 1 of your Orbs, and look at it. / |ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack.
AD01_AD01-002v2.jpg	Eldigan, Torn Warrior	fe-cipher/ad01/FeCipher-AD01-EldiganTornWarrior.png	default	Yellow	AD01	AD01	playerNDeck	Custom	3(2)	Paladin	Male/Sword/Beast	1	60	10	"I’ll risk my life to save the Fatherland." |CONT| During your turn, if you have 3 or fewer Orbs, this unit gains +10 attack. / Honor for Duty |AUTO| [Once Per Turn] [Send 1 card from your hand to the Retreat Area] When this unit is destroyed, you may pay the cost and if you do: Choose 1 "Eldigan" from your Retreat Area, and add it to your hand.
AD01_AD01-003v2.jpg	Eldigan, Heir of Crusader Hezul	fe-cipher/ad01/FeCipher-AD01-EldiganHeirOfCrusaderHezul.png	default	Yellow	AD01	AD01	playerNDeck	Custom	5(4)	Paladin	Male/Sword/Beast	1	70	10	Leonine Bloodline |AUTO| At the start of your turn, you may place 1 of your Orbs into your Bond Area. If you do, choose 1 of your <Yellow> <Beast> Bond cards, and deploy it. / Fury of the Mystletainn |ACT| [Once Per Turn] If you have 2 or fewer Orbs, until the end of your opponent's next turn, all allies who are both <Yellow> and <Beast> gain +10 attack. If you have 1 or fewer Orbs, choose 1 of your <Yellow> <Beast> Bond cards, and deploy it. If you have no Orbs, until the end of your opponent's next turn, this unit gains +20 attack, and cannot be destroyed by the cost or effect of skills. This skill can only be used if you have an "Eldigan" Bond card.
AD01_AD01-003+v2.jpg	Eldigan, Heir of Crusader Hezul+	fe-cipher/ad01/FeCipher-AD01-EldiganHeirOfCrusaderHezul-2.png	default	Yellow	AD01	AD01	playerNDeck	Custom	5(4)	Paladin	Male/Sword/Beast	1	70	10	Leonine Bloodline |AUTO| At the start of your turn, you may place 1 of your Orbs into your Bond Area. If you do, choose 1 of your <Yellow> <Beast> Bond cards, and deploy it. / Fury of the Mystletainn |ACT| [Once Per Turn] If you have 2 or fewer Orbs, until the end of your opponent's next turn, all allies who are both <Yellow> and <Beast> gain +10 attack. If you have 1 or fewer Orbs, choose 1 of your <Yellow> <Beast> Bond cards, and deploy it. If you have no Orbs, until the end of your opponent's next turn, this unit gains +20 attack, and cannot be destroyed by the cost or effect of skills. This skill can only be used if you have an "Eldigan" Bond card.
AD01_AD01-004v2.jpg	Lachesis, Lady of Nordion	fe-cipher/ad01/FeCipher-AD01-LachesisLadyOfNordion.png	default	Yellow	AD01	AD01	playerNDeck	Custom	1	Princess	Female/Sword	1	40	20	[BS] Pride of the Hezul Bloodline |BOND| |AUTO| When this card is placed in the Bond Area, until the end of the turn, allied "Eldigan" gains +10 attack. / |ATK SUPP| Tandem Emblem: Until the end of this combat, your <Yellow> attacking unit gains +10 attack.
AD01_AD01-005v2.jpg	Lachesis, Leonine Battle Maiden	fe-cipher/ad01/FeCipher-AD01-LachesisLeonineBattleMaiden.png	default	Yellow	AD01	AD01	playerNDeck	Custom	4(3)	Master Knight	Female/Sword/Beast	1	70	20	Bequeathed Earth Sword |CONT| If you have 3 or fewer Orbs, this unit acquires <Tome>, range 1-2, and she cannot be destroyed by the cost or effect of skills. / Infallible Love |AUTO| [Flip 2 Bonds face-down] At the start of your turn, you may pay the cost and if you do, add the top card of your Deck into your Orbs. This skill can only trigger if you have no Orbs and if your Main Character is "Lachesis" or "Eldigan". / [BS] The Lionheart's Sister |BOND| |CONT| This card cannot be flipped face-down by the cost or effect of an enemy’s skill.
AD01_AD01-005+v2.jpg	Lachesis, Leonine Battle Maiden+	fe-cipher/ad01/FeCipher-AD01-LachesisLeonineBattleMaiden-2.png	default	Yellow	AD01	AD01	playerNDeck	Custom	4(3)	Master Knight	Female/Sword/Beast	1	70	20	Bequeathed Earth Sword |CONT| If you have 3 or fewer Orbs, this unit acquires <Tome>, range 1-2, and she cannot be destroyed by the cost or effect of skills. / Infallible Love |AUTO| [Flip 2 Bonds face-down] At the start of your turn, you may pay the cost and if you do, add the top card of your Deck into your Orbs. This skill can only trigger if you have no Orbs and if your Main Character is "Lachesis" or "Eldigan". / [BS] The Lionheart's Sister |BOND| |CONT| This card cannot be flipped face-down by the cost or effect of an enemy’s skill.
AD01_AD01-006v2.jpg	Ares, Rogue Black Knight	fe-cipher/ad01/FeCipher-AD01-AresRogueBlackKnight.png	default	Yellow	AD01	AD01	playerNDeck	Custom	2	Cavalier	Male/Sword/Beast	1	50	10	Inherited Demon Blade |AUTO| When this unit is deployed, until the end of this turn, the number of Orbs this unit's attack will destroy becomes 2. / Steadfast |CONT| During your turn, if you have 1 or more Bond cards with the same Unit Name as your Main Character, this unit gains +10 attack.
AD01_AD01-007v2.jpg	Ares, Reawakened Lion	fe-cipher/ad01/FeCipher-AD01-AresReawakenedLion.png	default	Yellow	AD01	AD01	playerNDeck	Custom	4(3)	Paladin	Male/Sword/Beast	1	70	10	Charging Black Knight |AUTO| When this unit is deployed by a skill's effect, until the end of the turn, the number of Orbs this unit's attack will destroy is increased by 1. If you have 3 or fewer Orbs, until the end of the opponent’s next turn, this unit gains +20 attack. / Mysteltainn Reborn |AUTO| [Once Per Turn] [Flip 1 Bond card with the same Unit Name as your Main Character face-down] When this unit's attack fails to destroy an enemy, you may pay the cost and if you do: Untap this unit.
AD01_AD01-007+v2.jpg	Ares, Reawakened Lion+	fe-cipher/ad01/FeCipher-AD01-AresReawakenedLion-2.png	default	Yellow	AD01	AD01	playerNDeck	Custom	4(3)	Paladin	Male/Sword/Beast	1	70	10	Charging Black Knight |AUTO| When this unit is deployed by a skill's effect, until the end of the turn, the number of Orbs this unit's attack will destroy is increased by 1. If you have 3 or fewer Orbs, until the end of the opponent’s next turn this unit gains +20 attack. / Mysteltainn Reborn |AUTO| [Once Per Turn] [Flip 1 Bond card with the same Unit Name as your Main Character face-down] When this unit's attack fails to destroy an enemy, you may pay the cost and if you do: Untap this unit.
AD01_AD01-008v2.jpg	Nanna, Headstrong Princess	fe-cipher/ad01/FeCipher-AD01-NannaHeadstrongPrincess.png	default	Yellow	AD01	AD01	playerNDeck	Custom	3(2)	Paladin	Female/Sword/Beast	1	60	10	"We can save everyone!" |AUTO| [Tap your Main Character, Flip 1 Bond face-down] When this unit is Class Changed into, you may pay the cost and if you do: Choose 1 of your Orbs, and place it in your Bond Area. If you did, choose 1 card from your hand, and add it to your Orbs. / Training put to the Test |CONT| If you have 3 or fewer Orbs, this unit acquires <Tome> and range 1-2.
AD01_AD01-009v2.jpg	Nanna, Heavenly Lioness	fe-cipher/ad01/FeCipher-AD01-NannaHeavenlyLioness.png	default	Yellow	AD01	AD01	playerNDeck	Custom	5(4)	Paladin	Female/Sword/Beast	1	70	10	Valiant Love |AUTO| When this unit is Class Changed into, for every 5 Bonds you have, draw 1 card. / Bloodline of the Demon Sword |CONT| During your turn, if you have 6 or more Bond cards, this unit gains +10 attack and acquires range 1-2. / "Stand and Fight" |AUTO| When you use this unit's "Valiant Love", if you have 1 or fewer Orbs, choose 1 of your Bond cards, and add it to your hand.
