databaseId	name	imageUrl	cardBack	type	rarity	number	packName	set	loadGroupId
One_1_001_R_AshWilliams	Ash Williams	fight-klub/one/FightKlub-One-AshWilliams.jpg	default	Card	Rare	001	One	One	playerNDeck
One_1_002_C_AnEyeOnMyShoulder	An Eye On My Shoulder	fight-klub/one/FightKlub-One-AnEyeOnMyShoulder.jpg	default	Card	Common	002	One	One	playerNDeck
One_1_003_U_AshsChainsaw	Ashs Chainsaw	fight-klub/one/FightKlub-One-AshsChainsaw.jpg	default	Card	Uncommon	003	One	One	playerNDeck
One_1_004_U_IntoMyHand	Into My Hand	fight-klub/one/FightKlub-One-IntoMyHand.jpg	default	Card	Uncommon	004	One	One	playerNDeck
One_1_005_U_NewHand	New Hand	fight-klub/one/FightKlub-One-NewHand.jpg	default	Card	Uncommon	005	One	One	playerNDeck
One_1_006_U_NotLookinForAnyTrouble	Not Lookin For Any Trouble	fight-klub/one/FightKlub-One-NotLookinForAnyTrouble.jpg	default	Card	Uncommon	006	One	One	playerNDeck
One_1_007_U_PitFiend	Pit Fiend	fight-klub/one/FightKlub-One-PitFiend.jpg	default	Card	Uncommon	007	One	One	playerNDeck
One_1_008_U_SomethingDarkInTheWoods	Something Dark In The Woods	fight-klub/one/FightKlub-One-SomethingDarkInTheWoods.jpg	default	Card	Uncommon	008	One	One	playerNDeck
One_1_009_U_TheNecronomicon	The Necronomicon	fight-klub/one/FightKlub-One-TheNecronomicon.jpg	default	Card	Uncommon	009	One	One	playerNDeck
One_1_010_U_ThisIsMyBoomstick	This Is My Boomstick	fight-klub/one/FightKlub-One-ThisIsMyBoomstick.jpg	default	Card	Uncommon	010	One	One	playerNDeck
One_1_011_U_WhoWantsSome	Who Wants Some	fight-klub/one/FightKlub-One-WhoWantsSome.jpg	default	Card	Uncommon	011	One	One	playerNDeck
One_1_012_C_WrongBook	Wrong Book	fight-klub/one/FightKlub-One-WrongBook.jpg	default	Card	Common	012	One	One	playerNDeck
One_1_013_U_YoureGoingDown	Youre Going Down	fight-klub/one/FightKlub-One-YoureGoingDown.jpg	default	Card	Uncommon	013	One	One	playerNDeck
One_1_014_R_ChevChelios	Chev Chelios	fight-klub/one/FightKlub-One-ChevChelios.jpg	default	Card	Rare	014	One	One	playerNDeck
One_1_015_U_Congratulations	Congratulations	fight-klub/one/FightKlub-One-Congratulations.jpg	default	Card	Uncommon	015	One	One	playerNDeck
One_1_016_U_Eve	Eve	fight-klub/one/FightKlub-One-Eve.jpg	default	Card	Uncommon	016	One	One	playerNDeck
One_1_017_U_ExcitementFearDanger	Excitement Fear Danger	fight-klub/one/FightKlub-One-ExcitementFearDanger.jpg	default	Card	Uncommon	017	One	One	playerNDeck
One_1_018_U_HaitianVoodoo	Haitian Voodoo	fight-klub/one/FightKlub-One-HaitianVoodoo.jpg	default	Card	Uncommon	018	One	One	playerNDeck
One_1_019_U_HaveYourselfANiceDeath	Have Yourself ANice Death	fight-klub/one/FightKlub-One-HaveYourselfANiceDeath.jpg	default	Card	Uncommon	019	One	One	playerNDeck
One_1_020_U_ImTheTerminator	Im The Terminator	fight-klub/one/FightKlub-One-ImTheTerminator.jpg	default	Card	Uncommon	020	One	One	playerNDeck
One_1_021_U_KeepingYouAlive	Keeping You Alive	fight-klub/one/FightKlub-One-KeepingYouAlive.jpg	default	Card	Uncommon	021	One	One	playerNDeck
One_1_022_U_StainlessSteelMeatCleaver	Stainless Steel Meat Cleaver	fight-klub/one/FightKlub-One-StainlessSteelMeatCleaver.jpg	default	Card	Uncommon	022	One	One	playerNDeck
One_1_023_U_StayinAlive	Stayin Alive	fight-klub/one/FightKlub-One-StayinAlive.jpg	default	Card	Uncommon	023	One	One	playerNDeck
One_1_024_U_TheJob	The Job	fight-klub/one/FightKlub-One-TheJob.jpg	default	Card	Uncommon	024	One	One	playerNDeck
One_1_025_U_TheWhiteManIsCool	The White Man Is Cool	fight-klub/one/FightKlub-One-TheWhiteManIsCool.jpg	default	Card	Uncommon	025	One	One	playerNDeck
One_1_026_U_WantToHoldHands	Want To Hold Hands	fight-klub/one/FightKlub-One-WantToHoldHands.jpg	default	Card	Uncommon	026	One	One	playerNDeck
One_1_027_R_JohnRambo	John Rambo	fight-klub/one/FightKlub-One-JohnRambo.jpg	default	Card	Rare	027	One	One	playerNDeck
One_1_028_C_AGoodSupplyOfBodyBags	AGood Supply Of Body Bags	fight-klub/one/FightKlub-One-AGoodSupplyOfBodyBags.jpg	default	Card	Common	028	One	One	playerNDeck
