databaseId	name	imageUrl	cardBack	type	packName	set	loadGroupId	klass	vp	flying	size	vitality	vitRed	ocb	babes	gold	beer	channeling	channeler	ranged	command	powerStones	basicDraw	ldl	mdl	luc	effect	bonus	script
RE_BabesBriberyCommon2.png	Babes	fpg-guardians/revised-edition/FpgGuardians-RevisedEdition-Babes.png	default	bribery	Revised Edition	RE	playerNDeck					13															Bribery		
RE_BeerBriberyCommon2.png	Beer	fpg-guardians/revised-edition/FpgGuardians-RevisedEdition-Beer.png	default	bribery	Revised Edition	RE	playerNDeck					10															Bribery		
RE_GoldBriberyCommon2.png	Gold	fpg-guardians/revised-edition/FpgGuardians-RevisedEdition-Gold.png	default	bribery	Revised Edition	RE	playerNDeck					7															Bribery		
DN_MinistryofTaxCollectionStrongholdDowngradeR1-horizontal.png	Ministry of Tax Collection	fpg-guardians/drifters-nexus/FpgGuardians-DriftersNexus-MinistryOfTaxCollection.png	default	downgrade	Drifter's Nexus	DN	playerNDeck					7															Stronghold's owner must burn one Power Stone if he has a Shield on this Stronghold Card at the end of the Draw and Organize Phase. You may play this Downgrade on an opponent's end Stronghold Card if there is not already an Upgrade there.		
DN_SewageBackupStrongholdDowngradeU1-horizontal.png	Sewage Backup	fpg-guardians/drifters-nexus/FpgGuardians-DriftersNexus-SewageBackup.png	default	downgrade	Drifter's Nexus	DN	playerNDeck					20															All defensive Vitality bonuses on this Stronghold Card are ignored. You may play this Downgrade on an opponent's end Stronghold Card if there is not already an Upgrade there.		
NP_SnakePitStrongholdDowngradeUncom2-horizontal.png	Snake Pit	fpg-guardians/necropolis-park/FpgGuardians-NecropolisPark-SnakePit.png	default	downgrade	Necropolis Park	NP	playerNDeck					22															If there is a Shield on this end Stronghold Card during the Terrain Settlement Phase, that Shield's owner must discard one Creature from beneath it.		
RE_AmberWellElementalWellCommon1.png	Amber Well	fpg-guardians/revised-edition/FpgGuardians-RevisedEdition-AmberWell.png	default	elemental	Revised Edition	RE	playerNDeck	Well			L	4		0													If beaten in combat, secondary attackers get a +8 Vitality instead of the normal +4.		
RE_AngelElementalAngelUncommon1.png	Angel	fpg-guardians/revised-edition/FpgGuardians-RevisedEdition-Angel.png	default	elemental	Revised Edition	RE	playerNDeck	Angel		F	M	7		0													+5 Vitality vs. Demons and Devils.		
RE_AnnihilatorCloudElementalForceUncommon2.png	Annihilator Cloud	fpg-guardians/revised-edition/FpgGuardians-RevisedEdition-AnnihilatorCloud.png	default	elemental	Revised Edition	RE	playerNDeck	Force		F	L	9		0						3							3 pt. ranged attack.		
RE_ArchangelMagnusElementalAngelRare1.png	Archangel Magnus	fpg-guardians/revised-edition/FpgGuardians-RevisedEdition-ArchangelMagnus.png	default	elemental	Revised Edition	RE	playerNDeck	Angel		F	M	11		0				C									+9 Vitality vs. Demons and Devils.		
RE_ArchangelOdessaElementalAngelRare1.png	Archangel Odessa	fpg-guardians/revised-edition/FpgGuardians-RevisedEdition-ArchangelOdessa.png	default	elemental	Revised Edition	RE	playerNDeck	Angel		F	M	9		0				C	3								+7 Vitality vs. Demons and Devils. Can only channel to Angels and Clerics.		
RE_BaalaGogElementalDevilUncommon1.png	Baal-a-Gog	fpg-guardians/revised-edition/FpgGuardians-RevisedEdition-BaalAGog.png	default	elemental	Revised Edition	RE	playerNDeck	Devil			L	12		4	L			C									Immune to fire.		
RE_BealzebubElementalDemonRare1.png	Baelzebub	fpg-guardians/revised-edition/FpgGuardians-RevisedEdition-Baelzebub.png	default	elemental	Revised Edition	RE	playerNDeck	Demon		F	L	16		0	L			C									Immune to fire.		
RE_BalefulEyeElementalDemonCommon1.png	Baleful Eye	fpg-guardians/revised-edition/FpgGuardians-RevisedEdition-BalefulEye.png	default	elemental	Revised Edition	RE	playerNDeck	Demon			S	5		1	L						Y						For the duration of combat, your opponent must declare the Size of Creatures in match-ups before you pick your Creatures.		
RE_CherubElementalAngelRare2.png	Cherub	fpg-guardians/revised-edition/FpgGuardians-RevisedEdition-Cherub.png	default	elemental	Revised Edition	RE	playerNDeck	Angel		F	S	3		0				C									+6 Vitality vs Demons and Devils. Immune to large Creatures.		
RE_CorruptionStreamElementalForceRare2.png	Corruption Stream	fpg-guardians/revised-edition/FpgGuardians-RevisedEdition-CorruptionStream.png	default	elemental	Revised Edition	RE	playerNDeck	Force			L	2	8	0													Beats opponent if the Corruption Stream is a secondary attacker.		
