databaseId	name	imageUrl	cardBack	type	packName	set	loadGroupId	corps	price	clash	msType	dockPilot	limited	unique	preemptive
set1_BF_001_liberation_army_village	Liberation Army Village	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-LiberationArmyVillage.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	WG	2						
set1_BF_002_Singapore_space_base	Singapore Space Base	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-SingaporeSpaceBase.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	WG	2						
set1_BF_003_Sanc_Kingdom	Sanc Kingdom	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-SancKingdom.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	WG	2						
set1_BF_004_L2_Colony	L2 Colony	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-L2Colony.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	WG	2				Y		
set1_BF_005_New_Edwards_Base	New Edwards Base	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-NewEdwardsBase.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	WG	2						
set1_BF_006_Lake_Victoria_Base	Lake Victoria Base	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-LakeVictoriaBase.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	Oz	2						
set1_BF_007_luxembourg_base	Luxembourg Base	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-LuxembourgBase.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	Oz	2						
set1_BF_008_Space_Fortress_Libra	Space Fortress Libra	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-SpaceFortressLibra.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	Oz	4				Y		
set1_BF_009_Corsica_base	Corsica Base	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-CorsicaBase.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	WG	2						
set1_BF_010_ST.Gabriela_school	St. Gabriela School	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-StGabrielaSchool.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	WG	1						
set1_BF_011_disputed_area	Disputed Area	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-DisputedArea.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	WG	0						
set1_BF_012_L5_colony	L5 Colony	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-L5Colony.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	WG	2						
set1_BF_013_Howard's_repair_shop	Howard's Repair Shop	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-HowardsRepairShop.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	WG	1						
set1_BF_014_the_winners_villa_basement	The Winners' Villa Basement	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-TheWinnersVillaBasement.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	WG	1						
