cardid,name,cost,color,threshold,type,traits,unique,faction,text,attack,defense,setcode,source,rarity,pve,aionly,socketed,number,block,released,ingame,original,aaprint,reprint,aa,version,banned,notcollectable,artist,guid
1,Blood Shard,0,B,,Resource,Standard,0,,Gain [BLOOD].<p>Gain a charge.,,,hex,,g,0,0,0,0,0,1,1,0,0,5692,0,0,,1,Richard Wright,b253393b-fdde-47c4-9288-4b8efb0698b1
2,Diamond Shard,0,D,,Resource,Standard,0,,Gain [DIAMOND].<p>Gain a charge.,,,hex,,g,0,0,0,0,0,1,1,0,0,5693,0,0,,1,Richard Wright,6865d8d5-bd2e-43c6-8a68-53d1bde6bc28
3,Ruby Shard,0,R,,Resource,Standard,0,,Gain [RUBY].<p>Gain a charge.,,,hex,,g,0,0,0,0,0,1,1,0,0,5694,0,0,,1,Richard Wright,1f897193-72a1-487e-a6bd-f3f6e7897c47
4,Sapphire Shard,0,S,,Resource,Standard,0,,Gain [SAPPHIRE].<p>Gain a charge.,,,hex,,g,0,0,0,0,0,1,1,0,0,5695,0,0,,1,Richard Wright,8554b2c8-cf48-467d-bf55-ab45e306ce43
5,Wild Shard,0,W,,Resource,Standard,0,,Gain [WILD].<p>Gain a charge.,,,hex,,g,0,0,0,0,0,1,1,0,0,5696,0,0,,1,Richard Wright,cd41bd00-7585-4762-a721-6163bdaee3c3
6,Atrophy,4,B,B,Quick Action,,0,,Target troop gets -1[ATK]/-1[DEF].<p><p>Draw a card.,,,sof,,c,0,0,0,42,0,1,1,0,0,0,0,0,,0,Anders Finer,1f48f5e0-204e-47c8-823e-94e50186eef6
7,Lightning Elemental,2,R,R,Troop,Elemental,0,,"<b>Swiftstrike</b><p><p>When this deals combat damage to an opposing champion, gain a charge.",2,1,wheel1,,u,1,0,0,0,0,1,1,0,0,0,0,0,,0,Anders Finer,bb7541eb-108c-42c5-a64e-0c7b60b6f443
8,Starving Lich,1,B,BBBBB,Troop,Undead,0,,"<b>Lethal</b>, <b>Speed</b>, <b>Lifedrain</b>",2,2,sd,,r,0,0,0,81,0,1,1,0,0,0,0,0,,0,Andreas Zafeiratos,ecd9eaa2-c6ac-4dca-8d97-a41d5e07017b
9,Bone Warrior,2,B,BB,Troop,Undead Skeleton,0,,<b>Deathcry</b> - Transform this into a <b>Pile of Bones</b> and put it into play.,1,2,sof,,u,0,0,0,48,0,1,1,0,0,0,0,0,,0,Velvet Engine,f4822b71-b1f5-448d-a7e6-b7caf5f11374
10,Call the Grave,1,B,B,Basic Action,,0,,Put target troop from a crypt into your hand.,,,sof,,c,0,0,0,50,0,1,1,0,0,5594,0,0,,0,Julia Yang,1b5eb250-112d-4cb8-9e96-4e3fae7b9dde
11,Wild Root Dancer,,DW,DW,Champion,Elf Cleric,0,Ardent,"[BASIC] [DIAMOND][WILD]: [5] [ARROWR] Put each Plant in the top five cards of your deck into play. Put the remaining cards into your deck.<p><p>At the start of the game, each champion chooses a troop in their deck and creates four copies of that card and puts them into their deck.",,23,aiarena,,g,1,1,0,0,0,1,1,0,0,0,0,0,,1,NULL,f37278d1-a0f5-4d0a-86b1-86bee605ed03
12,Corrupt Harvester,4,B,BB,Troop,Necrotic Cleric,0,Underworld,<b>Lifedrain</b><p><p>This can't be blocked except by artifact troops and/or blood troops.,3,3,sof,,u,0,0,0,53,0,1,1,0,0,0,0,0,,0,Dani Oduber,57b7754c-c88b-4920-a8a6-646369bf566c
13,Brood Creeper,3,B,BB,Troop,Vennen Rogue,0,Underworld,"When this deals damage to an opposing champion, summon a <b>Spiderspawn</b>.",3,2,sof,,u,0,0,0,49,0,1,1,0,0,0,0,0,,0,Red Hot CG,5f2c8a4b-5f38-4743-aff8-a1bd5abd9ad5
14,Extinction,4,B,BB,Basic Action,,0,,Destroy all troops.,,,sof,,r,0,0,0,61,0,1,1,0,531,0,0,0,,0,Zoltan Boros,2a56b4e3-03a9-4ab1-bcb9-46c9c3dc7d32
15,Giant Corpse Fly,3,B,BB,Troop,Insect,0,,<b>Flight</b><p><p><b>Deploy</b> - Target champion chooses and discards a card.,2,1,sof,,c,0,0,0,63,0,1,1,0,0,0,0,0,,0,Zoltan Boros,f7fb7bd8-6d67-4497-a185-2d801006b1d1
17,Life Siphon,1X,B,BB,Basic Action,,0,,<b>Lifedrain</b><p>Deal X damage to target opposing champion.,,,sof,,r,0,0,0,72,0,1,1,0,0,0,0,0,,0,Velvet Engine,3019ee7e-2c97-4dfd-b4e9-838e1caf70b2
18,Determined Zombie,2,B,B,Troop,Undead Zombie,0,,,1,3,sof,,c,0,0,0,59,0,1,1,0,0,5588,0,0,,0,Pyeong Jun Kim,7daf464a-7b99-4c5f-9b33-681c47573a00
19,Kill,3,B,B,Quick Action,,0,,Destroy target non-artifact troop.,,,sof,,c,0,0,0,77,0,1,1,0,935,0,0,0,,0,Michael Komarck,97b138e1-b8dd-4f58-bf4d-7c8ba44bfba7
20,Necessary Sacrifice,4,B,BB,Basic Action,,0,,"As an additional cost to play this, sacrifice a troop.<p><p>Draw three cards.",,,sof,,u,0,0,0,78,0,1,1,0,0,0,0,0,,0,Andres Blanco,189d494b-571d-4d36-a312-fef0dddcd343
21,Curse of Oblivion,1,B,B,Quick Action,,0,,"Target opposing card on the chain. Void each other card with the same name from its controller's hand, deck, and crypt.",,,sof,,r,0,0,0,55,0,1,1,0,0,0,0,0,PVE,0,Filip Acovic,14488521-94c8-4483-97ef-8b8e208ef3a1
22,Pact of Pain,3,B,BB,Constant,,0,,"[(2)], Pay 2 health [ARROWR] Draw a card.",,,sof,,r,0,0,0,79,0,1,1,0,0,0,0,0,,0,Jason Engle,d8b65a44-04a8-45ed-b9cc-6e3d1c902cfc
