databaseId	name	subtitle	imageUrl	zoomImageUrl	cardBack	type	packName	set	loadGroupId	faction	rarity	cost	threshold	attack	defense	health	artist	flavour	text
hex-choose-blood-transform	Choose Blood Transform		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ChooseBloodTransform.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ChooseBloodTransform.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0					Richard Wright		The remembered card's thresholds become [BLOOD].
hex-choose-diamond-transform	Choose Diamond Transform		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ChooseDiamondTransform.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ChooseDiamondTransform.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0					Richard Wright		The remembered card's thresholds become [DIAMOND].
hex-choose-ruby-transform	Choose Ruby Transform		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ChooseRubyTransform.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ChooseRubyTransform.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0					Richard Wright		The remembered card's thresholds become [RUBY].
hex-choose-sapphire-transform	Choose Sapphire Transform		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ChooseSapphireTransform.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ChooseSapphireTransform.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0					Richard Wright		The remembered card's thresholds become [SAPPHIRE].
hex-choose-wild-transform	Choose Wild Transform		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ChooseWildTransform.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ChooseWildTransform.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0					Richard Wright		The remembered card's thresholds become [WILD].
hex-shroom-party-art2	Shroom Party Art2		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ShroomPartyArt2.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ShroomPartyArt2.jpg	default	Constant	AI Only	AI Only	playerNDeck		Rare	3	Wild				Lena Richards		
hex-shroom-party-art3	Shroom Party Art3		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ShroomPartyArt3.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ShroomPartyArt3.jpg	default	Constant	AI Only	AI Only	playerNDeck		Rare	3	Wild				Lena Richards		
hex-shroom-party-art4	Shroom Party Art4		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ShroomPartyArt4.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ShroomPartyArt4.jpg	default	Constant	AI Only	AI Only	playerNDeck		Rare	3	Wild				Lena Richards		
hex-trash	Trash		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Trash.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Trash.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0							Destroy an artifact.
hex-palamedes-human-warrior	Palamedes	Human Warrior	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Palamedes.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Palamedes.jpg	default	Troop	AI Only	AI Only	playerNDeck	Aria	Epic	0	Diamond	1	1		Viktor Fetsch		Inspire - As another troop with cost equal to or greater than #SELF#'s cost enters play under your control, that troop gets +1ATK/+1DEF.
