databaseId	name	imageUrl	cardBack	type	deck	alignment	attribute	power	resistance	control	rarity	errata	text	packName	set	loadGroupId
Limited_Car_Bomb	Car Bomb	inwo/limited-edition/Inwo-LimitedEdition-CarBomb.jpg	master	Assassination	Master		Assassination!				C			Limited Edition	Limited	playerNPlotDeck
Limited_Hit_and_Run	Hit and Run	inwo/limited-edition/Inwo-LimitedEdition-HitAndRun.jpg	master	Assassination	Master		Assassination!				C			Limited Edition	Limited	playerNPlotDeck
Limited_Poison	Poison	inwo/limited-edition/Inwo-LimitedEdition-Poison.jpg	master	Assassination	Master		Assassination!				C			Limited Edition	Limited	playerNPlotDeck
Limited_Sniper	Sniper	inwo/limited-edition/Inwo-LimitedEdition-Sniper.jpg	master	Assassination	Master		Assassination!				U			Limited Edition	Limited	playerNPlotDeck
Limited_Withering_Curse	Withering Curse	inwo/limited-edition/Inwo-LimitedEdition-WitheringCurse.jpg	master	Assassination	Master		Assassination!				R			Limited Edition	Limited	playerNPlotDeck
Limited_Atomic_Monster	Atomic Monster	inwo/limited-edition/Inwo-LimitedEdition-AtomicMonster.jpg	master	Disaster	Master		Disaster!				C			Limited Edition	Limited	playerNPlotDeck
Limited_Earthquake	Earthquake	inwo/limited-edition/Inwo-LimitedEdition-Earthquake.jpg	master	Disaster	Master		Disaster!				C			Limited Edition	Limited	playerNPlotDeck
Limited_Epidemic	Epidemic	inwo/limited-edition/Inwo-LimitedEdition-Epidemic.jpg	master	Disaster	Master		Disaster!				C			Limited Edition	Limited	playerNPlotDeck
Limited_Giant_Kudzu	Giant Kudzu	inwo/limited-edition/Inwo-LimitedEdition-GiantKudzu.jpg	master	Disaster	Master		Disaster!				U			Limited Edition	Limited	playerNPlotDeck
Limited_Hurricane	Hurricane	inwo/limited-edition/Inwo-LimitedEdition-Hurricane.jpg	master	Disaster	Master		Disaster!				C			Limited Edition	Limited	playerNPlotDeck
Limited_Meteor_Strike	Meteor Strike	inwo/limited-edition/Inwo-LimitedEdition-MeteorStrike.jpg	master	Disaster	Master		Disaster!				U			Limited Edition	Limited	playerNPlotDeck
Limited_Nuclear_Accident	Nuclear Accident	inwo/limited-edition/Inwo-LimitedEdition-NuclearAccident.jpg	master	Disaster	Master		Disaster!				C			Limited Edition	Limited	playerNPlotDeck
Limited_Plague_of_Demons	Plague of Demons	inwo/limited-edition/Inwo-LimitedEdition-PlagueOfDemons.jpg	master	Disaster	Master		Disaster! May Require Magic Action				R			Limited Edition	Limited	playerNPlotDeck
Limited_Rain_of_Frogs	Rain of Frogs	inwo/limited-edition/Inwo-LimitedEdition-RainOfFrogs.jpg	master	Disaster	Master		Disaster!				U			Limited Edition	Limited	playerNPlotDeck
Limited_The_Oregon_Crud	The Oregon Crud	inwo/limited-edition/Inwo-LimitedEdition-TheOregonCrud.jpg	master	Disaster	Master		Disaster!				R	Has a Power of 24, and destroys on a roll that succeeds by 10 or more.		Limited Edition	Limited	playerNPlotDeck
Limited_Tidal_Wave	Tidal Wave	inwo/limited-edition/Inwo-LimitedEdition-TidalWave.jpg	master	Disaster	Master		Disaster!				C			Limited Edition	Limited	playerNPlotDeck
Limited_Tornado	Tornado	inwo/limited-edition/Inwo-LimitedEdition-Tornado.jpg	master	Disaster	Master		Disaster!				C			Limited Edition	Limited	playerNPlotDeck
Limited_Volcano	Volcano	inwo/limited-edition/Inwo-LimitedEdition-Volcano.jpg	master	Disaster	Master		Disaster!				U	Has a Power of 18, and destroys on a roll that succeeds by 2 or more.		Limited Edition	Limited	playerNPlotDeck
Limited_Criminal_Overlords	Criminal Overlords	inwo/limited-edition/Inwo-LimitedEdition-CriminalOverlords.jpg	master	Goal	Master						U			Limited Edition	Limited	playerNPlotDeck
Limited_Fratricide	Fratricide	inwo/limited-edition/Inwo-LimitedEdition-Fratricide.jpg	master	Goal	Master						C			Limited Edition	Limited	playerNPlotDeck
Limited_Hail_Eris	Hail Eris!	inwo/limited-edition/Inwo-LimitedEdition-HailEris.jpg	master	Goal	Master						C			Limited Edition	Limited	playerNPlotDeck
Limited_Kill_For_Peace	Kill For Peace!	inwo/limited-edition/Inwo-LimitedEdition-KillForPeace.jpg	master	Goal	Master						R			Limited Edition	Limited	playerNPlotDeck
Limited_Let_Them_Eat_Cake	Let Them Eat Cake!	inwo/limited-edition/Inwo-LimitedEdition-LetThemEatCake.jpg	master	Goal	Master						U			Limited Edition	Limited	playerNPlotDeck
Limited_Power_For_Its_Own_Sake	Power For Its Own Sake	inwo/limited-edition/Inwo-LimitedEdition-PowerForItsOwnSake.jpg	master	Goal	Master						R			Limited Edition	Limited	playerNPlotDeck
Limited_Power_To_The_People	Power To The People	inwo/limited-edition/Inwo-LimitedEdition-PowerToThePeople.jpg	master	Goal	Master						U			Limited Edition	Limited	playerNPlotDeck
Limited_The_Corporate_Masters	The Corporate Masters	inwo/limited-edition/Inwo-LimitedEdition-TheCorporateMasters.jpg	master	Goal	Master						C			Limited Edition	Limited	playerNPlotDeck
Limited_The_Hand_of_Madness	The Hand of Madness	inwo/limited-edition/Inwo-LimitedEdition-TheHandOfMadness.jpg	master	Goal	Master						C			Limited Edition	Limited	playerNPlotDeck
Limited_Up_Against_The_Wall	Up Against The Wall!	inwo/limited-edition/Inwo-LimitedEdition-UpAgainstTheWall.jpg	master	Goal	Master						R			Limited Edition	Limited	playerNPlotDeck
Limited_Adepts_of_Hermes	Adepts of Hermes	inwo/limited-edition/Inwo-LimitedEdition-AdeptsOfHermes.jpg	master	Illuminati	Master			7/7			I		If you fail an Attack to Control against a Group from our own hand, you do no tlose the group . . . Just return the card to your hand. The Adepts of Hermes have +6 on any attempt ot control or destroy a Magic group. SPECIAL GOAL: Each Magic resource you control counts as one group toward the Basic Goal.	Limited Edition	Limited	playerNLead
Limited_Bavarian_Illuminati	Bavarian Illuminati	inwo/limited-edition/Inwo-LimitedEdition-BavarianIlluminati.jpg	master	Illuminati	Master			10/10			I		Each turn, you may declare one of your attackes privileged. SPECIAL GOAL: Control a total Power of 50 or more, counting Bavaria's own Power.	Limited Edition	Limited	playerNLead
Limited_Bermuda_Triangle	Bermuda Triangle	inwo/limited-edition/Inwo-LimitedEdition-BermudaTriangle.jpg	master	Illuminati	Master			8/8			I		You may reorganize your groups freely at the end of your turn. SPECIAL GOAL: Control a total Power of at least 35, counting Bermuda's own Power, and at leas one group of each alignment. A group with more than one alignment counts for all its alignments.	Limited Edition	Limited	playerNLead
Limited_Discordian_Society	Discordian Society	inwo/limited-edition/Inwo-LimitedEdition-DiscordianSociety.jpg	master	Illuminati	Master			7/7			I		You have +4 on any attempt to control Weird groups. Your power structure is immune to attacks from Government or Straight groups, and to all special abilities of these groups. SPECIAL GOAL: Any Weird group with a Power of 3 or more counts double toward your total number of groups controlled.	Limited Edition	Limited	playerNLead
Limited_Gnomes_of_Zurich	Gnomes of Zurich	inwo/limited-edition/Inwo-LimitedEdition-GnomesOfZurich.jpg	master	Illuminati	Master			9/9			I	Have a +4 bonus to control Bank Groups only (not Bank and Corporate Groups).	You may hold 6 Plot cards in your hand, rather than the usual 5. You have +4 on any attempt to control any Bank. SPECIAL GOAL: Any Corporate group or Bank with a Power 4 or more counts double toward your total number of groups controlled.	Limited Edition	Limited	playerNLead
Limited_Servants_of_Cthulhu	Servants of Cthulhu	inwo/limited-edition/Inwo-LimitedEdition-ServantsOfCthulhu.jpg	master	Illuminati	Master			9/9			I		You have +4 on any attempt to destroy, even Disasters and Assassinations. Draw a Plot card henever you destroy a group! SPECIAL GOAL: For every group you destroy, reduce by 1 the number of groups you need to control in order to win. You may also count Illuminati which you destroy by removing their last group. If you destroy 8 groups, you win, regardless of how many you control!	Limited Edition	Limited	playerNLead
Limited_Shangri-La	Shangri-La	inwo/limited-edition/Inwo-LimitedEdition-ShangriLa.jpg	master	Illuminati	Master			7/7			I	Explicitly gets its +5 to defend against Instant Attacks.	Any group in your Power Structure has an extra +5 to defend against any attack, even Instants. You cannot destroy any groups except Violent ones and rival Illuminati. SPECIAL GOAL: Have Peaceful groups with a total Power of 30 in play, regardless of who controls them! If this happens, all Shangri-La players share the victory.	Limited Edition	Limited	playerNLead
Limited_The_Network	The Network	inwo/limited-edition/Inwo-LimitedEdition-TheNetwork.jpg	master	Illuminati	Master			8/8			I		You start your turn by drawing two Plot cards, rather than one. SPECIAL GOAL: Any Computer group with a power of 3 or more counts double toward your toal number of groups controlled.	Limited Edition	Limited	playerNLead
Limited_UFOs	UFOs	inwo/limited-edition/Inwo-LimitedEdition-UFOs.jpg	master	Illuminati	Master			6/6			I		The UFOs have two actions per turn - they get two action tokens! These may not be used in the same attack. SPECIAL GOAL: The UFOs can have up to 3 different Goal cards in play, and win with any of them.	Limited Edition	Limited	playerNLead
Limited_A_Thousand_Points_of_Light	A Thousand Points of Light	inwo/limited-edition/Inwo-LimitedEdition-AThousandPointsOfLight.jpg	master	NWO (Blue)	Master		Blue				U			Limited Edition	Limited	playerNPlotDeck
Limited_Chicken_In_Every_Pot	Chicken In Every Pot	inwo/limited-edition/Inwo-LimitedEdition-ChickenInEveryPot.jpg	master	NWO (Blue)	Master		Blue				C			Limited Edition	Limited	playerNPlotDeck
Limited_Energy_Crisis	Energy Crisis	inwo/limited-edition/Inwo-LimitedEdition-EnergyCrisis.jpg	master	NWO (Blue)	Master		Blue				R			Limited Edition	Limited	playerNPlotDeck
Limited_Fear_and_Loathing	Fear and Loathing	inwo/limited-edition/Inwo-LimitedEdition-FearAndLoathing.jpg	master	NWO (Blue)	Master		Blue				U			Limited Edition	Limited	playerNPlotDeck
Limited_World_Hunger	World Hunger	inwo/limited-edition/Inwo-LimitedEdition-WorldHunger.jpg	master	NWO (Blue)	Master		Blue				C			Limited Edition	Limited	playerNPlotDeck
Limited_Gun_Control	Gun Control	inwo/limited-edition/Inwo-LimitedEdition-GunControl.jpg	master	NWO (Red)	Master		Red				U			Limited Edition	Limited	playerNPlotDeck
Limited_Peace_In_Our_Time	Peace In Our Time	inwo/limited-edition/Inwo-LimitedEdition-PeaceInOurTime.jpg	master	NWO (Red)	Master		Red				C			Limited Edition	Limited	playerNPlotDeck
