databaseId	name	imageUrl	cardBack	type	packName	set	loadGroupId	cost	attribute	attributeCondition	basicMana	landName	strength	defense	usageTiming	specialSkill
core_C001ed	Mailbox	legend-of-mana-ccg/core/LegendOfManaCcg-Core-Mailbox.jpg	default	Land/Artifact	Core	core	playerNMainDeck	6	None		1	Home				
core_C002ed	Broken Doll	legend-of-mana-ccg/core/LegendOfManaCcg-Core-BrokenDoll.jpg	default	Land/Artifact	Core	core	playerNMainDeck	6	Fire		2	Junkyard				
core_C003ed	Flame	legend-of-mana-ccg/core/LegendOfManaCcg-Core-Flame.jpg	default	Land/Artifact	Core	core	playerNMainDeck	6	Fire		1	Gato Grottoes				
core_C004ed	Tome of Magic	legend-of-mana-ccg/core/LegendOfManaCcg-Core-TomeOfMagic.jpg	default	Land/Artifact	Core	core	playerNMainDeck	5	Fire		1	Geo				
core_C005ed	The Flames	legend-of-mana-ccg/core/LegendOfManaCcg-Core-TheFlames.jpg	default	Land/Artifact	Core	core	playerNMainDeck		Fire		2	The Flames				
core_C006ed	Jade Egg	legend-of-mana-ccg/core/LegendOfManaCcg-Core-JadeEgg.jpg	default	Land/Artifact	Core	core	playerNMainDeck	6	Water		1	Mekiv Caverns				
core_C007ed	Torch of Coral	legend-of-mana-ccg/core/LegendOfManaCcg-Core-TorchOfCoral.jpg	default	Land/Artifact	Core	core	playerNMainDeck	6	Water		1	Madora Beach				
core_C008ed	Rusty Anchor	legend-of-mana-ccg/core/LegendOfManaCcg-Core-RustyAnchor.jpg	default	Land/Artifact	Core	core	playerNMainDeck	4	Water		1	Polpota Harbor				
core_C009ed	Pirate's Hook	legend-of-mana-ccg/core/LegendOfManaCcg-Core-PiratesHook.jpg	default	Land/Artifact	Core	core	playerNMainDeck	8	Water		1	SS Buccaneer				
core_C010ed	Skull Lantern	legend-of-mana-ccg/core/LegendOfManaCcg-Core-SkullLantern.jpg	default	Land/Artifact	Core	core	playerNMainDeck	5	Earth		1	Gato Grottoes				
core_C011ed	Bottled Spirit	legend-of-mana-ccg/core/LegendOfManaCcg-Core-BottledSpirit.jpg	default	Land/Artifact	Core	core	playerNMainDeck	6	Earth		1	Mekiv Caverns				
core_C012ed	Ancient Tablet	legend-of-mana-ccg/core/LegendOfManaCcg-Core-AncientTablet.jpg	default	Land/Artifact	Core	core	playerNMainDeck	5	Earth		1	Mindas Ruins				
core_C013ed	Medallion	legend-of-mana-ccg/core/LegendOfManaCcg-Core-Medallion.jpg	default	Land/Artifact	Core	core	playerNMainDeck	4	Gnome		1	Jungle				
core_C014ed	Wheel	legend-of-mana-ccg/core/LegendOfManaCcg-Core-Wheel.jpg	default	Land/Artifact	Core	core	playerNMainDeck	4	Wind		1	Luon Highway				
core_C015ed	Sand Rose	legend-of-mana-ccg/core/LegendOfManaCcg-Core-SandRose.jpg	default	Land/Artifact	Core	core	playerNMainDeck	5	Wind		1	Duma Desert				
core_C016ed	Moon's Mirror	legend-of-mana-ccg/core/LegendOfManaCcg-Core-MoonsMirror.jpg	default	Land/Artifact	Core	core	playerNMainDeck	6	Wind		1	Tower of Leires				
core_C017ed	Frozen Heart	legend-of-mana-ccg/core/LegendOfManaCcg-Core-FrozenHeart.jpg	default	Land/Artifact	Core	core	playerNMainDeck	5	Wind		1	Fieg Snowfields				
core_C018ed	Firefly Lamp	legend-of-mana-ccg/core/LegendOfManaCcg-Core-FireflyLamp.jpg	default	Land/Artifact	Core	core	playerNMainDeck	5	Light		1	Lumina				
core_C019ed	Stone Eye	legend-of-mana-ccg/core/LegendOfManaCcg-Core-StoneEye.jpg	default	Land/Artifact	Core	core	playerNMainDeck	7	Light		1	Lake Kilma				
core_C020ed	Trembling Spoon	legend-of-mana-ccg/core/LegendOfManaCcg-Core-TremblingSpoon.jpg	default	Land/Artifact	Core	core	playerNMainDeck	4	Dark		1	Underworld				
core_C021ed	Dragon Bone	legend-of-mana-ccg/core/LegendOfManaCcg-Core-DragonBone.jpg	default	Land/Artifact	Core	core	playerNMainDeck	5	Dark		1	Bone Fortress				
core_C022ed	Brooch of Love	legend-of-mana-ccg/core/LegendOfManaCcg-Core-BroochOfLove.jpg	default	Land/Artifact	Core	core	playerNMainDeck	7	Wind		0	Lucemia				
core_C023ed	Green Cane	legend-of-mana-ccg/core/LegendOfManaCcg-Core-GreenCane.jpg	default	Land/Artifact	Core	core	playerNMainDeck	5	Wood		1	White Forest				
core_C024ed	Color Blocks	legend-of-mana-ccg/core/LegendOfManaCcg-Core-ColorBlocks.jpg	default	Land/Artifact	Core	core	playerNMainDeck	2	Gold		1	Domina				
core_C025ed	Jumi's Staff	legend-of-mana-ccg/core/LegendOfManaCcg-Core-JumisStaff.jpg	default	Land/Artifact	Core	core	playerNMainDeck	4	Gold		2	Bejewled City				
