databaseId	name	imageUrl	zoomImageUrl	cardBack	type	packName	set	loadGroupId	clan	legal	cost	focus	force	chi	personalHonor	honorReq	goldProduction	provinceStrength	startingHonor	rarity	artist	flavour	text
AD092	A Chance Meeting	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-AChanceMeetingMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-AChanceMeetingMaster.jpg	fate	Strategy	Anvil of Despair	AD	playerNFate		open	0	3								u			<b>Battle:</b> One of your Personalities in this battle challenges an opposing Personality. If the challenged Personality refuses the challenge, that personality becomes dishonored, and all of his or her Followers bow. If the challenged Personality accepts the challenge, the duel's winner gains Honor equal to the number of cards focused by both players, and the loser is destroyed.
AD081	Akodo Fields	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-AkodoFieldsMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-AkodoFieldsMaster.jpg	default	Region	Anvil of Despair	AD	playerNDynasty		open jade										u			<B>Limited:</B> Target one of your Followers in play and pay Gold equal to the Follower's Force. For the rest of the game, the Follower is Elite, contributes its Force to its army's total during the Resolution Segment of battle even if its Personality is bowed, and is immune to Fear.
AD014	Armorer	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-ArmorerMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-ArmorerMaster.jpg	default	Holding	Anvil of Despair	AD	playerNDynasty		open jade	4									c			<b>Limited:</b> Bow the Armorer. Place a 1F/1C Armor token on one of your Personalities. The token is considered an Armor Item card.
AD034	Asahina Dorai - exp	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-AsahinaDoraiExpMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-AsahinaDoraiExpMaster.jpg	default	Personality	Anvil of Despair	AD	playerNDynasty	crane	open jade	8		1	2	0	0				r			<B>Crane Clan Scholar. Shugenja. Kolat. Experienced. Unique.</B> Lose 2 Honor. <BR><B>Limited:</B> Bow Dorai and permanently lower his Chi by 1. Target another player. Discard a random card from the player's hand. This ability cannot be copied.
AD035	Asahina Tsukiyoka	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-AsahinaTsukiyokaMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-AsahinaTsukiyokaMaster.jpg	default	Personality	Anvil of Despair	AD	playerNDynasty	crane	open jade	7		1	3	2	7				c			<B>Crane Clan Sculptor. Shugenja.</B> <BR><B>Limited:</B> Bow Tsukiyoka. Place a 1C Nemuranai token on a Personality without a Nemuranai token.
Diamond230	Ashigaru Levies	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-AshigaruLeviesMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-AshigaruLeviesMaster.jpg	fate	Strategy	Anvil of Despair	AD	playerNFate		open jade diamond	*	2								c			<B>Battle:</B> Pay any amount of Gold to place an <B>Ashigaru</B> Follower token on one of your Samurai Infantry Personalities in the current battle. The Follower's base Force equals half the Gold spent to play this card, rounded down, or the Samurai's Force, whichever is less. Remove the token from the game at the end of the turn.
AD049	Ashlim - exp	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-AshlimExpMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-AshlimExpMaster.jpg	default	Personality	Anvil of Despair	AD	playerNDynasty	naga	open jade	5		2	3	1	0				r			<B>Naga Shugenja. Experienced. Unique.</B> <BR><B>Limited:</B> Bow Ashlim and one of your Tattooed Personalities. The Personality permanently loses the <B>Tattooed</B> trait and gains +1C.
AD001	Assault on Otosan-Uchi	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-AssaultOnOtosanUchiMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-AssaultOnOtosanUchiMaster.jpg	default	Event	Anvil of Despair	AD	playerNDynasty		open jade										u			Until your next turn begins, each Personality with over 1 Personal Honor in an army attacking the player with the highest Family Honor gains +1F.
AD168	At'tok'tuk Sensei	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-AttoktukSenseiMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-AttoktukSenseiMaster.jpg	default	Sensei	Anvil of Despair	AD	playerNSensei		open jade		2					+0	+0	-2	r			<B>Crab. Mantis. Monk. Naga. Scorpion. Shadowlands. Unicorn. Sensei.</B> <BR>Your Ratling Personalities are members of your Clan. Ratling Followers will join you for 1 less Gold.
AD159	Baby Ki-Rin	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-BabyKiRinMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-BabyKiRinMaster.jpg	fate	Item	Anvil of Despair	AD	playerNFate		open jade	4	3	0	0						r			<B>Unique.</B> A Dragon Personality can attach the Baby Ki-Rin for 2 less Gold. <BR>Personalities with over 2 or under 1 Personal Honor cannot target this Personality with actions.
