databaseId	name	subtitle	imageUrl	zoomImageUrl	cardBack	type	packName	set	loadGroupId	archetype	faction	cost	attack	defense	health	damage	level	artId	frame	flavour	text
lon-abate-life-fortune-favors-the-ghoulish	Abate Life	Fortune favors the ghoulish.	legends-of-norrath/forsworn/LegendsOfNorrath-Forsworn-AbateLife.jpg	legends-of-norrath/forsworn/LegendsOfNorrath-Forsworn-AbateLife.jpg	default	Ability	Forsworn	0	playerNDeck											At the end of your turn, deal 1 damage to the linked avatar and heal 1 damage on your avatar.	When you play this ability, link it to an opposing avatar.
lon-abject-blessing-blessing-curse-it-s-all-in-the-eye-of-the-beholder	Abject Blessing	Blessing, curse... it's all in the eye of the beholder.	legends-of-norrath/storm-break/LegendsOfNorrath-StormBreak-AbjectBlessing.jpg	legends-of-norrath/storm-break/LegendsOfNorrath-StormBreak-AbjectBlessing.jpg	default	Ability	Storm Break	7	playerNDeck	Priest											Whenever combat begins involving one of your units, you may remove one of your level tokens from that unit's quest. If you do, you get +1 total damage.
lon-abysmal-fury	Abysmal Fury		legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AbysmalFury.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AbysmalFury.jpg	default	Ability	Norrath	0	playerNDeck											Weakness and foolishness made Miragul sick. It seemed only right to return the sentiment.	When you play this ability, your avatar gets +1 damage bonus until the end of the turn.
lon-abyssal-monitor	Abyssal Monitor		legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AbyssalMonitor.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AbyssalMonitor.jpg	default	Ability	Norrath	0	playerNDeck											At the end of each opposing player's turn, if that player's avatar has 0 power, you get a unit card named Optoclypse at a random quest.	
lon-abyssal-tempest-your-power-is-drained-by-the-dark-red-storm-of-arcane-magic	Abyssal Tempest	Your power is drained by the dark red storm of arcane magic.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AbyssalTempest.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AbyssalTempest.jpg	default	Ability	Norrath	0	playerNDeck											At the start of your turn, each opposing player loses 1 power.	
lon-accelerating-chorus	Accelerating Chorus		legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AcceleratingChorus.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AcceleratingChorus.jpg	default	Ability	Norrath	0	playerNDeck											It looked almost random, even violent, but the sound was sweet and graceful.	Whenever your avatar is exerted for attack or defense, you may exert one of your abilities. If you do, ready one of your items.
lon-acrobatics	Acrobatics		legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Acrobatics.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Acrobatics.jpg	default	Ability	Norrath	0	playerNDeck											There would surely be other guards inside the castle that couldn't be avoided, but Kenoch knew it was best to save his strength for those confrontations.	Whenever combat begins during your quest phase, you get your avatar gets +1 damage bonus.
lon-act-of-belief-the-flame-without-provides-focus-to-stoke-the-flame-within	Act of Belief	The flame without provides focus to stoke the flame within.	legends-of-norrath/travelers/LegendsOfNorrath-Travelers-ActOfBelief.jpg	legends-of-norrath/travelers/LegendsOfNorrath-Travelers-ActOfBelief.jpg	default	Ability	Travelers	8	playerNDeck	Priest								100013347			When you apply this ability at a quest where you already have a level token, place an additional level token at that quest.
lon-act-of-war-destroy-it-instead	Act of War	destroy it instead.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-ActOfWar.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-ActOfWar.jpg	default	Ability	Norrath	0	playerNDeck											'Dance my pirates, do the dance of joy!' --Oowomp of the Timorous Deep	When you play this ability, exert it and begin combat against an opposing avatar. If you win, put an ability on that avatar in its owner's hand. If you have influence,
lon-acuity-of-thought-knowledge-is-power-power-corrupts-let-the-corruption-begin	Acuity of Thought	Knowledge is power. Power corrupts. Let the corruption begin!	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AcuityOfThought.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AcuityOfThought.jpg	default	Ability	Norrath	0	playerNDeck												When you play this ability, reveal a card from the top of your deck for each of your shadow abilities. Take one of those revealed cards into your hand and shuffle the rest into your deck.
lon-advance	Advance		legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Advance.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Advance.jpg	default	Ability	Norrath	0	playerNDeck									100007219		It was a most noble and righteous razing and pillaging of the fortress.	When you play this ability, ready a friendly unit.
lon-adventurous-advance	Adventurous Advance		legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AdventurousAdvance.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AdventurousAdvance.jpg	default	Ability	Norrath	0	playerNDeck											They were truly a brave and noble team out in the world, but ale quickly eroded their finer qualities.	When you play this ability, place a level token at each quest where there are more friendly units than opposing units.
lon-aegis-of-faith-while-there-are-any-charge-tokens-on-this-ability-it-gets-3-defense	Aegis of Faith	While there are any charge tokens on this ability, it gets +3 defense.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AegisOfFaith.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AegisOfFaith.jpg	default	Ability	Norrath	0	playerNDeck											While a priest is in deep spiritual communion with the gods, no harm can come to his earthly body.	While there are any charge tokens on this ability, it gets +3 defense.
lon-aegolism-bask-in-this-aura-of-protection	Aegolism	Bask in this aura of protection!	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Aegolism.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Aegolism.jpg	default	Ability	Norrath	0	playerNDeck											At the start of your quest phase, if you have influence, gain 1 power.	
lon-aftershock	Aftershock		legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Aftershock.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Aftershock.jpg	default	Ability	Norrath	0	playerNDeck											'We felt a huge tremor shake the floor. It came from the chamber below, where the Overking lives.' --Notes from Wesard's Expedition	When you play this ability, you may take an ability from your discard pile and play it. That ability costs -3 power to play.
lon-aggravated-assault-illisia-s-temper-was-vastly-shorter-than-her-effective-range	Aggravated Assault	Illisia's temper was vastly shorter than her effective range.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AggravatedAssault.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AggravatedAssault.jpg	default	Ability	Norrath	0	playerNDeck												[Evil] [ATT][DEF] Set your faction to 5 shadow >> Ready all your items.
