databaseId	name	imageUrl	cardBack	type	subtitle	side	culture	race	twilight	strength	vitality	site	packName	rarity	collInfo	lore	text
19_1	The One Ring, The Great Ring	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-TheOneRingTheGreatRing.jpg	normal	THE_ONE_RING	The Great Ring				0				Ages End	P	19P1		While wearing The One Ring, each time bearer is about to take a wound, add a burden instead. <b>Maneuver:</b> Wear The One Ring until the regroup phase. <b>Skirmish:</b> Add a burden to make the Ring-bearer strength +3.
19_10	Gollum, Threatening Guide	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-GollumThreateningGuide.jpg	normal	MINION	Threatening Guide	Shadow	Gollum		2	5	4	3	Ages End	P	19P10	'But if we was master, then we could help ourselfs, yes....'	Gollum is strength +1 for each threat you can spot. Each time Gollum wins a skirmish, you may add a threat.
19_11	Sméagol, Pitiable Guide	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-SmAgolPitiableGuide.jpg	normal	COMPANION	Pitiable Guide	Free Peoples	Gollum		0	3	4		Ages End	P	19P11	...now that I see him, I do pity him.	<b>Ring-bound</b>. To play, add a burden. Each time Sméagol wins a skirmish, you may shuffle up to 2 [gollum] cards from your discard pile into your draw deck. <b>Skirmish:</b> Exert a Ring-bound companion to make Sméagol strength +2.
19_12	Aragorn, Well-traveled Guide	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-AragornWellTraveledGuide.jpg	normal	COMPANION	Well-traveled Guide	Free Peoples	Gondor	Man	4	8	4		Ages End	P	19P12	The skill of the Elves can reforge the sword of Kings, but only you have the power to wield it.	<b>Fellowship</b>. <b>Ranger</b>. While the Ring-bearer is the only other companion you can spot, Aragorn is an <b>archer</b>, <b>defender +1</b>, and can take no more than 1 wound each skirmish.
19_13	Boromir, Destined Guide	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-BoromirDestinedGuide.jpg	normal	COMPANION	Destined Guide	Free Peoples	Gondor	Man	3	7	3		Ages End	P	19P13	In a dream, I saw the eastern sky grow dark.	<b>Fellowship</b>. <b>Ranger</b>. While you can spot two unbound Hobbits, Boromir's twilight cost is -1. Each time Boromir wins a skirmish, you may exert an unbound Hobbit to discard each minion he is skirmishing from play.
19_14	Not Bound to His Fate	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-NotBoundToHisFate.jpg	normal	CONDITION		Free Peoples	Gondor		2	1			Ages End	P	19P14	Your time will come. You will face the same evil....	Bearer must be a [gondor] Man. Each time bearer wins a skirmish, you may transfer this condition to another [gondor] Man. At the end of each turn, if bearer is not Aragorn, return this condition to hand.
19_15	Strength in My Blood	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-StrengthInMyBlood.jpg	normal	CONDITION		Free Peoples	Gondor		1	1			Ages End	P	19P15	I would have followed you my Brother... my Captain... my King!	Bearer must be a fellowship companion. While bearer is a [gondor] companion, he or she is <b>damage +1</b>.
19_16	Gríma, Servant of Another Master	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-GrMaServantOfAnotherMaster.jpg	normal	MINION	Servant of Another Master	Shadow	Isengard	Man	2	4	3	3	Ages End	P	19P16		When you play Gríma, you may remove (4) to exert an unbound companion. That companion cannot use special abilities until the regroup phase. <b>Assignment:</b> Exert Gríma to assign him to an unbound companion. That companion may exert to prevent this.
19_17	Urgency	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-Urgency.jpg	normal	CONDITION		Shadow	Isengard		0				Ages End	P	19P17	If the mountain defeats you, will you risk a more dangerous road?	<b>Weather</b>. Each time the fellowship moves, add (2) for each Ent you can spot. <b>Skirmish:</b> Discard this condition from play to make a non-[wraith] minion strength +1.
19_18	The Balrog, Demon of Might	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-TheBalrogDemonOfMight.jpg	normal	MINION	Demon of Might	Shadow	Moria	Balrog	14	17	5	4	Ages End	P	19P18	The flames roared up to greet it, and wreathed about it....	<b>Damage +2</b>. <b>Fierce</b>. While at an underground site, skip the archery phase, the maneuver phase, and The Balrog cannot be assigned to skirmish companions of strength 6 or less.
