databaseId	name	imageUrl	cardBack	type	typeLine	color	colorId	cost	manaValue	power	toughness	loyalty	rarity	text	packName	set	actualSet	loadGroupId
mirrodin_mrd-1	Altar's Light	https://magicplugin.normalitycomics.com/cardimages/mrd/1.jpg	default	Instant	Instant	W	W	{2}{W}{W}	4				U	Exile target artifact or enchantment.	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-2	Arrest	https://magicplugin.normalitycomics.com/cardimages/mrd/2.jpg	default	Enchantment	Enchantment - Aura	W	W	{2}{W}	3				C	Enchant creature | Enchanted creature can't attack or block, and its activated abilities can't be activated.	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-3	Auriok Bladewarden	https://magicplugin.normalitycomics.com/cardimages/mrd/3.jpg	default	Creature	Creature - Human Soldier	W	W	{1}{W}	2	1	1		U	{T}: Target creature gets +X/+X until end of turn, where X is this creature's power.	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-4	Auriok Steelshaper	https://magicplugin.normalitycomics.com/cardimages/mrd/4.jpg	default	Creature	Creature - Human Soldier	W	W	{1}{W}	2	1	1		R	Equip costs you pay cost {1} less. | As long as this creature is equipped, each creature you control that's a Soldier or a Knight gets +1/+1.	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-5	Auriok Transfixer	https://magicplugin.normalitycomics.com/cardimages/mrd/5.jpg	default	Creature	Creature - Human Scout	W	W	{W}	1	1	1		C	{W}, {T}: Tap target artifact.	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-6	Awe Strike	https://magicplugin.normalitycomics.com/cardimages/mrd/6.jpg	default	Instant	Instant	W	W	{W}	1				C	The next time target creature would deal damage this turn, prevent that damage. You gain life equal to the damage prevented this way.	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-7	Blinding Beam	https://magicplugin.normalitycomics.com/cardimages/mrd/7.jpg	default	Instant	Instant	W	W	{2}{W}	3				C	Choose one - | - Tap two target creatures. | - Creatures don't untap during target player's next untap step. | Entwine {1}	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-8	Leonin Abunas	https://magicplugin.normalitycomics.com/cardimages/mrd/8.jpg	default	Creature	Creature - Cat Cleric	W	W	{3}{W}	4	2	5		R	Artifacts you control have hexproof.	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-9	Leonin Den-Guard	https://magicplugin.normalitycomics.com/cardimages/mrd/9.jpg	default	Creature	Creature - Cat Soldier	W	W	{1}{W}	2	1	3		C	As long as this creature is equipped, it gets +1/+1 and has vigilance.	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-10	Leonin Elder	https://magicplugin.normalitycomics.com/cardimages/mrd/10.jpg	default	Creature	Creature - Cat Cleric	W	W	{W}	1	1	1		C	Whenever an artifact enters, you may gain 1 life.	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-11	Leonin Skyhunter	https://magicplugin.normalitycomics.com/cardimages/mrd/11.jpg	default	Creature	Creature - Cat Knight	W	W	{W}{W}	2	2	2		U	Flying	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-12	Loxodon Mender	https://magicplugin.normalitycomics.com/cardimages/mrd/12.jpg	default	Creature	Creature - Elephant Cleric	W	W	{5}{W}	6	3	3		C	{W}, {T}: Regenerate target artifact.	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-13	Loxodon Peacekeeper	https://magicplugin.normalitycomics.com/cardimages/mrd/13.jpg	default	Creature	Creature - Elephant Soldier	W	W	{1}{W}	2	4	4		R	At the beginning of your upkeep, the player with the lowest life total gains control of this creature. If two or more players are tied for lowest life total, you choose one of them, and that player gains control of this creature.	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-14	Loxodon Punisher	https://magicplugin.normalitycomics.com/cardimages/mrd/14.jpg	default	Creature	Creature - Elephant Soldier	W	W	{3}{W}	4	2	2		R	This creature gets +2/+2 for each Equipment attached to it.	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-15	Luminous Angel	https://magicplugin.normalitycomics.com/cardimages/mrd/15.jpg	default	Creature	Creature - Angel	W	W	{4}{W}{W}{W}	7	4	4		R	Flying | At the beginning of your upkeep, you may create a 1/1 white Spirit creature token with flying.	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-16	Raise the Alarm	https://magicplugin.normalitycomics.com/cardimages/mrd/16.jpg	default	Instant	Instant	W	W	{1}{W}	2				C	Create two 1/1 white Soldier creature tokens.	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-17	Razor Barrier	https://magicplugin.normalitycomics.com/cardimages/mrd/17.jpg	default	Instant	Instant	W	W	{1}{W}	2				C	Target permanent you control gains protection from artifacts or from the color of your choice until end of turn.	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-18	Roar of the Kha	https://magicplugin.normalitycomics.com/cardimages/mrd/18.jpg	default	Instant	Instant	W	W	{1}{W}	2				U	Choose one - | - Creatures you control get +1/+1 until end of turn. | - Untap all creatures you control. | Entwine {1}{W}	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-19	Rule of Law	https://magicplugin.normalitycomics.com/cardimages/mrd/19.jpg	default	Enchantment	Enchantment	W	W	{2}{W}	3				R	Each player can't cast more than one spell each turn.	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-20	Second Sunrise	https://magicplugin.normalitycomics.com/cardimages/mrd/20.jpg	default	Instant	Instant	W	W	{1}{W}{W}	3				R	Each player returns to the battlefield all artifact, creature, enchantment, and land cards in their graveyard that were put there from the battlefield this turn.	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-21	Skyhunter Cub	https://magicplugin.normalitycomics.com/cardimages/mrd/21.jpg	default	Creature	Creature - Cat Knight	W	W	{2}{W}	3	2	2		C	As long as this creature is equipped, it gets +1/+1 and has flying.	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-22	Skyhunter Patrol	https://magicplugin.normalitycomics.com/cardimages/mrd/22.jpg	default	Creature	Creature - Cat Knight	W	W	{2}{W}{W}	4	2	3		C	Flying, first strike	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-23	Slith Ascendant	https://magicplugin.normalitycomics.com/cardimages/mrd/23.jpg	default	Creature	Creature - Slith	W	W	{1}{W}{W}	3	1	1		U	Flying | Whenever this creature deals combat damage to a player, put a +1/+1 counter on it.	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-24	Solar Tide	https://magicplugin.normalitycomics.com/cardimages/mrd/24.jpg	default	Sorcery	Sorcery	W	W	{4}{W}{W}	6				R	Choose one - | - Destroy all creatures with power 2 or less. | - Destroy all creatures with power 3 or greater. | Entwine-Sacrifice two lands.	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-25	Soul Nova	https://magicplugin.normalitycomics.com/cardimages/mrd/25.jpg	default	Instant	Instant	W	W	{3}{W}{W}	5				U	Exile target attacking creature and all Equipment attached to it.	MRD	mirrodin	mrd	playerNDeck
mirrodin_mrd-26	Sphere of Purity	https://magicplugin.normalitycomics.com/cardimages/mrd/26.jpg	default	Enchantment	Enchantment	W	W	{3}{W}	4				C	If an artifact would deal damage to you, prevent 1 of that damage.	MRD	mirrodin	mrd	playerNDeck
