databaseId	name	imageUrl	cardBack	type	typeLine	color	colorId	cost	manaValue	power	toughness	loyalty	rarity	text	packName	set	actualSet	loadGroupId
dom_dom-1	Karn, Scion of Urza	https://magicplugin.normalitycomics.com/cardimages/dom/1.jpg	default	Planeswalker	Legendary Planeswalker - Karn			{4}	4			5	M	+1: Reveal the top two cards of your library. An opponent chooses one of them. Put that card into your hand and exile the other with a silver counter on it. | -1: Put a card you own with a silver counter on it from exile into your hand. | -2: Create a 0/0 colorless Construct artifact creature token with "This token gets +1/+1 for each artifact you control."	DOM	dom	dom	playerNDeck
dom_dom-2	Adamant Will	https://magicplugin.normalitycomics.com/cardimages/dom/2.jpg	default	Instant	Instant	W	W	{1}{W}	2				C	Target creature gets +2/+2 and gains indestructible until end of turn.	DOM	dom	dom	playerNDeck
dom_dom-3	Aven Sentry	https://magicplugin.normalitycomics.com/cardimages/dom/3.jpg	default	Creature	Creature - Bird Soldier	W	W	{3}{W}	4	3	2		C	Flying	DOM	dom	dom	playerNDeck
dom_dom-4	Baird, Steward of Argive	https://magicplugin.normalitycomics.com/cardimages/dom/4.jpg	default	Creature	Legendary Creature - Human Soldier	W	W	{2}{W}{W}	4	2	4		U	Vigilance | Creatures can't attack you or planeswalkers you control unless their controller pays {1} for each of those creatures.	DOM	dom	dom	playerNDeck
dom_dom-5	Benalish Honor Guard	https://magicplugin.normalitycomics.com/cardimages/dom/5.jpg	default	Creature	Creature - Human Knight	W	W	{1}{W}	2	2	2		C	This creature gets +1/+0 for each legendary creature you control.	DOM	dom	dom	playerNDeck
dom_dom-6	Benalish Marshal	https://magicplugin.normalitycomics.com/cardimages/dom/6.jpg	default	Creature	Creature - Human Knight	W	W	{W}{W}{W}	3	3	3		R	Other creatures you control get +1/+1.	DOM	dom	dom	playerNDeck
dom_dom-7	Blessed Light	https://magicplugin.normalitycomics.com/cardimages/dom/7.jpg	default	Instant	Instant	W	W	{4}{W}	5				C	Exile target creature or enchantment.	DOM	dom	dom	playerNDeck
dom_dom-8	Board the Weatherlight	https://magicplugin.normalitycomics.com/cardimages/dom/8.jpg	default	Sorcery	Sorcery	W	W	{1}{W}	2				U	Look at the top five cards of your library. You may reveal a historic card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.	DOM	dom	dom	playerNDeck
dom_dom-9	Call the Cavalry	https://magicplugin.normalitycomics.com/cardimages/dom/9.jpg	default	Sorcery	Sorcery	W	W	{3}{W}	4				C	Create two 2/2 white Knight creature tokens with vigilance.	DOM	dom	dom	playerNDeck
dom_dom-10	Charge	https://magicplugin.normalitycomics.com/cardimages/dom/10.jpg	default	Instant	Instant	W	W	{W}	1				C	Creatures you control get +1/+1 until end of turn.	DOM	dom	dom	playerNDeck
dom_dom-11	D'Avenant Trapper	https://magicplugin.normalitycomics.com/cardimages/dom/11.jpg	default	Creature	Creature - Human Archer	W	W	{2}{W}	3	3	2		C	Whenever you cast a historic spell, tap target creature an opponent controls.	DOM	dom	dom	playerNDeck
dom_dom-12	Danitha Capashen, Paragon	https://magicplugin.normalitycomics.com/cardimages/dom/12.jpg	default	Creature	Legendary Creature - Human Knight	W	W	{2}{W}	3	2	2		U	First strike, vigilance, lifelink | Aura and Equipment spells you cast cost {1} less to cast.	DOM	dom	dom	playerNDeck
dom_dom-13	Daring Archaeologist	https://magicplugin.normalitycomics.com/cardimages/dom/13.jpg	default	Creature	Creature - Human Artificer	W	W	{3}{W}	4	3	3		R	When this creature enters, you may return target artifact card from your graveyard to your hand. | Whenever you cast a historic spell, put a +1/+1 counter on this creature.	DOM	dom	dom	playerNDeck
dom_dom-14	Dauntless Bodyguard	https://magicplugin.normalitycomics.com/cardimages/dom/14.jpg	default	Creature	Creature - Human Knight	W	W	{W}	1	2	1		U	As this creature enters, choose another creature you control. | Sacrifice this creature: The chosen creature gains indestructible until end of turn.	DOM	dom	dom	playerNDeck
dom_dom-15	Dub	https://magicplugin.normalitycomics.com/cardimages/dom/15.jpg	default	Enchantment	Enchantment - Aura	W	W	{2}{W}	3				C	Enchant creature | Enchanted creature gets +2/+2, has first strike, and is a Knight in addition to its other types.	DOM	dom	dom	playerNDeck
dom_dom-16	Evra, Halcyon Witness	https://magicplugin.normalitycomics.com/cardimages/dom/16.jpg	default	Creature	Legendary Creature - Avatar	W	W	{4}{W}{W}	6	4	4		R	Lifelink | {4}: Exchange your life total with Evra's power.	DOM	dom	dom	playerNDeck
dom_dom-17	Excavation Elephant	https://magicplugin.normalitycomics.com/cardimages/dom/17.jpg	default	Creature	Creature - Elephant	W	W	{4}{W}	5	3	5		C	Kicker {1}{W} | When this creature enters, if it was kicked, return target artifact card from your graveyard to your hand.	DOM	dom	dom	playerNDeck
dom_dom-18	Fall of the Thran	https://magicplugin.normalitycomics.com/cardimages/dom/18.jpg	default	Enchantment	Enchantment - Saga	W	W	{5}{W}	6				R	I - Destroy all lands. | II, III - Each player returns two land cards from their graveyard to the battlefield.	DOM	dom	dom	playerNDeck
dom_dom-19	Gideon's Reproach	https://magicplugin.normalitycomics.com/cardimages/dom/19.jpg	default	Instant	Instant	W	W	{1}{W}	2				C	Gideon's Reproach deals 4 damage to target attacking or blocking creature.	DOM	dom	dom	playerNDeck
dom_dom-20	Healing Grace	https://magicplugin.normalitycomics.com/cardimages/dom/20.jpg	default	Instant	Instant	W	W	{W}	1				C	Prevent the next 3 damage that would be dealt to any target this turn by a source of your choice. You gain 3 life.	DOM	dom	dom	playerNDeck
dom_dom-21	History of Benalia	https://magicplugin.normalitycomics.com/cardimages/dom/21.jpg	default	Enchantment	Enchantment - Saga	W	W	{1}{W}{W}	3				M	I, II - Create a 2/2 white Knight creature token with vigilance. | III - Knights you control get +2/+1 until end of turn.	DOM	dom	dom	playerNDeck
dom_dom-22	Invoke the Divine	https://magicplugin.normalitycomics.com/cardimages/dom/22.jpg	default	Instant	Instant	W	W	{2}{W}	3				C	Destroy target artifact or enchantment. You gain 4 life.	DOM	dom	dom	playerNDeck
dom_dom-23	Knight of Grace	https://magicplugin.normalitycomics.com/cardimages/dom/23.jpg	default	Creature	Creature - Human Knight	W	W	{1}{W}	2	2	2		U	First strike | Hexproof from black | This creature gets +1/+0 as long as any player controls a black permanent.	DOM	dom	dom	playerNDeck
dom_dom-24	Knight of New Benalia	https://magicplugin.normalitycomics.com/cardimages/dom/24.jpg	default	Creature	Creature - Human Knight	W	W	{1}{W}	2	3	1		C		DOM	dom	dom	playerNDeck
dom_dom-25	Kwende, Pride of Femeref	https://magicplugin.normalitycomics.com/cardimages/dom/25.jpg	default	Creature	Legendary Creature - Human Knight	W	W	{3}{W}	4	2	2		U	Double strike | Creatures you control with first strike have double strike.	DOM	dom	dom	playerNDeck
dom_dom-26	Lyra Dawnbringer	https://magicplugin.normalitycomics.com/cardimages/dom/26.jpg	default	Creature	Legendary Creature - Angel	W	W	{3}{W}{W}	5	5	5		M	Flying | First strike | Lifelink | Other Angels you control get +1/+1 and have lifelink.	DOM	dom	dom	playerNDeck
dom_dom-27	Mesa Unicorn	https://magicplugin.normalitycomics.com/cardimages/dom/27.jpg	default	Creature	Creature - Unicorn	W	W	{1}{W}	2	2	2		C	Lifelink	DOM	dom	dom	playerNDeck
dom_dom-28	On Serra's Wings	https://magicplugin.normalitycomics.com/cardimages/dom/28.jpg	default	Enchantment	Legendary Enchantment - Aura	W	W	{3}{W}	4				U	Enchant creature | Enchanted creature is legendary, gets +1/+1, and has flying, vigilance, and lifelink.	DOM	dom	dom	playerNDeck
dom_dom-29	Pegasus Courser	https://magicplugin.normalitycomics.com/cardimages/dom/29.jpg	default	Creature	Creature - Pegasus	W	W	{2}{W}	3	1	3		C	Flying | Whenever this creature attacks, another target attacking creature gains flying until end of turn.	DOM	dom	dom	playerNDeck
dom_dom-30	Sanctum Spirit	https://magicplugin.normalitycomics.com/cardimages/dom/30.jpg	default	Creature	Creature - Spirit	W	W	{3}{W}	4	3	2		U	Lifelink | Discard a historic card: This creature gains indestructible until end of turn.	DOM	dom	dom	playerNDeck
dom_dom-31	Seal Away	https://magicplugin.normalitycomics.com/cardimages/dom/31.jpg	default	Enchantment	Enchantment	W	W	{1}{W}	2				U	Flash | When this enchantment enters, exile target tapped creature an opponent controls until this enchantment leaves the battlefield.	DOM	dom	dom	playerNDeck
dom_dom-32	Sergeant-at-Arms	https://magicplugin.normalitycomics.com/cardimages/dom/32.jpg	default	Creature	Creature - Human Soldier	W	W	{2}{W}	3	2	3		C	Kicker {2}{W} | When this creature enters, if it was kicked, create two 1/1 white Soldier creature tokens.	DOM	dom	dom	playerNDeck
dom_dom-33	Serra Angel	https://magicplugin.normalitycomics.com/cardimages/dom/33.jpg	default	Creature	Creature - Angel	W	W	{3}{W}{W}	5	4	4		U	Flying | Vigilance	DOM	dom	dom	playerNDeck
dom_dom-34	Serra Disciple	https://magicplugin.normalitycomics.com/cardimages/dom/34.jpg	default	Creature	Creature - Bird Cleric	W	W	{1}{W}	2	1	1		C	Flying, first strike | Whenever you cast a historic spell, this creature gets +1/+1 until end of turn.	DOM	dom	dom	playerNDeck
dom_dom-35	Shalai, Voice of Plenty	https://magicplugin.normalitycomics.com/cardimages/dom/35.jpg	default	Creature	Legendary Creature - Angel	W	GW	{3}{W}	4	3	4		R	Flying | You, planeswalkers you control, and other creatures you control have hexproof. | {4}{G}{G}: Put a +1/+1 counter on each creature you control.	DOM	dom	dom	playerNDeck
dom_dom-36	Teshar, Ancestor's Apostle	https://magicplugin.normalitycomics.com/cardimages/dom/36.jpg	default	Creature	Legendary Creature - Bird Cleric	W	W	{3}{W}	4	2	2		R	Flying | Whenever you cast a historic spell, return target creature card with mana value 3 or less from your graveyard to the battlefield.	DOM	dom	dom	playerNDeck
dom_dom-37	Tragic Poet	https://magicplugin.normalitycomics.com/cardimages/dom/37.jpg	default	Creature	Creature - Human	W	W	{W}	1	1	1		C	{T}, Sacrifice this creature: Return target enchantment card from your graveyard to your hand.	DOM	dom	dom	playerNDeck
dom_dom-38	Triumph of Gerrard	https://magicplugin.normalitycomics.com/cardimages/dom/38.jpg	default	Enchantment	Enchantment - Saga	W	W	{1}{W}	2				U	I, II - Put a +1/+1 counter on target creature you control with the greatest power. | III - Target creature you control with the greatest power gains flying, first strike, and lifelink until end of turn.	DOM	dom	dom	playerNDeck
dom_dom-39	Urza's Ruinous Blast	https://magicplugin.normalitycomics.com/cardimages/dom/39.jpg	default	Sorcery	Legendary Sorcery	W	W	{4}{W}	5				R	Exile all nonland permanents that aren't legendary.	DOM	dom	dom	playerNDeck
dom_dom-40	Academy Drake	https://magicplugin.normalitycomics.com/cardimages/dom/40.jpg	default	Creature	Creature - Drake	U	U	{2}{U}	3	2	2		C	Kicker {4} | Flying | If this creature was kicked, it enters with two +1/+1 counters on it.	DOM	dom	dom	playerNDeck
dom_dom-41	Academy Journeymage	https://magicplugin.normalitycomics.com/cardimages/dom/41.jpg	default	Creature	Creature - Human Wizard	U	U	{4}{U}	5	3	2		C	This spell costs {1} less to cast if you control a Wizard. | When this creature enters, return target creature an opponent controls to its owner's hand.	DOM	dom	dom	playerNDeck
dom_dom-42	The Antiquities War	https://magicplugin.normalitycomics.com/cardimages/dom/42.jpg	default	Enchantment	Enchantment - Saga	U	U	{3}{U}	4				R	I, II - Look at the top five cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. | III - Artifacts you control become artifact creatures with base power and toughness 5/5 until end of turn.	DOM	dom	dom	playerNDeck
dom_dom-43	Arcane Flight	https://magicplugin.normalitycomics.com/cardimages/dom/43.jpg	default	Enchantment	Enchantment - Aura	U	U	{U}	1				C	Enchant creature | Enchanted creature gets +1/+1 and has flying.	DOM	dom	dom	playerNDeck
dom_dom-44	Artificer's Assistant	https://magicplugin.normalitycomics.com/cardimages/dom/44.jpg	default	Creature	Creature - Bird	U	U	{U}	1	1	1		C	Flying | Whenever you cast a historic spell, scry 1.	DOM	dom	dom	playerNDeck
dom_dom-45	Befuddle	https://magicplugin.normalitycomics.com/cardimages/dom/45.jpg	default	Instant	Instant	U	U	{2}{U}	3				C	Target creature gets -4/-0 until end of turn. | Draw a card.	DOM	dom	dom	playerNDeck
dom_dom-46	Blink of an Eye	https://magicplugin.normalitycomics.com/cardimages/dom/46.jpg	default	Instant	Instant	U	U	{1}{U}	2				C	Kicker {1}{U} | Return target nonland permanent to its owner's hand. If this spell was kicked, draw a card.	DOM	dom	dom	playerNDeck
dom_dom-47	Cloudreader Sphinx	https://magicplugin.normalitycomics.com/cardimages/dom/47.jpg	default	Creature	Creature - Sphinx	U	U	{4}{U}	5	3	4		C	Flying | When this creature enters, scry 2.	DOM	dom	dom	playerNDeck
dom_dom-48	Cold-Water Snapper	https://magicplugin.normalitycomics.com/cardimages/dom/48.jpg	default	Creature	Creature - Turtle	U	U	{5}{U}	6	4	5		C	Hexproof	DOM	dom	dom	playerNDeck
dom_dom-49	Curator's Ward	https://magicplugin.normalitycomics.com/cardimages/dom/49.jpg	default	Enchantment	Enchantment - Aura	U	U	{2}{U}	3				U	Enchant permanent | Enchanted permanent has hexproof. | When enchanted permanent leaves the battlefield, if it was historic, draw two cards.	DOM	dom	dom	playerNDeck
dom_dom-50	Deep Freeze	https://magicplugin.normalitycomics.com/cardimages/dom/50.jpg	default	Enchantment	Enchantment - Aura	U	U	{2}{U}	3				C	Enchant creature | Enchanted creature has base power and toughness 0/4, has defender, loses all other abilities, and is a blue Wall in addition to its other colors and types.	DOM	dom	dom	playerNDeck
dom_dom-51	Diligent Excavator	https://magicplugin.normalitycomics.com/cardimages/dom/51.jpg	default	Creature	Creature - Human Artificer	U	U	{1}{U}	2	1	3		U	Whenever you cast a historic spell, target player mills two cards.	DOM	dom	dom	playerNDeck
dom_dom-52	Divination	https://magicplugin.normalitycomics.com/cardimages/dom/52.jpg	default	Sorcery	Sorcery	U	U	{2}{U}	3				C	Draw two cards.	DOM	dom	dom	playerNDeck
dom_dom-53	Homarid Explorer	https://magicplugin.normalitycomics.com/cardimages/dom/53.jpg	default	Creature	Creature - Homarid Scout	U	U	{3}{U}	4	3	3		C	When this creature enters, target player mills four cards.	DOM	dom	dom	playerNDeck
dom_dom-54	In Bolas's Clutches	https://magicplugin.normalitycomics.com/cardimages/dom/54.jpg	default	Enchantment	Legendary Enchantment - Aura	U	U	{4}{U}{U}	6				U	Enchant permanent | You control enchanted permanent. | Enchanted permanent is legendary.	DOM	dom	dom	playerNDeck
dom_dom-55	Karn's Temporal Sundering	https://magicplugin.normalitycomics.com/cardimages/dom/55.jpg	default	Sorcery	Legendary Sorcery	U	U	{4}{U}{U}	6				R	Target player takes an extra turn after this one. Return up to one target nonland permanent to its owner's hand. Exile Karn's Temporal Sundering.	DOM	dom	dom	playerNDeck
