databaseId	name	imageUrl	cardBack	type	typeLine	color	colorId	cost	manaValue	power	toughness	loyalty	rarity	text	packName	set	actualSet	loadGroupId
commander_cmd-1	Artisan of Kozilek	https://magicplugin.normalitycomics.com/cardimages/cmd/1.jpg	default	Creature	Creature - Eldrazi			{9}	9	10	9		U	When you cast this spell, you may return target creature card from your graveyard to the battlefield. | Annihilator 2	CMD	commander	cmd	playerNDeck
commander_cmd-2	Afterlife	https://magicplugin.normalitycomics.com/cardimages/cmd/2.jpg	default	Instant	Instant	W	W	{2}{W}	3				U	Destroy target creature. It can't be regenerated. Its controller creates a 1/1 white Spirit creature token with flying.	CMD	commander	cmd	playerNDeck
commander_cmd-3	Akroma's Vengeance	https://magicplugin.normalitycomics.com/cardimages/cmd/3.jpg	default	Sorcery	Sorcery	W	W	{4}{W}{W}	6				R	Destroy all artifacts, creatures, and enchantments. | Cycling {3}	CMD	commander	cmd	playerNDeck
commander_cmd-4	Alliance of Arms	https://magicplugin.normalitycomics.com/cardimages/cmd/4.jpg	default	Sorcery	Sorcery	W	W	{W}	1				R	Join forces - Starting with you, each player may pay any amount of mana. Each player creates X 1/1 white Soldier creature tokens, where X is the total amount of mana paid this way.	CMD	commander	cmd	playerNDeck
commander_cmd-5	Angelic Arbiter	https://magicplugin.normalitycomics.com/cardimages/cmd/5.jpg	default	Creature	Creature - Angel	W	W	{5}{W}{W}	7	5	6		R	Flying | Each opponent who cast a spell this turn can't attack with creatures. | Each opponent who attacked with a creature this turn can't cast spells.	CMD	commander	cmd	playerNDeck
commander_cmd-6	Arbiter of Knollridge	https://magicplugin.normalitycomics.com/cardimages/cmd/6.jpg	default	Creature	Creature - Giant Wizard	W	W	{6}{W}	7	5	5		R	Vigilance | When this creature enters, each player's life total becomes the highest life total among all players.	CMD	commander	cmd	playerNDeck
commander_cmd-7	Archangel of Strife	https://magicplugin.normalitycomics.com/cardimages/cmd/7.jpg	default	Creature	Creature - Angel	W	W	{5}{W}{W}	7	6	6		R	Flying | As this creature enters, each player chooses war or peace. | Creatures controlled by players who chose war get +3/+0. | Creatures controlled by players who chose peace get +0/+3.	CMD	commander	cmd	playerNDeck
commander_cmd-8	Austere Command	https://magicplugin.normalitycomics.com/cardimages/cmd/8.jpg	default	Sorcery	Sorcery	W	W	{4}{W}{W}	6				R	Choose two - | - Destroy all artifacts. | - Destroy all enchantments. | - Destroy all creatures with mana value 3 or less. | - Destroy all creatures with mana value 4 or greater.	CMD	commander	cmd	playerNDeck
commander_cmd-9	Bathe in Light	https://magicplugin.normalitycomics.com/cardimages/cmd/9.jpg	default	Instant	Instant	W	W	{1}{W}	2				U	Radiance - Choose a color. Target creature and each other creature that shares a color with it gain protection from the chosen color until end of turn.	CMD	commander	cmd	playerNDeck
commander_cmd-10	Celestial Force	https://magicplugin.normalitycomics.com/cardimages/cmd/10.jpg	default	Creature	Creature - Elemental	W	W	{5}{W}{W}{W}	8	7	7		R	At the beginning of each upkeep, you gain 3 life.	CMD	commander	cmd	playerNDeck
