databaseId	name	imageUrl	cardBack	type	typeLine	color	colorId	cost	manaValue	power	toughness	loyalty	rarity	text	packName	set	actualSet	loadGroupId
portal_por-1	Alabaster Dragon	https://magicplugin.normalitycomics.com/cardimages/por/1.jpg	default	Creature	Creature - Dragon	W	W	{4}{W}{W}	6	4	4		R	Flying | When this creature dies, shuffle it into its owner's library.	POR	portal	por	playerNDeck
portal_por-2	Angelic Blessing	https://magicplugin.normalitycomics.com/cardimages/por/2.jpg	default	Sorcery	Sorcery	W	W	{2}{W}	3				C	Target creature gets +3/+3 and gains flying until end of turn.	POR	portal	por	playerNDeck
portal_por-3	Archangel	https://magicplugin.normalitycomics.com/cardimages/por/3.jpg	default	Creature	Creature - Angel	W	W	{5}{W}{W}	7	5	5		R	Flying, vigilance	POR	portal	por	playerNDeck
portal_por-4	Ardent Militia	https://magicplugin.normalitycomics.com/cardimages/por/4.jpg	default	Creature	Creature - Human Soldier	W	W	{4}{W}	5	2	5		U	Vigilance	POR	portal	por	playerNDeck
portal_por-5	Armageddon	https://magicplugin.normalitycomics.com/cardimages/por/5.jpg	default	Sorcery	Sorcery	W	W	{3}{W}	4				R	Destroy all lands.	POR	portal	por	playerNDeck
portal_por-6	Armored Pegasus	https://magicplugin.normalitycomics.com/cardimages/por/6.jpg	default	Creature	Creature - Pegasus	W	W	{1}{W}	2	1	2		C	Flying	POR	portal	por	playerNDeck
portal_por-7	Blessed Reversal	https://magicplugin.normalitycomics.com/cardimages/por/7.jpg	default	Instant	Instant	W	W	{1}{W}	2				R	You gain 3 life for each creature attacking you.	POR	portal	por	playerNDeck
portal_por-8	Blinding Light	https://magicplugin.normalitycomics.com/cardimages/por/8.jpg	default	Sorcery	Sorcery	W	W	{2}{W}	3				R	Tap all nonwhite creatures.	POR	portal	por	playerNDeck
portal_por-9	Border Guard	https://magicplugin.normalitycomics.com/cardimages/por/9.jpg	default	Creature	Creature - Human Soldier	W	W	{2}{W}	3	1	4		C		POR	portal	por	playerNDeck
portal_por-10	Breath of Life	https://magicplugin.normalitycomics.com/cardimages/por/10.jpg	default	Sorcery	Sorcery	W	W	{3}{W}	4				C	Return target creature card from your graveyard to the battlefield.	POR	portal	por	playerNDeck
portal_por-11	Charging Paladin	https://magicplugin.normalitycomics.com/cardimages/por/11.jpg	default	Creature	Creature - Human Knight	W	W	{2}{W}	3	2	2		U	Whenever this creature attacks, it gets +0/+3 until end of turn.	POR	portal	por	playerNDeck
