databaseId	name	imageUrl	cardBack	type	typeLine	color	colorId	cost	manaValue	power	toughness	loyalty	rarity	text	packName	set	actualSet	loadGroupId
alpha_lea-1	Animate Wall	https://magicplugin.normalitycomics.com/cardimages/lea/1.jpg	default	Enchantment	Enchantment - Aura	W	W	{W}	1				R	Enchant Wall | Enchanted Wall can attack as though it didn't have defender.	LEA	alpha	lea	playerNDeck
alpha_lea-2	Armageddon	https://magicplugin.normalitycomics.com/cardimages/lea/2.jpg	default	Sorcery	Sorcery	W	W	{3}{W}	4				R	Destroy all lands.	LEA	alpha	lea	playerNDeck
alpha_lea-3	Balance	https://magicplugin.normalitycomics.com/cardimages/lea/3.jpg	default	Sorcery	Sorcery	W	W	{1}{W}	2				R	Each player chooses a number of lands they control equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.	LEA	alpha	lea	playerNDeck
alpha_lea-4	Benalish Hero	https://magicplugin.normalitycomics.com/cardimages/lea/4.jpg	default	Creature	Creature - Human Soldier	W	W	{W}	1	1	1		C	Banding	LEA	alpha	lea	playerNDeck
alpha_lea-5	Black Ward	https://magicplugin.normalitycomics.com/cardimages/lea/5.jpg	default	Enchantment	Enchantment - Aura	W	W	{W}	1				U	Enchant creature | Enchanted creature has protection from black. This effect doesn't remove this Aura.	LEA	alpha	lea	playerNDeck
alpha_lea-6	Blaze of Glory	https://magicplugin.normalitycomics.com/cardimages/lea/6.jpg	default	Instant	Instant	W	W	{W}	1				R	Cast this spell only during combat before blockers are declared. | Target creature defending player controls can block any number of creatures this turn. It blocks each attacking creature this turn if able.	LEA	alpha	lea	playerNDeck
alpha_lea-7	Blessing	https://magicplugin.normalitycomics.com/cardimages/lea/7.jpg	default	Enchantment	Enchantment - Aura	W	W	{W}{W}	2				R	Enchant creature | {W}: Enchanted creature gets +1/+1 until end of turn.	LEA	alpha	lea	playerNDeck
alpha_lea-8	Blue Ward	https://magicplugin.normalitycomics.com/cardimages/lea/8.jpg	default	Enchantment	Enchantment - Aura	W	W	{W}	1				U	Enchant creature | Enchanted creature has protection from blue. This effect doesn't remove this Aura.	LEA	alpha	lea	playerNDeck
alpha_lea-9	Castle	https://magicplugin.normalitycomics.com/cardimages/lea/9.jpg	default	Enchantment	Enchantment	W	W	{3}{W}	4				U	Untapped creatures you control get +0/+2.	LEA	alpha	lea	playerNDeck
alpha_lea-10	Circle of Protection: Blue	https://magicplugin.normalitycomics.com/cardimages/lea/10.jpg	default	Enchantment	Enchantment	W	W	{1}{W}	2				C	{1}: The next time a blue source of your choice would deal damage to you this turn, prevent that damage.	LEA	alpha	lea	playerNDeck
alpha_lea-11	Circle of Protection: Green	https://magicplugin.normalitycomics.com/cardimages/lea/11.jpg	default	Enchantment	Enchantment	W	W	{1}{W}	2				C	{1}: The next time a green source of your choice would deal damage to you this turn, prevent that damage.	LEA	alpha	lea	playerNDeck
alpha_lea-12	Circle of Protection: Red	https://magicplugin.normalitycomics.com/cardimages/lea/12.jpg	default	Enchantment	Enchantment	W	W	{1}{W}	2				C	{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage.	LEA	alpha	lea	playerNDeck
alpha_lea-13	Circle of Protection: White	https://magicplugin.normalitycomics.com/cardimages/lea/13.jpg	default	Enchantment	Enchantment	W	W	{1}{W}	2				C	{1}: The next time a white source of your choice would deal damage to you this turn, prevent that damage.	LEA	alpha	lea	playerNDeck
alpha_lea-14	Consecrate Land	https://magicplugin.normalitycomics.com/cardimages/lea/14.jpg	default	Enchantment	Enchantment - Aura	W	W	{W}	1				U	Enchant land | Enchanted land has indestructible and can't be enchanted by other Auras.	LEA	alpha	lea	playerNDeck
alpha_lea-15	Conversion	https://magicplugin.normalitycomics.com/cardimages/lea/15.jpg	default	Enchantment	Enchantment	W	W	{2}{W}{W}	4				U	At the beginning of your upkeep, sacrifice this enchantment unless you pay {W}{W}. | All Mountains are Plains.	LEA	alpha	lea	playerNDeck
alpha_new-dawn-traveling-party	Traveling Party	https://magicplugin.normalitycomics.com/cardimages/new-dawn/traveling-party.jpg	default	Enchantment	Enchantment	W	W	{W}{W}	2				R	White creatures get +1/+1.	LEA	alpha	lea	playerNDeck
alpha_lea-17	Death Ward	https://magicplugin.normalitycomics.com/cardimages/lea/17.jpg	default	Instant	Instant	W	W	{W}	1				C	Regenerate target creature.	LEA	alpha	lea	playerNDeck
alpha_lea-18	Disenchant	https://magicplugin.normalitycomics.com/cardimages/lea/18.jpg	default	Instant	Instant	W	W	{1}{W}	2				C	Destroy target artifact or enchantment.	LEA	alpha	lea	playerNDeck
alpha_lea-19	Farmstead	https://magicplugin.normalitycomics.com/cardimages/lea/19.jpg	default	Enchantment	Enchantment - Aura	W	W	{W}{W}{W}	3				R	Enchant land | Enchanted land has "At the beginning of your upkeep, you may pay {W}{W}. If you do, you gain 1 life."	LEA	alpha	lea	playerNDeck
alpha_lea-20	Green Ward	https://magicplugin.normalitycomics.com/cardimages/lea/20.jpg	default	Enchantment	Enchantment - Aura	W	W	{W}	1				U	Enchant creature | Enchanted creature has protection from green. This effect doesn't remove this Aura.	LEA	alpha	lea	playerNDeck
alpha_lea-21	Guardian Angel	https://magicplugin.normalitycomics.com/cardimages/lea/21.jpg	default	Instant	Instant	W	W	{X}{W}	1				C	Prevent the next X damage that would be dealt to any target this turn. Until end of turn, you may pay {1} any time you could cast an instant. If you do, prevent the next 1 damage that would be dealt to that permanent or player this turn.	LEA	alpha	lea	playerNDeck
alpha_lea-22	Healing Salve	https://magicplugin.normalitycomics.com/cardimages/lea/22.jpg	default	Instant	Instant	W	W	{W}	1				C	Choose one - | - Target player gains 3 life. | - Prevent the next 3 damage that would be dealt to any target this turn.	LEA	alpha	lea	playerNDeck
alpha_lea-23	Holy Armor	https://magicplugin.normalitycomics.com/cardimages/lea/23.jpg	default	Enchantment	Enchantment - Aura	W	W	{W}	1				C	Enchant creature | Enchanted creature gets +0/+2. | {W}: Enchanted creature gets +0/+1 until end of turn.	LEA	alpha	lea	playerNDeck
alpha_lea-24	Holy Strength	https://magicplugin.normalitycomics.com/cardimages/lea/24.jpg	default	Enchantment	Enchantment - Aura	W	W	{W}	1				C	Enchant creature | Enchanted creature gets +1/+2.	LEA	alpha	lea	playerNDeck
alpha_lea-25	Island Sanctuary	https://magicplugin.normalitycomics.com/cardimages/lea/25.jpg	default	Enchantment	Enchantment	W	W	{1}{W}	2				R	If you would draw a card during your draw step, instead you may skip that draw. If you do, until your next turn, you can't be attacked except by creatures with flying and/or islandwalk.	LEA	alpha	lea	playerNDeck
alpha_lea-26	Karma	https://magicplugin.normalitycomics.com/cardimages/lea/26.jpg	default	Enchantment	Enchantment	W	W	{2}{W}{W}	4				U	At the beginning of each player's upkeep, this enchantment deals damage to that player equal to the number of Swamps they control.	LEA	alpha	lea	playerNDeck
alpha_lea-27	Lance	https://magicplugin.normalitycomics.com/cardimages/lea/27.jpg	default	Enchantment	Enchantment - Aura	W	W	{W}	1				U	Enchant creature | Enchanted creature has first strike.	LEA	alpha	lea	playerNDeck
alpha_lea-28	Mesa Pegasus	https://magicplugin.normalitycomics.com/cardimages/lea/28.jpg	default	Creature	Creature - Pegasus	W	W	{1}{W}	2	1	1		C	Flying; banding	LEA	alpha	lea	playerNDeck
alpha_lea-29	Northern Paladin	https://magicplugin.normalitycomics.com/cardimages/lea/29.jpg	default	Creature	Creature - Human Knight	W	W	{2}{W}{W}	4	3	3		R	{W}{W}, {T}: Destroy target black permanent.	LEA	alpha	lea	playerNDeck
alpha_lea-30	Pearled Unicorn	https://magicplugin.normalitycomics.com/cardimages/lea/30.jpg	default	Creature	Creature - Unicorn	W	W	{2}{W}	3	2	2		C		LEA	alpha	lea	playerNDeck
alpha_lea-31	Personal Incarnation	https://magicplugin.normalitycomics.com/cardimages/lea/31.jpg	default	Creature	Creature - Avatar Incarnation	W	W	{3}{W}{W}{W}	6	6	6		R	{0}: The next 1 damage that would be dealt to this creature this turn is dealt to its owner instead. Only this creatures owner may activate this ability. | When this creature dies, its owner loses half their life, rounded up.	LEA	alpha	lea	playerNDeck
alpha_lea-32	Purelace	https://magicplugin.normalitycomics.com/cardimages/lea/32.jpg	default	Instant	Instant	W	W	{W}	1				R	Target spell or permanent becomes white.	LEA	alpha	lea	playerNDeck
alpha_lea-33	Red Ward	https://magicplugin.normalitycomics.com/cardimages/lea/33.jpg	default	Enchantment	Enchantment - Aura	W	W	{W}	1				U	Enchant creature | Enchanted creature has protection from red. This effect doesn't remove this Aura.	LEA	alpha	lea	playerNDeck
alpha_lea-34	Resurrection	https://magicplugin.normalitycomics.com/cardimages/lea/34.jpg	default	Sorcery	Sorcery	W	W	{2}{W}{W}	4				U	Return target creature card from your graveyard to the battlefield.	LEA	alpha	lea	playerNDeck
alpha_lea-35	Reverse Damage	https://magicplugin.normalitycomics.com/cardimages/lea/35.jpg	default	Instant	Instant	W	W	{1}{W}{W}	3				R	The next time a source of your choice would deal damage to you this turn, prevent that damage. You gain life equal to the damage prevented this way.	LEA	alpha	lea	playerNDeck
alpha_lea-36	Righteousness	https://magicplugin.normalitycomics.com/cardimages/lea/36.jpg	default	Instant	Instant	W	W	{W}	1				R	Target blocking creature gets +7/+7 until end of turn.	LEA	alpha	lea	playerNDeck
alpha_lea-37	Samite Healer	https://magicplugin.normalitycomics.com/cardimages/lea/37.jpg	default	Creature	Creature - Human Cleric	W	W	{1}{W}	2	1	1		C	{T}: Prevent the next 1 damage that would be dealt to any target this turn.	LEA	alpha	lea	playerNDeck
alpha_lea-38	Savannah Lions	https://magicplugin.normalitycomics.com/cardimages/lea/38.jpg	default	Creature	Creature - Cat	W	W	{W}	1	2	1		R		LEA	alpha	lea	playerNDeck
alpha_lea-39	Serra Angel	https://magicplugin.normalitycomics.com/cardimages/lea/39.jpg	default	Creature	Creature - Angel	W	W	{3}{W}{W}	5	4	4		U	Flying | Vigilance	LEA	alpha	lea	playerNDeck
alpha_lea-40	Swords to Plowshares	https://magicplugin.normalitycomics.com/cardimages/lea/40.jpg	default	Instant	Instant	W	W	{W}	1				U	Exile target creature. Its controller gains life equal to its power.	LEA	alpha	lea	playerNDeck
alpha_lea-41	Veteran Bodyguard	https://magicplugin.normalitycomics.com/cardimages/lea/41.jpg	default	Creature	Creature - Human	W	W	{3}{W}{W}	5	2	5		R	As long as this creature is untapped, all damage that would be dealt to you by unblocked creatures is dealt to this creature instead.	LEA	alpha	lea	playerNDeck
alpha_lea-42	Wall of Swords	https://magicplugin.normalitycomics.com/cardimages/lea/42.jpg	default	Creature	Creature - Wall	W	W	{3}{W}	4	3	5		U	Defender | Flying	LEA	alpha	lea	playerNDeck
alpha_lea-43	White Knight	https://magicplugin.normalitycomics.com/cardimages/lea/43.jpg	default	Creature	Creature - Human Knight	W	W	{W}{W}	2	2	2		U	First strike | Protection from black	LEA	alpha	lea	playerNDeck
alpha_lea-44	White Ward	https://magicplugin.normalitycomics.com/cardimages/lea/44.jpg	default	Enchantment	Enchantment - Aura	W	W	{W}	1				U	Enchant creature | Enchanted creature has protection from white. This effect doesn't remove this Aura.	LEA	alpha	lea	playerNDeck
alpha_lea-45	Wrath of God	https://magicplugin.normalitycomics.com/cardimages/lea/45.jpg	default	Sorcery	Sorcery	W	W	{2}{W}{W}	4				R	Destroy all creatures. They can't be regenerated.	LEA	alpha	lea	playerNDeck
alpha_lea-46	Air Elemental	https://magicplugin.normalitycomics.com/cardimages/lea/46.jpg	default	Creature	Creature - Elemental	U	U	{3}{U}{U}	5	4	4		U	Flying	LEA	alpha	lea	playerNDeck
alpha_lea-47	Ancestral Recall	https://magicplugin.normalitycomics.com/cardimages/lea/47.jpg	default	Instant	Instant	U	U	{U}	1				R	Target player draws three cards.	LEA	alpha	lea	playerNDeck
alpha_lea-48	Animate Artifact	https://magicplugin.normalitycomics.com/cardimages/lea/48.jpg	default	Enchantment	Enchantment - Aura	U	U	{3}{U}	4				U	Enchant artifact | As long as enchanted artifact isn't a creature, it's an artifact creature with power and toughness each equal to its mana value.	LEA	alpha	lea	playerNDeck
alpha_lea-49	Blue Elemental Blast	https://magicplugin.normalitycomics.com/cardimages/lea/49.jpg	default	Instant	Instant	U	U	{U}	1				C	Choose one - | - Counter target red spell. | - Destroy target red permanent.	LEA	alpha	lea	playerNDeck
alpha_lea-50	Braingeyser	https://magicplugin.normalitycomics.com/cardimages/lea/50.jpg	default	Sorcery	Sorcery	U	U	{X}{U}{U}	2				R	Target player draws X cards.	LEA	alpha	lea	playerNDeck
alpha_lea-51	Clone	https://magicplugin.normalitycomics.com/cardimages/lea/51.jpg	default	Creature	Creature - Shapeshifter	U	U	{3}{U}	4	0	0		U	You may have this creature enter as a copy of any creature on the battlefield.	LEA	alpha	lea	playerNDeck
alpha_lea-52	Control Magic	https://magicplugin.normalitycomics.com/cardimages/lea/52.jpg	default	Enchantment	Enchantment - Aura	U	U	{2}{U}{U}	4				U	Enchant creature | You control enchanted creature.	LEA	alpha	lea	playerNDeck
alpha_lea-53	Copy Artifact	https://magicplugin.normalitycomics.com/cardimages/lea/53.jpg	default	Enchantment	Enchantment	U	U	{1}{U}	2				R	You may have this enchantment enter as a copy of any artifact on the battlefield, except it's an enchantment in addition to its other types.	LEA	alpha	lea	playerNDeck
alpha_lea-54	Counterspell	https://magicplugin.normalitycomics.com/cardimages/lea/54.jpg	default	Instant	Instant	U	U	{U}{U}	2				U	Counter target spell.	LEA	alpha	lea	playerNDeck
alpha_lea-55	Creature Bond	https://magicplugin.normalitycomics.com/cardimages/lea/55.jpg	default	Enchantment	Enchantment - Aura	U	U	{1}{U}	2				C	Enchant creature | When enchanted creature dies, this Aura deals damage equal to that creature's toughness to the creature's controller.	LEA	alpha	lea	playerNDeck
alpha_lea-56	Drain Power	https://magicplugin.normalitycomics.com/cardimages/lea/56.jpg	default	Sorcery	Sorcery	U	U	{U}{U}	2				R	Target player activates a mana ability of each land they control. Then that player loses all unspent mana and you add the mana lost this way.	LEA	alpha	lea	playerNDeck
alpha_lea-57	Feedback	https://magicplugin.normalitycomics.com/cardimages/lea/57.jpg	default	Enchantment	Enchantment - Aura	U	U	{2}{U}	3				U	Enchant enchantment | At the beginning of the upkeep of enchanted enchantment's controller, this Aura deals 1 damage to that player.	LEA	alpha	lea	playerNDeck
alpha_lea-58	Flight	https://magicplugin.normalitycomics.com/cardimages/lea/58.jpg	default	Enchantment	Enchantment - Aura	U	U	{U}	1				C	Enchant creature | Enchanted creature has flying.	LEA	alpha	lea	playerNDeck
alpha_lea-59	Invisibility	https://magicplugin.normalitycomics.com/cardimages/lea/59.jpg	default	Enchantment	Enchantment - Aura	U	U	{U}{U}	2				C	Enchant creature | Enchanted creature can't be blocked except by Walls.	LEA	alpha	lea	playerNDeck
alpha_lea-60	Jump	https://magicplugin.normalitycomics.com/cardimages/lea/60.jpg	default	Instant	Instant	U	U	{U}	1				C	Target creature gains flying until end of turn.	LEA	alpha	lea	playerNDeck
alpha_lea-61	Lifetap	https://magicplugin.normalitycomics.com/cardimages/lea/61.jpg	default	Enchantment	Enchantment	U	U	{U}{U}	2				U	Whenever a Forest an opponent controls becomes tapped, you gain 1 life.	LEA	alpha	lea	playerNDeck
alpha_lea-62	Lord of Atlantis	https://magicplugin.normalitycomics.com/cardimages/lea/62.jpg	default	Creature	Creature - Merfolk	U	U	{U}{U}	2	2	2		R	Other Merfolk get +1/+1 and have islandwalk.	LEA	alpha	lea	playerNDeck
alpha_lea-63	Magical Hack	https://magicplugin.normalitycomics.com/cardimages/lea/63.jpg	default	Instant	Instant	U	U	{U}	1				R	Change the text of target spell or permanent by replacing all instances of one basic land type with another.	LEA	alpha	lea	playerNDeck
alpha_lea-64	Mahamoti Djinn	https://magicplugin.normalitycomics.com/cardimages/lea/64.jpg	default	Creature	Creature - Djinn	U	U	{4}{U}{U}	6	5	6		R	Flying	LEA	alpha	lea	playerNDeck
alpha_lea-65	Mana Short	https://magicplugin.normalitycomics.com/cardimages/lea/65.jpg	default	Instant	Instant	U	U	{2}{U}	3				R	Tap all lands target player controls and that player loses all unspent mana.	LEA	alpha	lea	playerNDeck
alpha_lea-66	Merfolk of the Pearl Trident	https://magicplugin.normalitycomics.com/cardimages/lea/66.jpg	default	Creature	Creature - Merfolk	U	U	{U}	1	1	1		C		LEA	alpha	lea	playerNDeck
alpha_lea-67	Phantasmal Forces	https://magicplugin.normalitycomics.com/cardimages/lea/67.jpg	default	Creature	Creature - Illusion	U	U	{3}{U}	4	4	1		U	Flying | At the beginning of your upkeep, sacrifice this creature unless you pay {U}.	LEA	alpha	lea	playerNDeck
alpha_lea-68	Phantasmal Terrain	https://magicplugin.normalitycomics.com/cardimages/lea/68.jpg	default	Enchantment	Enchantment - Aura	U	U	{U}{U}	2				C	Enchant land | As this Aura enters, choose a basic land type. | Enchanted land is the chosen type.	LEA	alpha	lea	playerNDeck
alpha_lea-69	Phantom Monster	https://magicplugin.normalitycomics.com/cardimages/lea/69.jpg	default	Creature	Creature - Illusion	U	U	{3}{U}	4	3	3		U	Flying	LEA	alpha	lea	playerNDeck
alpha_lea-70	Pirate Ship	https://magicplugin.normalitycomics.com/cardimages/lea/70.jpg	default	Creature	Creature - Human Pirate	U	U	{4}{U}	5	4	3		R	This creature can't attack unless defending player controls an Island. | {T}: This creature deals 1 damage to any target. | When you control no Islands, sacrifice this creature.	LEA	alpha	lea	playerNDeck
alpha_lea-71	Power Leak	https://magicplugin.normalitycomics.com/cardimages/lea/71.jpg	default	Enchantment	Enchantment - Aura	U	U	{1}{U}	2				C	Enchant enchantment | At the beginning of the upkeep of enchanted enchantment's controller, that player may pay any amount of mana. This Aura deals 2 damage to that player. Prevent X of that damage, where X is the amount of mana that player paid this way.	LEA	alpha	lea	playerNDeck
alpha_lea-72	Power Sink	https://magicplugin.normalitycomics.com/cardimages/lea/72.jpg	default	Instant	Instant	U	U	{X}{U}	1				C	Counter target spell unless its controller pays {X}. If that player doesn't, they tap all lands with mana abilities they control and lose all unspent mana.	LEA	alpha	lea	playerNDeck
alpha_lea-73	Prodigal Sorcerer	https://magicplugin.normalitycomics.com/cardimages/lea/73.jpg	default	Creature	Creature - Human Wizard Sorcerer	U	U	{2}{U}	3	1	1		C	{T}: This creature deals 1 damage to any target.	LEA	alpha	lea	playerNDeck
alpha_lea-74	Psionic Blast	https://magicplugin.normalitycomics.com/cardimages/lea/74.jpg	default	Instant	Instant	U	U	{2}{U}	3				U	Psionic Blast deals 4 damage to any target and 2 damage to you.	LEA	alpha	lea	playerNDeck
alpha_lea-75	Psychic Venom	https://magicplugin.normalitycomics.com/cardimages/lea/75.jpg	default	Enchantment	Enchantment - Aura	U	U	{1}{U}	2				C	Enchant land | Whenever enchanted land becomes tapped, this Aura deals 2 damage to that land's controller.	LEA	alpha	lea	playerNDeck
alpha_lea-76	Sea Serpent	https://magicplugin.normalitycomics.com/cardimages/lea/76.jpg	default	Creature	Creature - Serpent	U	U	{5}{U}	6	5	5		C	This creature can't attack unless defending player controls an Island. | When you control no Islands, sacrifice this creature.	LEA	alpha	lea	playerNDeck
alpha_lea-77	Siren's Call	https://magicplugin.normalitycomics.com/cardimages/lea/77.jpg	default	Instant	Instant	U	U	{U}	1				U	Cast this spell only during an opponent's turn, before attackers are declared. | Creatures the active player controls attack this turn if able. | At the beginning of the next end step, destroy all non-Wall creatures that player controls that didn't attack this turn. Ignore this effect for each creature the player didn't control continuously since the beginning of the turn.	LEA	alpha	lea	playerNDeck
