databaseId	name	imageUrl	cardBack	type	packName	set	loadGroupId	klass	level	attack	hp	type2	text	rarity	number
Set1_arrowblow	Arrow Blow	maple-story/set-1/MapleStory-Set1-ArrowBlow.jpg	default	Tactic	Set 1	Set1	playerNDeck	Bowman	10			Skill	Do 30 damage to a character or monster. / 50B Spawn / Think Fast 40 -- Play a Monster or tactic of level 40 or less.	C	1001
Set1_battlebow	Battle Bow	maple-story/set-1/MapleStory-Set1-BattleBow.jpg	default	Item	Set 1	Set1	playerNDeck	Bowman	25			Weapon	Get +20 on damage you do with one of your character actions each turn. / OS: Critical Shot -- Flip a coin. If you win, do damage equal to your level to a character or monster.	U	1002
Set1_blackrobinhat	Black Robin Hat	maple-story/set-1/MapleStory-Set1-BlackRobinHat.jpg	default	Item	Set 1	Set1	playerNDeck	Bowman	20			Armor	Each of your Flying monsters gets +10 attack. / 60BB Tricky Shot -- Do 20 damage to a character or monster.	C	1003
Set1_bluediros	Blue Diros	maple-story/set-1/MapleStory-Set1-BlueDiros.jpg	default	Item	Set 1	Set1	playerNDeck	Bowman	20			Armor	The first monster that attacks you each turn gets -10 attack until end of turn. / 30BB Equip 30 -- Play an equip of level 30 or less.	C	1004
Set1_cerebes	Cerebes	maple-story/set-1/MapleStory-Set1-Cerebes.jpg	default	Monster	Set 1	Set1	playerNDeck	Bowman	72	70	70	Dog	Earthquake -- Whenever a monster damages Cerebes, do 40 damage to that monster. / 80BB Spawn / Equip 120 -- Play a monster or item of level 120 or less.	R	1005
Set1_curseeye	Curse Eye	maple-story/set-1/MapleStory-Set1-CurseEye.jpg	default	Monster	Set 1	Set1	playerNDeck	Bowman	35	30	40	Worm	50BB Spawn / Think Fast 40 -- Play a monster or tactic of level 40 or less.	C	1006
Set1_drake	Drake	maple-story/set-1/MapleStory-Set1-Drake.jpg	default	Monster	Set 1	Set1	playerNDeck	Bowman	50	30	40	Fire Dragon	Chomp -- When you play Drake, do 30 damage to a character or monster. / 80BBB Deadly Shot -- Do 30 damage to a character or monster.	R	1007
Set1_fairy	Fairy	maple-story/set-1/MapleStory-Set1-Fairy.jpg	default	Monster	Set 1	Set1	playerNDeck	Bowman	30	30	20	Flying Fairy	Hide -- Whenever your opponent levels up, return Fairy to your hand. / 30BB Spawn 30 -- Play a monster of level 30 or less.	U	1008
Set1_focus	Focus	maple-story/set-1/MapleStory-Set1-Focus.jpg	default	Tactic	Set 1	Set1	playerNDeck	Bowman	20			Skill	Get +50 damage you do with the next character action or monster attack this turn. / 40BB Think Fast 40 -- Play a tactic of level 40 or less.	R	1009
Set1_goldencrow	Golden Crow	maple-story/set-1/MapleStory-Set1-GoldenCrow.jpg	default	Item	Set 1	Set1	playerNDeck	Bowman	60			Weapon	Double the damage of one of your character actions each turn. / 50BB No Mercy -- Do 10 damage to a character or monster. If that damage destroys a monster do this action again.	R	1010
Set1_greentrixter	Green Trixter	maple-story/set-1/MapleStory-Set1-GreenTrixter.jpg	default	Monster	Set 1	Set1	playerNDeck	Bowman	28	20	20	Pest	Sting -- When you play Green Trixter, do 10 damage to a character or monster. / 20B Easy Shot -- Do 10 damage to a character or monster.	C	1011
Set1_hector	Hector	maple-story/set-1/MapleStory-Set1-Hector.jpg	default	Monster	Set 1	Set1	playerNDeck	Bowman	55	50	50	Wolf	Pack Hunt -- Monsters that attack on the turn you play Hector each get +10 attack until end of turn (including Hector). / 60BB Spawn 70 -- Play a monster of level 70 or less.	C	1012
Set1_hornedmushroom	Horned Mushroom	maple-story/set-1/MapleStory-Set1-HornedMushroom.jpg	default	Monster	Set 1	Set1	playerNDeck	Bowman	22	20	40	Mushroom	40BB Spawn / Equip 30 -- Play a monster or item of level 30 or less.	C	1013
