databaseId	name	imageUrl	cardBack	type	acceleration	accelerationFixed	accelerationScaling	alterEgoHandSizeModifier	amplify	cerebroId	classification	crisis	globalHandSizeModifier	handSize	hazard	heroHandSizeModifier	hitPointsFixed	hitPointsScaling	identityHitPointsModifier	marvelcdbId	nemesisMinion	permanent	set	stage	starting	startingThreatFixed	startingThreatScaling	subname	toughness	traits	uses	victory
0001a71b-7bc0-51ca-b9d6-cc5d8a808ddc	Parcours do Combattant	marvel-champions/the-leaper/MarvelChampions-TheLeaper-ParcoursDoCombattant.jpg	encounter	Treachery						50164	Encounter									50164	false	false	The Leaper		false				false			
0006bfd8-06a5-5928-8d17-1b4971407dbc	Ironheart	marvel-champions/ironheart/MarvelChampions-Ironheart-Ironheart.jpg	multi_sided	Hero						29002A	Hero			5			10			29002a	false	false	Ironheart		false			Riri Williams	false	Aerial,Champion,Version 2		
0006bfd8-06a5-5928-8d17-1b4971407dbc	Riri Williams	marvel-champions/ironheart/MarvelChampions-Ironheart-RiriWilliams.jpg	multi_sided	Alter-Ego						29002B	Hero			6			10			29002b	false	false	Ironheart		false			Ironheart	false	Genius		
0008c8a2-35cc-5bb1-9678-97a421b49058	The Elephant's Trunk	marvel-champions/black-panther-shuri/MarvelChampions-BlackPantherShuri-TheElephantsTrunk.jpg	player	Support						51007	Hero									51007	false	false	Black Panther (Shuri)		false				false	Persona,Wakanda		
0021433f-c89a-5eb9-863a-1fd78300db95	Storm	marvel-champions/official/MarvelChampions-Official-Storm.jpg	player	Ally						34021	Basic						3			34021	false	false	official		false			Ororo Munroe	false	Aerial,X-Men		
003b6e60-b270-517b-91e1-b9aedf0eb0ec	Fighting Dirty	marvel-champions/captain-america-rewards/MarvelChampions-CaptainAmericaRewards-FightingDirty.jpg	player	Event						56208	Basic									56208	false	false	Captain America Rewards		false				false			
004ad22a-4cb7-5406-ad0c-16143ecd5e02	Spider-Man	marvel-champions/official/MarvelChampions-Official-SpiderMan.jpg	player	Ally						27017	Basic						3			27017	false	false	official		false			Hobie Brown	false	Web-Warrior		
0064d55e-4bce-5002-bd86-d6611dceff2a	Ronan the Accuser	marvel-champions/ronan-the-accuser/MarvelChampions-RonanTheAccuser-RonanTheAccuser.jpg	villain	Villain						16103	Encounter							14		16103	false	false	Ronan the Accuser	I	false				true	Accuser Corps,Kree		
006a94a7-dd12-5245-832a-2bdce1aa82a4	Intruder Alert!	marvel-champions/master-mold/MarvelChampions-MasterMold-IntruderAlert.jpg	encounter	Side Scheme						32119	Encounter	1								32119	false	false	Master Mold		false		3		false			
00721b9c-b6fe-57db-84d1-231419a04b91	Spiked Gauntlet	marvel-champions/osborn-tech/MarvelChampions-OsbornTech-SpikedGauntlet.jpg	encounter	Attachment						27151	Encounter									27151	false	false	Osborn Tech		false				false	Tech,Weapon		
00751a14-efb9-56e2-a945-828b0010ada0	Agents of S.H.I.E.L.D.	marvel-champions/official/MarvelChampions-Official-AgentsOfSHIELD.jpg	player	Support						50015	Leadership									50015	false	false	official		false				false	Team		
008b3a59-fd80-5861-b52b-225ecff1746b	Evil Doppelgänger	marvel-champions/personal-nightmare/MarvelChampions-PersonalNightmare-EvilDoppelgNger.jpg	encounter	Minion						27154	Encounter						5			27154	true	false	Personal Nightmare		false				false	Illusion		
008dd3dc-e908-5cb8-ac14-b9bb46af74cd	Self Preservation	marvel-champions/official/MarvelChampions-Official-SelfPreservation.jpg	player	Resource						44027	'Pool									44027	false	false	official		false				false			
009630a8-942f-5e45-ad24-0bade2239481	Draugr Buddy	marvel-champions/god-of-lies/MarvelChampions-GodOfLies-DraugrBuddy.jpg	encounter	Minion						55037	Encounter						2			55037	false	false	God of Lies		false				false	Undead		
00a50c3d-bad0-5ed8-9a0a-7238fbc56d9c	Morlun	marvel-champions/the-inheritors/MarvelChampions-TheInheritors-Morlun.jpg	encounter	Minion						30036	Encounter						5			30036	false	false	The Inheritors		false				false	Elite,Inheritor		
00c3ef3d-65d8-53b4-9e0c-3038fc77ff1c	Thanos	marvel-champions/thanos/MarvelChampions-Thanos-Thanos.jpg	villain	Villain						21113	Encounter							28		21113	false	false	Thanos	III	false				true	Black Order,Titan		
00ecbfb9-a9bd-537a-9d4d-3fcb320c7665	Captured by Hydra	marvel-champions/taskmaster/MarvelChampions-Taskmaster-CapturedByHydra.jpg	encounter	Side Scheme	1					04107	Encounter									04107	false	false	Taskmaster		false	5			false			
00f4ee0c-7a71-55b3-a4dd-4baae5d14bb2	Strength	marvel-champions/official/MarvelChampions-Official-Strength.jpg	player	Resource						21025	Basic									21025	false	false	official		false				false			
011608d6-475c-5b13-baa2-9572a44cd4d5	Criminal Enterprise	marvel-champions/risky-business/MarvelChampions-RiskyBusiness-CriminalEnterprise.jpg	multi_sided	Environment						02006A	Encounter									02006a	false	false	Risky Business		false				false			
011608d6-475c-5b13-baa2-9572a44cd4d5	State of Madness	marvel-champions/risky-business/MarvelChampions-RiskyBusiness-StateOfMadness.jpg	multi_sided	Environment						02006B	Encounter									02006b	false	false	Risky Business		false				false			
