databaseId	name	imageUrl	cardBack	type	set	class	race	skills	homeSite	mind	influence	gi	prowess	body	strikes	playable	mp	sp	magic	specific	corruption	region	sitePath	draw	opponentDraw	rarity	text	loadGroupId
AgainstShadow_ALieinYourEyes	A Lie in Your Eyes	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-ALieInYourEyes.jpg	default	Hazard	AgainstShadow	Short-event																				R2	"Playable on an untapped non-Ringwraith, non-Wizard character. Your opponent may either; tap the character, tap an ally the character controls, or choose for you to make a roll. If the result is greater than the character's mind plus 6, the character is discarded (along with all cards he controls)."	playerNDeck
AgainstShadow_AlatartheHunter	Alatar the Hunter	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-AlatarTheHunter.jpg	default	Hazard	AgainstShadow	Creature/Permanent-event	Maia						13	9	2	{f}{F}	6*									R2+U1	"Unique. Maia. Manifestation of Alatar. Two strikes. Attacker chooses defending characters. Detainment and -3 prowess against hero companies. Discard this card if Alatar comes into play. May be played keyed to Free-domains and Free-holds and to Andrast, Old Pukel Gap, Anfalas, Lamedon, Belfalas or Anorien; or at sites in these regions. As a permanent-event, all Maia attacks receive +1 prowess and strike and attacker chooses defending characters. Discard when any play deck is exhausted. {green} DCE: As a creature, may be played keyed to Taur Romen, Kykurian Kyn, Reimether, Lotan, Dyr, Forruhn, Harrhun ; or at sites in these regions."	playerNDeck
AgainstShadow_AloneandUnadvised	Alone and Unadvised	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-AloneAndUnadvised.jpg	default	Hazard	AgainstShadow	Permanent-event															4					C3	Corruption. Playable on a non-Wizard, non-Ringwraith character in a company with 3 or fewer characters. Character makes a corruption check at the end of his movement/hazard phase for each region he moved through. All of his checks are modified by the number of characters in his company. during his organization phase, he may tap to attempt to remove this card by rolling greater than 6. Discard this card if his company has 4 or more characters. Cannot be duplicated on a given character.	playerNDeck
AgainstShadow_ComeatNeed	Come at Need	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-ComeAtNeed.jpg	default	Hazard	AgainstShadow	Permanent-event																				C2	"Place one ally from your hand ""off to the side"" with it. The ally must be able to be attacked. If an opponent's company moves to a site where the ally is playable, it faces a single-strike attack with the attributes of the ally and +7 prowess. Attack is detainment if the ally and the company are both minion or both hero; and this card is discarded afterwards. You may return the ally to your hand and discard this card during your organization phase."	playerNDeck
AgainstShadow_DurinsFolk	Durin's Folk	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-DurinsFolk.jpg	default	Hazard	AgainstShadow	Creature	Dwarves						8	-	5	{w}{b}	2*									C3	Dwarves. Five strikes. Detainment and -2 prowess against hero companies. May also be played keyed to The Shire.	playerNDeck
AgainstShadow_DwarvenTravelers	Dwarven Travelers	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-DwarvenTravelers.jpg	default	Hazard	AgainstShadow	Creature	Dwarves						8	-	3	{w}{b}{R}{B}	1*									C3	Dwarves. Three strikes. Detainment against hero and covert companies. May be played keyed to Wilderness, Border-lands, Ruins and Lairs and Border-holds. Maia hazard creatures may be keyed to Border-hold or Ruins and Lairs against any company that has faces Dwarven Travelers this turn.	playerNDeck
AgainstShadow_EarlyHarvest	Early Harvest	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-EarlyHarvest.jpg	default	Hazard	AgainstShadow	Short-event																				C2	Playable on a faction that is normally playable at a Border-hold. Make a roll modified by -1 if the faction is a minion faction. Return the faction to opponent's hand if the result plus the normal MPs the faction gives is greater than 12.	playerNDeck
AgainstShadow_EnchantedStream	Enchanted Stream	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-EnchantedStream.jpg	default	Hazard	AgainstShadow	Permanent-event																				C3	Playable on a company with at least one Wilderness in its site path. A ranger in the company can tap to cancel this card. The company cannot split or move to a new site unless it taps all of its untapped characters to a maximum of two during its organization phase. Discard during any organization phase if the company is at a Haven.	playerNDeck
AgainstShadow_FealtyUnderTrial	Fealty Under Trial	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-FealtyUnderTrial.jpg	default	Hazard	AgainstShadow	Short-event																				C2	Playable on a minion at a Haven or Barad-dur. Make a roll, adding the MPs (as though they were stored) and CPs of all items and events played with target minion. All items and storable events played with target minion are then automatically stored. Then, if result was greater than 15, discard the minion.	playerNDeck
AgainstShadow_FEARFIREFOES	FEAR! FIRE! FOES!	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-FEARFIREFOES.jpg	default	Hazard	AgainstShadow	Short-event																				C3	"Playable on and Free-hold or Border-hold. An extra auto-attack is created this turn; 5 strikes at 8 (detainment). Alternatively, playable on a detainment auto-attack against a minion company. The attack becomes normal and has -1 prowess."	playerNDeck
AgainstShadow_FullofFrothandRage	Full of Froth and Rage	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-FullOfFrothAndRage.jpg	default	Hazard	AgainstShadow	Permanent-event																				C2	All Spider and Animal attacks receive +2 prowess. Discard if a Spider or Animal attack is defeated. Cannot be duplicated.	playerNDeck
AgainstShadow_Galadhrim	Galadhrim	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-Galadhrim.jpg	default	Hazard	AgainstShadow	Creature	Elves						11	7	3		2*									C2	"Elves. Three strikes. Detainment and -2 prowess against hero companies. Playable keyed to Lindon, Rhudaur, Wold & Foothills, or Anfalas; or at non-Haven sites in these regions. Characters wounded by an attack from Galadhrim must discard all their items. {green} DCE: Playable keyed to Lindon, Rhudaur, Wold & Foothills, Anfalas, Heb Aaraan, or Minheldolath; or at non-Haven sites in these regions."	playerNDeck
