databaseId	name	imageUrl	cardBack	type	packName	set	loadGroupId	number	rarity	element	power	cost	playRequired	keywords	traits	text
5ff3e6bf-84fb-4387-8931-cfd18710c93c	Rainbow Dash	mlp-ccg/premier/MlpCcg-Premier-RainbowDash.jpg	default	Mane Character	Premier	Premier	playerNStarting	PR1	F	Loyalty	1			Home Limit 3	Pegasus	When you confront this card's Problem, if you have a Troublemaker at that Problem, turn this card over.
fbfe63a5-71e4-4b16-b735-9cfca17f8b45	Applejack	mlp-ccg/premier/MlpCcg-Premier-Applejack.jpg	default	Mane Character	Premier	Premier	playerNStarting	PR2	F	Honesty	1			Home Limit 3	Earth Pony	When you confront this card's Problem with more power than required, turn this card over.
7a6d06b9-e09e-4c73-930b-0b62a36b4588	Pinkie Pie	mlp-ccg/premier/MlpCcg-Premier-PinkiePie.jpg	default	Mane Character	Premier	Premier	playerNStarting	PR3	F	Laughter	1			Home Limit 3	Earth Pony	When you confront this card's Problem, if none of your opponent's Friends are at that Problem, turn this card over.
e0ded2bf-41fe-4a02-bf7a-f269c5895840	Twilight Sparkle	mlp-ccg/premier/MlpCcg-Premier-TwilightSparkle.jpg	default	Mane Character	Premier	Premier	playerNStarting	PR4	F	Magic	1			Home Limit 3	Unicorn	When you win a faceoff involving this card, turn this card over.
10e394e3-6437-49bb-b836-ab20f49c92b7	Rarity	mlp-ccg/premier/MlpCcg-Premier-Rarity.jpg	default	Mane Character	Premier	Premier	playerNStarting	PR5	F	Generosity	1			Home Limit 3	Unicorn	When you score at least 2 points with this card during one Score Phase, turn this card over.
935e02bc-b14d-4a49-ae4d-375f567fb3ac	Fluttershy	mlp-ccg/premier/MlpCcg-Premier-Fluttershy.jpg	default	Mane Character	Premier	Premier	playerNStarting	PR6	F	Kindness	1			Home Limit 3	Pegasus	When you confront this card's Problem, if you have a Critter Friend at that Problem, turn this card over.
eb8df8fc-d7a5-410c-9e3f-d914bf73e3d3	Jetstream	mlp-ccg/premier/MlpCcg-Premier-Jetstream.jpg	default	Friend	Premier	Premier	playerNDeck	PR7	C	Loyalty	2	3	1		Pegasus	While involved in a faceoff, this card gets +2 power.
ffc99132-7001-4a4f-bc31-2ef202266298	Cerulean Skies	mlp-ccg/premier/MlpCcg-Premier-CeruleanSkies.jpg	default	Friend	Premier	Premier	playerNDeck	PR8	C	Loyalty	1	1	1	Swift	Pegasus	
4a60748b-bb70-416a-979a-973f98095b44	Finish Line	mlp-ccg/premier/MlpCcg-Premier-FinishLine.jpg	default	Friend	Premier	Premier	playerNDeck	PR9	U	Loyalty	2	3	2	Swift	Earth Pony, Foal	
da6afcf9-e479-4941-96cb-234d97a7a8bd	Wild Fire	mlp-ccg/premier/MlpCcg-Premier-WildFire.jpg	default	Friend	Premier	Premier	playerNDeck	PR10	R	Loyalty	2	2	2		Pegasus	When you move this card to a Problem, you may move another one of your characters to the same Problem.
a5b7c9d8-0747-4910-a6ca-aabedf7dd3dc	Cloudchaser	mlp-ccg/premier/MlpCcg-Premier-Cloudchaser.jpg	default	Friend	Premier	Premier	playerNDeck	PR11	R	Loyalty	1	2			Pegasus	Main Phase: Exhaust this card to reduce by [1] the cost of the next Friend you play this turn.
3b4aa10e-9174-4ce6-a51e-b0fa46ed6d45	Emerald Green	mlp-ccg/premier/MlpCcg-Premier-EmeraldGreen.jpg	default	Friend	Premier	Premier	playerNDeck	PR12	C	Loyalty	2	2			Earth Pony	
b16e88dc-676c-4ef2-9ef7-3852791ef374	Holly Dash	mlp-ccg/premier/MlpCcg-Premier-HollyDash.jpg	default	Friend	Premier	Premier	playerNDeck	PR13	F	Loyalty	4	4	2		Unicorn	When you move this card to a Problem, you may move another one of your characters to the same Problem.
2c6b5504-2d2a-4963-8785-94f950d4d030	Pegasus Royal Guard	mlp-ccg/premier/MlpCcg-Premier-PegasusRoyalGuard.jpg	default	Friend	Premier	Premier	playerNDeck	PR14	C	Loyalty	1	1	1		Pegasus	While involved in a faceoff, this card gets +1 power.
cd9c1d5f-9bf0-49e7-a889-30fece22eb7a	Rainbow Dash	mlp-ccg/premier/MlpCcg-Premier-RainbowDash-2.jpg	default	Friend	Premier	Premier	playerNDeck	PR15	U	Loyalty	2	3	2		Pegasus	Main Phase: Exhaust this card to ready another one of your cards.
6e8d157b-8de5-4364-b7ea-f10faabec45e	Rainbowshine	mlp-ccg/premier/MlpCcg-Premier-Rainbowshine.jpg	default	Friend	Premier	Premier	playerNDeck	PR16	C	Loyalty	2	2	1		Pegasus	When you move this card to a Problem, ready one of your characters there.
ccb18ed9-0086-4630-a17e-1a9e4adfea5d	Scootaloo	mlp-ccg/premier/MlpCcg-Premier-Scootaloo.jpg	default	Friend	Premier	Premier	playerNDeck	PR17	R	Loyalty	2	2	1		Pegasus, Foal	Main Phase: Exhaust this card to play a Troublemaker for free.
3b28c5c1-25fe-4223-bce9-7587e2d9d374	Spike	mlp-ccg/premier/MlpCcg-Premier-Spike.jpg	default	Friend	Premier	Premier	playerNDeck	PR18	R	Loyalty	0	2	1	Swift	Dragon	Main Phase: Pay [1] to give this card +1 power until the end of the turn.
67dfe7c2-02a1-4ea8-a129-5ac1275b4d55	Solar Wind	mlp-ccg/premier/MlpCcg-Premier-SolarWind.jpg	default	Friend	Premier	Premier	playerNDeck	PR19	R	Loyalty	1	1	1		Pegasus	When you play a Pegasus Friend to this card's Problem, you may exhaust this card. If you do, gain [1].
a4d82a6e-85ad-4b3f-b8c2-16a6cee6522a	Sweetie Sunrise	mlp-ccg/premier/MlpCcg-Premier-SweetieSunrise.jpg	default	Friend	Premier	Premier	playerNDeck	PR20	C	Loyalty	1	1			Pegasus	
5fce3827-1fbd-4361-b005-3d3d10817d16	Gala Appleby	mlp-ccg/premier/MlpCcg-Premier-GalaAppleby.jpg	default	Friend	Premier	Premier	playerNDeck	PR21	R	Honesty	1	1	1		Earth Pony	When you move this card to a Problem, it gets +1 power until the end of the turn.
ad066572-9e76-4b8e-836f-0f461b96ba0f	Apple Cobbler	mlp-ccg/premier/MlpCcg-Premier-AppleCobbler.jpg	default	Friend	Premier	Premier	playerNDeck	PR22	C	Honesty	1	1	1	Stubborn	Earth Pony	
0b979623-7d40-4ca3-833c-656c4488ac49	Applejack	mlp-ccg/premier/MlpCcg-Premier-Applejack-2.jpg	default	Friend	Premier	Premier	playerNDeck	PR23	C	Honesty	2	3	2	Stubborn	Earth Pony	When you win a faceoff involving this card, your opponent discards a random card.
e0146473-e864-4cc3-9464-8f1244b6b635	Applejack	mlp-ccg/premier/MlpCcg-Premier-Applejack-3.jpg	default	Friend	Premier	Premier	playerNDeck	PR24	R	Honesty	2	3	2		Earth Pony	Main Phase: Exhaust this card to add its power to the power of another [Honesty] Friend until the end of the turn.
733d5c75-d276-4224-b5c6-9551a4001979	Auntie Applesauce	mlp-ccg/premier/MlpCcg-Premier-AuntieApplesauce.jpg	default	Friend	Premier	Premier	playerNDeck	PR25	U	Honesty	1	2			Earth Pony, Elder	When this card is dismissed, put it into its owner's hand.
10f58c29-07e0-41d6-b231-8a6ab96edc17	Cherry Jubilee	mlp-ccg/premier/MlpCcg-Premier-CherryJubilee.jpg	default	Friend	Premier	Premier	playerNDeck	PR26	F	Honesty	1	1			Earth Pony	This card gets +1 power for each Resource on it.
67a50d37-382b-42ad-a66c-0c2bbf78a226	Coco Crusoe	mlp-ccg/premier/MlpCcg-Premier-CocoCrusoe.jpg	default	Friend	Premier	Premier	playerNDeck	PR27	R	Honesty	2	3			Earth Pony	When you uncover a Troublemaker at this card's Problem, an opponent discards 2 random cards.
12af9430-0785-4e63-8070-d16b66777c65	Granny Smith	mlp-ccg/premier/MlpCcg-Premier-GrannySmith.jpg	default	Friend	Premier	Premier	playerNDeck	PR28	C	Honesty	2	2	1		Earth Pony, Elder	When you play this card, you may reattach a Resource from one Friend to another.
8eb51ca3-631a-44a4-be8b-184786c27da9	Igneous Rock	mlp-ccg/premier/MlpCcg-Premier-IgneousRock.jpg	default	Friend	Premier	Premier	playerNDeck	PR29	C	Honesty	1	1	2		Earth Pony	When you play this card, it gets +1 power until the end of the turn.
0b47601c-cd7e-46d4-b8c5-041d1539d7b5	Drill Bit	mlp-ccg/premier/MlpCcg-Premier-DrillBit.jpg	default	Friend	Premier	Premier	playerNDeck	PR30	C	Honesty	3	4	2		Pegasus	When you play this card, your opponent discards a random card.
f5448e80-549b-433b-9e75-ec0563e1025e	Full Steam	mlp-ccg/premier/MlpCcg-Premier-FullSteam.jpg	default	Friend	Premier	Premier	playerNDeck	PR31	R	Honesty	4	4			Earth Pony	
35226b49-62af-43a7-8cc0-51b6d547dfb1	Silver Spanner	mlp-ccg/premier/MlpCcg-Premier-SilverSpanner.jpg	default	Friend	Premier	Premier	playerNDeck	PR32	R	Honesty	2	3	1		Unicorn	Reaction: When one of your Resources is dismissed, you may dismiss this card. If you do, play that Resource from your discard pile for free.
892c1777-8992-4c37-ad29-11aac71565ea	Red Gala	mlp-ccg/premier/MlpCcg-Premier-RedGala.jpg	default	Friend	Premier	Premier	playerNDeck	PR33	C	Honesty	2	2			Earth Pony	
ae3aba09-6025-4ea2-8bf4-6605c2ad7ff4	Sunny Smiles	mlp-ccg/premier/MlpCcg-Premier-SunnySmiles.jpg	default	Friend	Premier	Premier	playerNDeck	PR34	R	Honesty	3	3	2		Earth Pony	When an opponent discards a card, this card gets +1 power until the end of the turn.
db3198c7-0fc3-46a0-974d-895161782c42	Night Watch	mlp-ccg/premier/MlpCcg-Premier-NightWatch.jpg	default	Friend	Premier	Premier	playerNDeck	PR35	R	Honesty	1	2	2		Earth Pony	During faceoffs involving this card, flip an additional card.
ed4b8833-5d8e-4434-8d4b-def5837e5fee	Apple Brown Betty	mlp-ccg/premier/MlpCcg-Premier-AppleBrownBetty.jpg	default	Friend	Premier	Premier	playerNDeck	PR36	C	Laughter	3	3			Earth Pony	
