databaseId	name	imageUrl	cardBack	type	packName	set	loadGroupId	title	tags	emblem	color	strength	defense	blast	destiny	requiredPower	requiredColor	requiredEmblem	text	help	number
Promo_1-1CV.jpg	Clear Victory	mmtcg/promo/Mmtcg-Promo-ClearVictory.jpg	default	Resource	Promo	Promo	playerNDeck				Red				2				SPEND: Lose 6 energy to make your opponent lose 4 energy.		1*1
Promo_1-2reckless.jpg	Reckless	mmtcg/promo/Mmtcg-Promo-Reckless.jpg	default	Resource	Promo	Promo	playerNDeck				Yellow				5	3			SPEND: Discard 2 yellow cards to destroy 3 of your opponent's resources.		1*2
PowerUp_1c1elecman.jpg	ElecMan	mmtcg/power-up/Mmtcg-PowerUp-ElecMan.jpg	default	NetNavi	Power Up	PowerUp	playerNNetNavi	Fully Charged		ElecMan		1	0	1					Whenever you play a BattleChip, you may place up to 2 cards from your discard pile in your power gauge.		1C1
PowerUp_1c10Boysbomb.jpg	BoysBomb	mmtcg/power-up/Mmtcg-PowerUp-BoysBomb.jpg	default	BattleChip	Power Up	PowerUp	playerNDeck								3	2	1x Yellow		Your NetNavi is strength +1 for each card in your power gauge.		1C10
PowerUp_1c11cannonball.jpg	CannonBall	mmtcg/power-up/Mmtcg-PowerUp-CannonBall.jpg	default	BattleChip	Power Up	PowerUp	playerNDeck								4		1x Green		Discard a card to make your NetNavi strength +4.		1C11
PowerUp_1c12cybersword.jpg	CyberSword	mmtcg/power-up/Mmtcg-PowerUp-CyberSword.jpg	default	BattleChip	Power Up	PowerUp	playerNDeck								4		1x Blue		Make your opponent take a random card from his or her discard pile into hand to make your NetNavi strength +4.		1C12
PowerUp_1c13guard1.jpg	Guard1	mmtcg/power-up/Mmtcg-PowerUp-Guard1.jpg	default	BattleChip	Power Up	PowerUp	playerNDeck								3				Discard a blue card to make your NetNavi defense +3.		1C13
PowerUp_1c14laserblast.jpg	LaserBlast	mmtcg/power-up/Mmtcg-PowerUp-LaserBlast.jpg	default	BattleChip	Power Up	PowerUp	playerNDeck								5	3	2x Red		Your NetNavi is strength +5.		1C14
PowerUp_1c15MEB.jpg	MegaEnergyBomb	mmtcg/power-up/Mmtcg-PowerUp-MegaEnergyBomb.jpg	default	BattleChip	Power Up	PowerUp	playerNDeck								4	4			Lose 1 energy to make your NetNavi strength +2 for each blue resource you have in play.		1C15
PowerUp_1c16rockcube.jpg	RockCube	mmtcg/power-up/Mmtcg-PowerUp-RockCube.jpg	default	BattleChip	Power Up	PowerUp	playerNDeck								2				Burn 1 power to make your NetNavi defense +2. You may play an additional BattleChip.		1C16
PowerUp_1c17timebomb.jpg	TimeBomb	mmtcg/power-up/Mmtcg-PowerUp-TimeBomb.jpg	default	BattleChip	Power Up	PowerUp	playerNDeck								3	3	2x Red		Your NetNavi is defense +5.		1C17
PowerUp_1c18tornado.jpg	Tornado	mmtcg/power-up/Mmtcg-PowerUp-Tornado.jpg	default	BattleChip	Power Up	PowerUp	playerNDeck								2		1x Green		Your NetNavi is strength +1 for each card in your opponent's hand.		1C18
PowerUp_1c19vulcan1.jpg	Vulcan1	mmtcg/power-up/Mmtcg-PowerUp-Vulcan1.jpg	default	BattleChip	Power Up	PowerUp	playerNDeck								2	2			Your NetNavi is strength +2.		1C19
PowerUp_1c2gutsman.jpg	GutsMan	mmtcg/power-up/Mmtcg-PowerUp-GutsMan.jpg	default	NetNavi	Power Up	PowerUp	playerNNetNavi	Body Strength		GutsMan		3	1	3					Whenever you play a BattleChip, your GutsMan is strength +1.		1C2
PowerUp_1c20askingforit.jpg	Asking For It	mmtcg/power-up/Mmtcg-PowerUp-AskingForIt.jpg	default	Event	Power Up	PowerUp	playerNDeck				Green				5		1x Green		Opponent draws 2 cards.		1C20
PowerUp_1c21cancelled.jpg	Cancelled	mmtcg/power-up/Mmtcg-PowerUp-Cancelled.jpg	default	Event	Power Up	PowerUp	playerNDeck				Blue				5		1x Blue		Discard a card to cancel a BattleChip.		1C21
PowerUp_1c22fap.jpg	Fast And Powerful	mmtcg/power-up/Mmtcg-PowerUp-FastAndPowerful.jpg	default	Event	Power Up	PowerUp	playerNDeck				Blue				4		1x Blue		Reduce a NetNavi's blast to 1.		1C22
PowerUp_1c23FI.jpg	Fish Intervention	mmtcg/power-up/Mmtcg-PowerUp-FishIntervention.jpg	default	Event	Power Up	PowerUp	playerNDeck				Yellow				4		1x Yellow		Power Up.		1C23
PowerUp_1c24fotb.jpg	Fish On The Brain	mmtcg/power-up/Mmtcg-PowerUp-FishOnTheBrain.jpg	default	Event	Power Up	PowerUp	playerNDeck				Blue				4		1x Blue		Discard a card to cancel a blast destiny.		1C24
PowerUp_1c25IB.jpg	Impressive Battlers	mmtcg/power-up/Mmtcg-PowerUp-ImpressiveBattlers.jpg	default	Event	Power Up	PowerUp	playerNDeck				Red				3	3	1x Red		Add 4 to your blast destiny.		1C25
PowerUp_1c26NEP.jpg	Not Enough Power	mmtcg/power-up/Mmtcg-PowerUp-NotEnoughPower.jpg	default	Event	Power Up	PowerUp	playerNDeck				Red				2		1x Red		You may play an additional BattleChip.		1C26
PowerUp_1c27PlayDirty.JPG	Playing Dirty	mmtcg/power-up/Mmtcg-PowerUp-PlayingDirty.jpg	default	Event	Power Up	PowerUp	playerNDeck				Yellow				2		1x Yellow		Burn an opponent's power.		1C27
PowerUp_1c28pgm.jpg	Pretty Good Move	mmtcg/power-up/Mmtcg-PowerUp-PrettyGoodMove.jpg	default	Event	Power Up	PowerUp	playerNDeck				Red				4	2	2x Red		Make your NetNavi defense +4.		1C28
PowerUp_1c29TechnicalDiff.JPG	Technical Difficulties	mmtcg/power-up/Mmtcg-PowerUp-TechnicalDifficulties.jpg	default	Event	Power Up	PowerUp	playerNDeck				Yellow				4		2x Yellow		Destroy a resource.		1C29
PowerUp_1c3Magicman.jpg	MagicMan	mmtcg/power-up/Mmtcg-PowerUp-MagicMan.jpg	default	NetNavi	Power Up	PowerUp	playerNNetNavi	Riddler		MagicMan		2	2	3					Whenever you play a BattleChip, your MagicMan is blast -2.		1C3
PowerUp_1c30tte.JPG	That's too easy	mmtcg/power-up/Mmtcg-PowerUp-ThatsTooEasy.jpg	default	Event	Power Up	PowerUp	playerNDeck				Green				5	3	2x Green		Take any card from your deck into hand. Shuffle your deck.		1C30
PowerUp_1c31uncommonnetbattler.jpg	Uncommon NetBattler	mmtcg/power-up/Mmtcg-PowerUp-UncommonNetBattler.jpg	default	Event	Power Up	PowerUp	playerNDeck				Green				3	2	1x Green		Draw 2 cards.		1C31
PowerUp_1c32BCG.jpg	BattleChip Geek	mmtcg/power-up/Mmtcg-PowerUp-BattleChipGeek.jpg	default	Resource	Power Up	PowerUp	playerNDeck				Green				4	2			SPEND: Burn 2 power to draw 3 cards.		1C32
PowerUp_1c33BigTrouble.JPG	Big Trouble	mmtcg/power-up/Mmtcg-PowerUp-BigTrouble.jpg	default	Resource	Power Up	PowerUp	playerNDeck				Blue				1	2			SPEND: Make a NetNavi blast -1 until end of next turn.		1C33
PowerUp_1c34buckethead.jpg	BucketHead	mmtcg/power-up/Mmtcg-PowerUp-BucketHead.jpg	default	Resource	Power Up	PowerUp	playerNDeck			GutsMan	Yellow				3			1x GutsMan	SPEND: Spend a resource for no effect to power up twice.		1C34
PowerUp_1c35channeling.jpg	Channeling	mmtcg/power-up/Mmtcg-PowerUp-Channeling.jpg	default	Resource	Power Up	PowerUp	playerNDeck			Roll	Blue				3	4		1x Roll	SPEND: Place 2 cards from hand in your power gauge.		1C35
PowerUp_1c36Chargingup.jpg	Charging Up	mmtcg/power-up/Mmtcg-PowerUp-ChargingUp.jpg	default	Resource	Power Up	PowerUp	playerNDeck			ElecMan	Green				4			1x ElecMan	SPEND: Burn a power to recharge 2 energy.	(Recharge an energy by placing a random card from your discard pile beneath your deck.)	1C36
PowerUp_1c37Clevertrick.jpg	Clever Trick	mmtcg/power-up/Mmtcg-PowerUp-CleverTrick.jpg	default	Resource	Power Up	PowerUp	playerNDeck				Green				3				SPEND: If you played a BattleChip this turn, draw a card.		1C37
PowerUp_1c38clowningaround.jpg	Clowning Around	mmtcg/power-up/Mmtcg-PowerUp-ClowningAround.jpg	default	Resource	Power Up	PowerUp	playerNDeck				Green				1	3		1x WackoMan	SPEND: Your opponent draws 3 cards.		1C38
PowerUp_1c39counterattack.jpg	Counter Attack	mmtcg/power-up/Mmtcg-PowerUp-CounterAttack.jpg	default	Resource	Power Up	PowerUp	playerNDeck			NumberMan	Yellow				2			1x NumberMan	SPEND: Lose 2 energy to burn an opponent's power.		1C39
PowerUp_1c4Numberman.PNG	NumberMan	mmtcg/power-up/Mmtcg-PowerUp-NumberMan.png	default	NetNavi	Power Up	PowerUp	playerNNetNavi	Calculator		NumberMan		1	3	2							1C4
PowerUp_1c40cyberwarrior.jpg	CyberWarrior	mmtcg/power-up/Mmtcg-PowerUp-CyberWarrior.jpg	default	Resource	Power Up	PowerUp	playerNDeck				Yellow				4				SPEND: Burn 2 power to destroy an opponent's resource.		1C40
