databaseId	name	imageUrl	cardBack	type	packName	set	loadGroupId	subtype	combat	wits	grail	rarity	text	altText	number
25d63447-101f-4464-85c3-cae591c6f36f	142 Mexican Whooping Llamas	monty-python-ccg/main/MontyPythonCcg-Main-142MexicanWhoopingLlamas.jpg	default	Adversary	Main	Main	playerNDeck	Peril	3		3	TYAST Deck D	Each Knight in your Round Table must Combat a Llama individually.  Do not credit the Combat Assist Bonus.	"{or: negate the Combat Assist Bonus for 1 turn}"	315
807d9ed7-6d09-4361-9122-1051d40c6713	A Bit Longer	monty-python-ccg/main/MontyPythonCcg-Main-ABitLonger.jpg	default	Event	Main	Main	playerNDeck				2	Rare	Save a Knight from death but he must Sit Out 2 turns.	"{or: move an Adversary Knight in England directly to any Anthrax characters in play.  That Knight gains the Anthrax character type}"	31
ac063176-12af-4785-afe1-83efbd93a3b3	A Duck	monty-python-ccg/main/MontyPythonCcg-Main-ADuck.jpg	default	Adversary	Main	Main	playerNDeck	Peril	2		4	TYAST Deck C	Duck automatically attacks the Knight with the lowest Combat value.	"{or: -3 to a Combat draw}"	348
b676e617-ecba-465f-a370-ed750bac2f9a	A Happy Occasion	monty-python-ccg/main/MontyPythonCcg-Main-AHappyOccasion.jpg	default	Event	Main	Main	playerNDeck				4	TYAST Deck D	Opponent's Knights may not have Combat this turn.	"{or: -1 to a Wits draw}"	372
362042a9-5671-4d38-8289-d90869150074	A Herring	monty-python-ccg/main/MontyPythonCcg-Main-AHerring.jpg	default	Item	Main	Main	playerNDeck				4	TYAST Deck D	Place in the Dead Cart to bypass the Knights-Who-'Til-Recently-Said-Ni or to remove the Mightiest Tree in the Forest from play.	"{or: Player must double Ante. [or Eliminate the top two cards of their deck and two more for each Aint Heard Nothing and A Herring in the Dead Cart if not playing for Ante]}"	374
2ec53659-2471-40e3-8701-d1ce6bf5a42f	A Looney	monty-python-ccg/main/MontyPythonCcg-Main-ALooney.jpg	default	Permanent Taunt, Taunt	Main	Main	playerNDeck				2	TYAST Deck D	Permanently lower the Wits vvalue of target Knight to 1.	"{or: +2 to a Wits draw}"	387
918b783e-18c3-410b-b541-ccf2667c4e7b	A Mistake	monty-python-ccg/main/MontyPythonCcg-Main-AMistake.jpg	default	Event	Main	Main	playerNDeck				2	Uncommon	Prevent opponent from playing a Taunt from their hand.  Place the Taunt in the Dead Cart.	"{or: -1 to a Wits draw}"	190
0dd5027e-717a-469d-a7b1-4cf70b9a17ff	A Moose	monty-python-ccg/main/MontyPythonCcg-Main-AMoose.jpg	default	Adversary	Main	Main	playerNDeck	Peril	4		4	TYAST Deck D		"{or: -1 to a Combat draw}"	400
0f26b7e5-daad-4e75-9e91-1ef239b9aca3	A Newt?	monty-python-ccg/main/MontyPythonCcg-Main-ANewt.jpg	default	Event	Main	Main	playerNDeck				1	Common	Choose a member of opponent's Round Table to be turned into a Newt.  Draw a Grail Number to determine the number of turns that member is Eliminated.	"{or: +1 to a Combat draw}"	200
2c69b832-d0f7-4e0b-a48d-3cad24eb359b	A Note	monty-python-ccg/main/MontyPythonCcg-Main-ANote.jpg	default	Item	Main	Main	playerNDeck				3	TYAST Deck B	Place A Note in the Dead Cart to retract any one movement after the Face-down cards have been revealed.  Instead of making the original movement, the player's Round Table may move elsewhere.	"{or: prevent opponent from moving this turn.}"	412
