databaseId	name	imageUrl	cardBack	type	set	rarity	cost	keywords	inspiration	stage	subtitle	text	loadGroupId
BP01-C01	Twilight Sparkle (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-TwilightSparkleBP011.jpg	default	Character	BP01	C	2	Unicorn / Twilight Sparkle	3			|Farewell| Draw 1 card.	playerNDeck
BP01-C02	Twilight Sparkle (BP01 2)	my-little-pony/bp01/MyLittlePony-BP01-TwilightSparkleBP012.jpg	default	Character	BP01	C	4	Unicorn / Twilight Sparkle	5			|Appear| If there is any Event in your Retirement Area, draw 1 card.	playerNDeck
BP01-C03	Twilight Sparkle (BP01 3)	my-little-pony/bp01/MyLittlePony-BP01-TwilightSparkleBP013.jpg	default	Character	BP01	C	7	Unicorn / Twilight Sparkle	9				playerNDeck
BP01-C04	Fluttershy (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-FluttershyBP011.jpg	default	Character	BP01	C	3	Pegasus / Fluttershy	4			|Adventure| While there are 5 or more Scenes in your Scene Area, this Character gets +2 Inspiration in your turn.	playerNDeck
BP01-C05	Fluttershy (BP01 2)	my-little-pony/bp01/MyLittlePony-BP01-FluttershyBP012.jpg	default	Character	BP01	C	6	Pegasus / Fluttershy	8				playerNDeck
BP01-C06	Pinkie Pie (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-PinkiePieBP011.jpg	default	Character	BP01	C	3	Earth Pony / Pinkie Pie	4			|Farewell| Draw 1 card.	playerNDeck
BP01-C07	Pinkie Pie (BP01 2)	my-little-pony/bp01/MyLittlePony-BP01-PinkiePieBP012.jpg	default	Character	BP01	C	1	Earth Pony / Pinkie Pie	2				playerNDeck
BP01-C08	Applejack (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-ApplejackBP011.jpg	default	Character	BP01	C	6	Earth Pony / Applejack	8				playerNDeck
BP01-C09	Applejack (BP01 2)	my-little-pony/bp01/MyLittlePony-BP01-ApplejackBP012.jpg	default	Character	BP01	C	3	Earth Pony / Applejack	4			|Adventure| [Tap] Discard 1 card, draw 1 card.	playerNDeck
BP01-C10	Rainbow Dash (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-RainbowDashBP011.jpg	default	Character	BP01	C	4	Pegasus / Rainbow Dash	5			|Adventure| While there are 3 Characters in your Adventure Area, this Character gets +2 Inspiration.	playerNDeck
BP01-C11	Rainbow Dash (BP01 2)	my-little-pony/bp01/MyLittlePony-BP01-RainbowDashBP012.jpg	default	Character	BP01	C	5	Pegasus / Rainbow Dash	7				playerNDeck
BP01-C12	Rarity (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-RarityBP011.jpg	default	Character	BP01	C	5	Unicorn / Rarity	6			|Appear| Choose 1 Item in your Retirement Area, add it to Hand.	playerNDeck
BP01-C13	Rarity (BP01 2)	my-little-pony/bp01/MyLittlePony-BP01-RarityBP012.jpg	default	Character	BP01	C	6	Unicorn / Rarity	8				playerNDeck
BP01-C14	Spike (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-SpikeBP011.jpg	default	Character	BP01	C	2	Dragon / Spike	3			|Adventure| While there is any <Twilight Sparkle> in your Retirement Area, this Character gets +2 Inspiration in your turn.	playerNDeck
BP01-C15	Apple Bloom (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-AppleBloomBP011.jpg	default	Character	BP01	C	1	Earth Pony / Apple Bloom	2				playerNDeck
BP01-C16	Sweetie Belle (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-SweetieBelleBP011.jpg	default	Character	BP01	C	1	Unicorn / Sweetie Belle	2				playerNDeck
BP01-C17	Scootaloo (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-ScootalooBP011.jpg	default	Character	BP01	C	1	Pegasus / Scootaloo	2				playerNDeck
BP01-C18	Big McIntosh (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-BigMcIntoshBP011.jpg	default	Character	BP01	C	2	Earth Pony / Big McIntosh	3			|Appear| If there is any other <Earth Pony> in your Adventure Area, draw 1 card.	playerNDeck
BP01-C19	Granny Smith (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-GrannySmithBP011.jpg	default	Character	BP01	C	5	Earth Pony / Granny Smith	6			|Appear| Choose 1 other <Earth Pony> in your Adventure Area, it gets +2 Inspiration until the end of turn.	playerNDeck
BP01-C20	Trixie (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-TrixieBP011.jpg	default	Character	BP01	C	1	Unicorn / Trixie	2				playerNDeck
BP01-C21	Gilda (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-GildaBP011.jpg	default	Character	BP01	C	3	Griffon / Gilda	5				playerNDeck
BP01-C22	Diamond Tiara (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-DiamondTiaraBP011.jpg	default	Character	BP01	C	1	Earth Pony / Diamond Tiara	1			|Appear| If there is any other <Earth Pony> in your Adventure Area, this Character gets +2 Inspiration until end of turn.	playerNDeck
BP01-C23	Silver Spoon (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-SilverSpoonBP011.jpg	default	Character	BP01	C	7	Earth Pony / Silver Spoon	9			While there is any <Earth Pony> in your Adventure Area, this Character gets -1 Cost of Force of Harmony when played from Hand.	playerNDeck
BP01-C24	Mayor Mare (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-MayorMareBP011.jpg	default	Character	BP01	C	2	Earth Pony / Mayor Mare	4				playerNDeck
BP01-CR01	Twilight Sparkle (BP01 4)	my-little-pony/bp01/MyLittlePony-BP01-TwilightSparkleBP014.jpg	default	Character	BP01	CR	4	Unicorn / Twilight Sparkle	5			|Appear| If there is any Event in your Retirement Area, choose 1 Character in Rival's Adventure Area, it gets -3 Inspiration until the end of turn.	playerNDeck
BP01-CR01star	Twilight Sparkle (BP01 4star)	my-little-pony/bp01/MyLittlePony-BP01-TwilightSparkleBP014star.jpg	default	Character	BP01	CR*	4	Unicorn / Twilight Sparkle	5			|Appear| If there is any Event in your Retirement Area, choose 1 Character in Rival's Adventure Area, it gets -3 Inspiration until the end of turn.	playerNDeck
BP01-CR02	Fluttershy (BP01 3)	my-little-pony/bp01/MyLittlePony-BP01-FluttershyBP013.jpg	default	Character	BP01	CR	3	Pegasus / Fluttershy	4			|Appear| Choose 1 <Pet> in your Adventure Area, it gets +2 Inspiration until the end of turn.	playerNDeck
BP01-CR02star	Fluttershy (BP01 3star)	my-little-pony/bp01/MyLittlePony-BP01-FluttershyBP013star.jpg	default	Character	BP01	CR*	3	Pegasus / Fluttershy	4			|Appear| Choose 1 <Pet> in your Adventure Area, it gets +2 Inspiration until the end of turn.	playerNDeck
BP01-CR03	Pinkie Pie (BP01 3)	my-little-pony/bp01/MyLittlePony-BP01-PinkiePieBP013.jpg	default	Character	BP01	CR	2	Earth Pony / Pinkie Pie	3			|Appear| Reveal the top 3 cards of your Deck, choose 1 Item from them, add it to Hand, move the rest to Retirement Area.	playerNDeck
