databaseId	name	imageUrl	cardBack	type	attributes	languages	value	sanity	summon	unique	dimension	past	region	city	beginningSanity	maxSanity	education	handSize	minimum	maximum	rarity	text	packName	set	loadGroupId
B1MU_B1MU101	A Day In The Life Of A Miskatonic University Student	mythos/miskatonic-university/Mythos-MiskatonicUniversity-ADayInTheLifeOfAMiskatonicUniversityStudent.jpg	default	Adventure	Mythos Experience		8	2													C	Sometimes, University life can be exciting. Today is one of those days. This day take you to THREE different MISCATONIC UNIVERSITY LOCATIONS. In your Speculative Civilizations course, you practice casting one SPELL with either Barrier, Circle, Sign or Chant in the card title. During Biology you dissect a MONSTER. Finally, you go on a field trip to a COUNTRY SITE where you attract an ALLY of the opposite sex as your Investigator	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU102	Lost in the Catacombs	mythos/miskatonic-university/Mythos-MiskatonicUniversity-LostInTheCatacombs.jpg	default	Adventure	Heroic Adventure		6	2													C	Catacombs and other burial mounds have fascinated humankind for aeons. Growing up near the old Roman cities of Europe, you frequently sneak into those forbidden passages. In the CATACOMBS OF ROME or the CATACOMBS BENEATH PARIS you discover that Death is not always final, as a SKELETON, ZOMBIE, and MUMMY claw their way after you. Even if you flee to a nearby CHURCH, you dicover that their master, a VAMPIRE awaits. Only if you live until the DAWN OF A NEW DAY do you survive	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU103	The Auction	mythos/miskatonic-university/Mythos-MiskatonicUniversity-TheAuction.jpg	default	Adventure	Mythos Experience		9	3													U	Auctions are frequently good places to find extraordinary bargains for extraordinary items. Beginning in any CITY LOCATION located in Lovecraft Country, travel to THE AUCTION HOUSE in Vienna, Austria. Before the auction begins, find THIEVES IN THE ATTIC, and have a POLICE INVESTIGATION. Then, bid for an ARTIFACT or TOME that costs you two Sanity Points. Bring the item back to a second, different, CITY LOCATION in Lovecraft Country	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU104	The Dunwich Horror	mythos/miskatonic-university/Mythos-MiskatonicUniversity-TheDunwichHorror.jpg	default	Adventure	Heroic Adventure		15	5													R	Henry Armitage asks that you accompy him to Dunwich. Begin at MISCATONIC UNIVERSITY. TRAVEL BY LAND to 3 different DUNWICH LOCATIONS with HENRY ARMITAGE and ONE OTHER PROFESSOR. On SENTINEL HILL bring together LAVINIA WHATELEY, WILBUR WHATELEY, and the SON OF YOG-SOTHOTH during the FULL MOON. Find the NECRONOMICON and the VOOLA RITUAL spell, and then return the book to a second MISCATONIC UNIVERSITY LOCATION.	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU105	The Expedition	mythos/miskatonic-university/Mythos-MiskatonicUniversity-TheExpedition.jpg	default	Adventure	Heroic Adventure		11	3													U	When you left this MISCATONIC UNIVERSITY Location with your TWO ALLIES, you dreamt only of the glory of exploration. What you found however, was a harrowing voyage of TRAVEL BY SEA, a STORM of suprising strength, the UNEXPECTED CALAMITY of a shipwreck, and the lost years in AMNESIA. Waking at a SITE, you discovered that wierd old TOME - the only possession you salvaged when forced to flee from THREE MONSTERS.	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU106	The Secret of Power & Glory is Yours	mythos/miskatonic-university/Mythos-MiskatonicUniversity-TheSecretOfPowerGloryIsYours.jpg	default	Adventure	Mythos Experience		6	3													U	If one is diligent and discovers the proper sources of knowledge, one can learn to master the universe. But you can only achieve your goal if you study and travel the world. Visit 5 different GATE LOCATIONS. Find a TOME of forbidden knowledge featuring the EYE ICON. Find an ALLY that costs you Sanity	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU107	The Unspeakable Oath	mythos/miskatonic-university/Mythos-MiskatonicUniversity-TheUnspeakableOath.jpg	default	Adventure	Corrupt Adventure		6	2													R	Procuring 'hard-to-find' goods for a select clientele is good business, but that MARSH fellow (any MARSH ALLY) sure is odd with that oath on that funny TOME and all. They must be building an army! Recently they've bought THREE WEAPONS shipments. My unease soon grew to PHOBIA proportions, but if I ever break that oath, I just know that I am doomed to CATASTROPHIC FAILURE and my wife and CHILDREN HAVE NIGHTMARES	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU201	Arthur Jermyn	mythos/miskatonic-university/Mythos-MiskatonicUniversity-ArthurJermyn.jpg	default	Ally	Steadfast Scholar & Artist	English	2	1					Europe	Any House							C		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU202	Capt. Edward Norrys	mythos/miskatonic-university/Mythos-MiskatonicUniversity-CaptEdwardNorrys.jpg	default	Ally	Steadfast Soldier	English	3						Europe	Any City							C	As long as he is chosen as a defending Ally, he raises the card value of all other Attributes: Steadfast defending Allies by one point per card. Not cumulative with another Ally's Command Ability	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU203	Capt. Karl Heinrich	mythos/miskatonic-university/Mythos-MiskatonicUniversity-CaptKarlHeinrich.jpg	default	Ally	Steadfast Soldier	German	3						Europe	Any City							C	As long as he is chosen as a defending Ally, he raises the card value of all other Attributes: Steadfast defending Allies by 1 point per card. Not cumulative with another Ally's Command Ability	Miskatonic University	B1MU	playerNDeck
