databaseId	name	imageUrl	cardBack	type	packName	set	loadGroupId	scare	rarity	text
ChristmasTown_a_good_scare	A Good Scare	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-AGoodScare.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	0	Uncommon	Search 3, Corpse Kid, Winged Demon OR If the Corpse Kid and Winged Demon are both at your Guillotine Area, cut your opponent�s deck, and then remove the top card from the game.
Premiere_accordion_player	Accordion Player	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-AccordionPlayer.jpg	default	Character	Premiere	Premiere	playerNDeck	1	Common	When the Accordion Player is played, if another Character at his Locale has the word �Player� in his name, Draw 1 Card.
ChristmasTown_aint_goin_nowhere	Ain't Goin' Nowhere	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-AintGoinNowhere.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	1	Rare	If your Oogie is in play, Stack this Surprise on another Character at his Locale. While this Surprise is Stacked on that Character, that Character cannot be discarded from play, and cannot move.
ChristmasTown_alas_poor_jack	Alas! Poor Jack!	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-AlasPoorJack.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	0	Uncommon	Search Discard Pile, Jack OR Stack this card on your Jack. He cannot be returned to your hand by an opponent.
ChristmasTown_alto_ghost	Alto Ghost	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-AltoGhost.jpg	default	Character	Christmas Town	ChristmasTown	playerNDeck	1	Common	When the Alto Ghost is played, if another Character at her Locale has the word �Ghost� in his or her name, Search Discard Pile, 1 Surprise
ChristmasTown_armed_assault	Armed Assault	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-ArmedAssault.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	1	Uncommon	Search 6, Sally�s Arm OR Discard your Sally�s Arm from play, and then send an opponent�s Character with a Scare Number of 2 back to its owner�s hand.
Premiere_back_alley	Back Alley	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-BackAlley.jpg	default	Locale	Premiere	Premiere	playerNLocale	2	Uncommon	FUNCTION: Draw 2 Cards and Move 3 Cards
ChristmasTown_baritone_ghost	Baritone Ghost	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-BaritoneGhost.jpg	default	Character	Christmas Town	ChristmasTown	playerNDeck	1	Rare	If the Baritone Ghost is played to The Well, you may immediately discard 1 card from your hand to Search Discard Pile, 1 Card
Tournament_barrel2	Barrel - Dopey Trick-or-Treater	nightmare-before-christmas/tournament/NightmareBeforeChristmas-Tournament-BarrelDopeyTrickOrTreater.jpg	default	Character	Tournament	Tournament	playerNDeck	1	Fixed	HEX: Once during your turn, after Barrel moves to a Locale, Draw 1 Card.
ChristmasTown_barrel3	Barrel - Guinea Pig	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-BarrelGuineaPig.jpg	default	Character	Christmas Town	ChristmasTown	playerNDeck	1	Uncommon	May travel between Holiday Towns. During your turn, if Barrel is at the Tree House, you may return him to your hand to Search 2, 1 Character
Premiere_barrel1	Barrel - Little Skeleton	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-BarrelLittleSkeleton.jpg	default	Character	Premiere	Premiere	playerNDeck	1	Common	During your turn, if Barrel is at the same Locale as Lock and Shock, you may discard a copy of Barrel from your hand to Draw 1 Card.
ChristmasTown_barry	Barry the Elf	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-BarryTheElf.jpg	default	Character	Christmas Town	ChristmasTown	playerNDeck	0	Rare	If Barry is played to the Cookie Factory, you may immediately discard 1 card from your hand to Draw 2 Cards.
ChristmasTown_bass_ghost	Bass Ghost	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-BassGhost.jpg	default	Character	Christmas Town	ChristmasTown	playerNDeck	1	Uncommon	When the Bass Ghost is played, you may Search 5, �Ghosts�
Premiere_bass_player	Bass Player	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-BassPlayer.jpg	default	Character	Premiere	Premiere	playerNDeck	1	Common	When the Bass Player is played, if another Character at his Locale has the word �Player� in his name, Draw 1 Card.
ChristmasTown_beaker_of_joy	Beaker of Joy	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-BeakerOfJoy.jpg	default	Creations	Christmas Town	ChristmasTown	playerNDeck	1	Rare	If your Jack is at his House when this Creation is played, you may discard 1 card from your hand to Add 2p. This creation does not count when determining if you have �the most Creations.� �Making Christmas� cannot lower the Cost of this Creation.
Premiere_behemoth	Behemoth	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-Behemoth.jpg	default	Character	Premiere	Premiere	playerNDeck	2	Common	During your turn, you may discard Behemoth from play to force all opponents to discard 1 card of their choice from their hands.
Premiere_big_witch	Big Witch	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-BigWitch.jpg	default	Character	Premiere	Premiere	playerNDeck	2	Uncommon	You may spend 1 Movement to Move the Big Witch to any other Locale in your Halloweentown.
Premiere_black_cat	Black Cat	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-BlackCat.jpg	default	Character	Premiere	Premiere	playerNDeck	1	Rare	If played to the same Locale as Sally, Draw 2 Cards. If played to any other Locale, discard 2 cards from your hand.
ChristmasTown_bone_daddy	Bone Daddy	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-BoneDaddy.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	0	Uncommon	Search 3, Jack, �The Players� OR Play Jack from your hand to a Locale in your Halloweentown; Jack�s Cost is -1 for every Character at that Locale with the word �Player� in his name.
Premiere_bun-ny	Bun-ny!	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-BunNy.jpg	default	Surprises	Premiere	Premiere	playerNDeck	0	Rare	Search, 4 Behemoth, Easter Bunny OR If Behemoth and the Easter Bunny are at the same Locale in your Halloweentown, discard that Easter Bunny and Draw 4 Cards.
ChristmasTown_candy_shop	Candy Shop	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-CandyShop.jpg	default	Locale	Christmas Town	ChristmasTown	playerNLocale	2	Uncommon	BONUS: Whenever the opponent to your left plays a Creation, Draw 1 Card.
ChristmasTown_captive_audience	Captive Audience	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-CaptiveAudience.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	2	Rare	Search 6, 1 Character OR If Jack is at your Town Hall, Draw 1 Card for every additional Character there (maximum of 6 cards).
ChristmasTown_carousel	Carousel	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-Carousel.jpg	default	Locale	Christmas Town	ChristmasTown	playerNLocale	3	Common	BONUS: After you perform a Function, you may discard up to 2 cards from your hand, and then draw an equal number of new cards.
Premiere_castle_finklestein	Castle Finklestein	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-CastleFinklestein.jpg	default	Locale	Premiere	Premiere	playerNLocale	5	Uncommon	FUNCTION: Discard 1 Card from hand to Add 5p
ChristmasTown_choo_choo_train	Choo Choo Train	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-ChooChooTrain.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	0	Common	Move any number of your Christmas Characters from any one Christmas Town Locale to any one other of your Christmas Town Locales.
ChristmasTown_christmas_cafe	Christmas Cafe	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-ChristmasCafe.jpg	default	Locale	Christmas Town	ChristmasTown	playerNLocale	2	Promo Card	BONUS: While the Cafe is Active, whenever you play an Elf here, every player may Draw 1 Card.
Premiere_christmas_casket	Christmas Casket	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-ChristmasCasket.jpg	default	Creations	Premiere	Premiere	playerNDeck	6	Ultra-Rare	When playing this Creation, if Jack is in your Town Square, you may draw until you have 7 cards in your hand.
