databaseId	name	imageUrl	cardBack	type	category	set	officialSet	brigade	strength	toughness	class	identifier	rarity	reference	alignment	legality	text	loadGroupId
Pmo-P1__A_Child_is_Born_(Promo)	A Child is Born	redemption/pmo-p1/Redemption-PmoP1-AChildIsBorn.jpg	default	Good Enhancement	Good Enhancement	Pmo-P1	Promo	White					Promo		Good		Discard all Demons in Play.  Can [not] be interrupted, negated, or prevented.	playerNDeck
Wom__A_Look_Back_(Wo)	A Look Back	redemption/wom/Redemption-Wom-ALookBack.jpg	default	Evil Enhancement	Evil Enhancement	Wom	Women	Black	2	1			Common	Genesis 19:6	Evil		Discard one Hero from each opponent's territory or set-aside area.	playerNDeck
AW__A_Mighty_Blow_(AW)	A Mighty Blow	redemption/aw/Redemption-AW-AMightyBlow.jpg	default	Good Enhancement	Good Enhancement	AW	Angel Wars	Silver	5	0			Common	Revelation 12:9	Good		This card is worth 10/0 if a demon is in battle.	playerNDeck
Pat__A_New_Beginning_(Pa)	A New Beginning	redemption/pat/Redemption-Pat-ANewBeginning.jpg	default	Good Enhancement	Good Enhancement	Pat	Patriarchs	Green	4	5			Ultra Rare	Genesis 8:17	Good		ALL players shuffle ALL cards in the field of play, set-aside areas and their hands (except this one) back into their draw pile.  Only cards in Land of Redemption and discard piles remain.  ALL players Draw 8 new cards.  Holder may begin a new turn.	playerNDeck
FoM__026-A-New-Beginning-R	A New Beginning (FoM)	redemption/fom/Redemption-FoM-ANewBeginningFoM.jpg	default	Dominant	Dominant	FoM	Fall of Man					Unity Heroes (Flood Survivors)	Rare	Genesis 8:17	Good	Rotation	Negate protect abilities. If it is your turn banish this card: Shuffle all cards in play, set-aside, and hands. Each player must draw 8. Begin a new turn.	playerNDeck
Di__A_New_Commandment_(Di)	A New Commandment	redemption/di/Redemption-Di-ANewCommandment.jpg	default	Good Enhancement	Good Enhancement	Di	Disciples	Purple	1	3		X = # of your good disciples in battle	Fixed	John 13:34-35	Good		Convert X human Evil Character Characters to Heroes in the brigade of your choice.  Cannot be prevented by an Evil Character card.	playerNDeck
Ap__A_New_Creation_(Ap)	A New Creation	redemption/ap/Redemption-Ap-ANewCreation.jpg	default	Good Enhancement	Good Enhancement	Ap	Apostles	Gold					Uncommon	II Corinthians 5:17	Good		Convert one human Evil Character to a red brigade Hero.	playerNDeck
TEC__A_New_Creation_(EC)	A New Creation	redemption/tec/Redemption-TEC-ANewCreation.jpg	default	Good Enhancement	Good Enhancement	TEC	Early Church	Clay			Territory		Common	II Corinthians 5:17	Good	Rotation	If all your Heroes are clay, you may remove your discard pile and this card from the game to convert a human Evil Character to a clay hero.	playerNDeck
Ap__A_Roman_Soldier's_Faith_(Ap)	A Roman Soldier's Faith	redemption/ap/Redemption-Ap-ARomanSoldiersFaith.jpg	default	Good Enhancement	Good Enhancement	Ap	Apostles	Red	3	3			Common	Matthew 8:5-6	Good		Heal any Hero in play.	playerNDeck
PoC__210-A-Royal-Priesthood-R	A Royal Priesthood	redemption/poc/Redemption-PoC-ARoyalPriesthood.jpg	default	Good Enhancement	Good Enhancement	PoC	Prophecies of Christ	Green/Purple/Teal			Territory		Rare	Zechariah 6:13	Good	Rotation	(Star) Topdeck The Tabernacle or a Temple from deck or Reserve. (GE) Place on your male human Hero: He gains “High Priest” and “King of Judah”.	playerNDeck
TxP__A_Soldier's_Prayer_(TxP)	A Soldier's Prayer	redemption/txp/Redemption-TxP-ASoldiersPrayer.jpg	default	Good Enhancement	Good Enhancement	TxP	Thesaurus ex Preteritus	Red			Territory		Fixed	Psalm 60:5	Good		If used by a warrior class Hero, search your deck or discard pile for a red Enhancement. Shuffle this card into that pile.	playerNDeck
Pat__A_Wife_for_Isaac_(Pa)	A Wife for Isaac	redemption/pat/Redemption-Pat-AWifeForIsaac.jpg	default	Good Enhancement	Good Enhancement	Pat	Patriarchs	Blue	2	3			Uncommon	Genesis 24:16-17	Good		Hero ignores all female Evil Characters	playerNDeck
Di__Aaron_(Di)	Aaron (Di)	redemption/di/Redemption-Di-AaronDi.jpg	default	Hero	Hero	Di	Disciples	Green/Teal	6	4		Prophet, Tabernacle High Priest	Fixed	Exodus 4:14	Good		Protect your Tabernacle artifacts from opponents' cards.  May band to an Exodus or Leviticus Hero.  Cannot be negated by a good card.	playerNDeck
10A__Aaron_(G)	Aaron (G)	redemption/10a/Redemption-10A-AaronG.jpg	default	Hero	Hero	10A	10th Anniversary	Green	6	4		Priest	Deck	Exodus 4:14	Good		May band to Miriam.  Protect all active Holy of Holies artifacts from discard while Aaron is in play.	playerNDeck
