databaseId	name	imageUrl	cardBack	type	subtype	battleType	keyword	protoCost	basic	solo	transform	packName	set	loadGroupId
robotech_MS001Transform.png	Transform	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-Transform.png	default	Action				2				Macross Saga	robotech	playerNDeck
robotech_MS002AccuracyofFire.png	Accuracy of Fire	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-AccuracyOfFire.png	default	Action				2				Macross Saga	robotech	playerNDeck
robotech_MS003BenDixonCorporal.png	Ben Dixon - Corporal	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-BenDixonCorporal.png	default	Character	Pilot - Earth	M	Vermillion	0				Macross Saga	robotech	playerNDeck
robotech_MS004MaxSterlingCorporal.png	Max Sterling - Corporal	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-MaxSterlingCorporal.png	default	Character	Pilot - Earth	M	Vermillion	1				Macross Saga	robotech	playerNDeck
robotech_MS005RickHunterLieutenant.png	Rick Hunter - Lieutenant	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-RickHunterLieutenant.png	default	Character	Pilot - Earth	M	Vermillion	2				Macross Saga	robotech	playerNDeck
robotech_MS006CatsEyeRecon.png	Cat's Eye Recon	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-CatsEyeRecon.png	default	Mecha	Recon - Earth	LS		1				Macross Saga	robotech	playerNDeck
robotech_MS007ArmoredBattloid.png	Armored Battloid	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-ArmoredBattloid.png	default	Mecha	Veritech - Earth	LS		4		Y		Macross Saga	robotech	playerNDeck
robotech_MS008VF1ABenDixon.png	VF-1A Ben Dixon	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-VF1ABenDixon.png	default	Mecha	Veritech - Earth	LS	Vermillion	2		Y	Y	Macross Saga	robotech	playerNDeck
robotech_MS009VF1AIntercept.png	VF-1A (Intercept)	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-VF1AIntercept.png	default	Mecha	Veritech - Earth	LS		2			Y	Macross Saga	robotech	playerNDeck
robotech_MS010VF1AMaxSterling.png	VF-1A Max Sterling	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-VF1AMaxSterling.png	default	Mecha	Veritech - Earth	LS	Vermillion	2		Y	Y	Macross Saga	robotech	playerNDeck
robotech_MS011VF1AReturn.png	VF-1A (Return)	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-VF1AReturn.png	default	Mecha	Veritech - Earth	LS	Vermillion	2			Y	Macross Saga	robotech	playerNDeck
robotech_MS012VF1DTrainer.png	VF-1D Trainer	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-VF1DTrainer.png	default	Mecha	Veritech - Earth	LS	Vermillion	1			Y	Macross Saga	robotech	playerNDeck
robotech_MS013VF1JAttack.png	VF-1J (Attack)	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-VF1JAttack.png	default	Mecha	Veritech - Earth	LS		3			Y	Macross Saga	robotech	playerNDeck
robotech_MS014VF1JIntercept.png	VF-1J (Intercept)	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-VF1JIntercept.png	default	Mecha	Veritech - Earth	LS		3			Y	Macross Saga	robotech	playerNDeck
robotech_MS015VF1JRecover.png	VF-1J (Recover)	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-VF1JRecover.png	default	Mecha	Veritech - Earth	LS		3			Y	Macross Saga	robotech	playerNDeck
robotech_MS016VF1JRickHunter.png	VF-1J Rick Hunter	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-VF1JRickHunter.png	default	Mecha	Veritech - Earth	LS	Vermillion	3		Y	Y	Macross Saga	robotech	playerNDeck
robotech_MS017VF1JSpeed.png	VF-1J (Speed)	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-VF1JSpeed.png	default	Mecha	Veritech - Earth	LS	Vermillion	3			Y	Macross Saga	robotech	playerNDeck
robotech_MS018VF1SIntercept.png	VF-1S (Intercept)	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-VF1SIntercept.png	default	Mecha	Veritech - Earth	LS		4			Y	Macross Saga	robotech	playerNDeck
robotech_MS019MassiveBarrage.png	Massive Barrage	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-MassiveBarrage.png	default	Action				4				Macross Saga	robotech	playerNDeck
robotech_MS020Gerao.png	Gerao	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-Gerao.png	default	Character	Pilot - Zentraedi	M-L	Khyron's Forces	1				Macross Saga	robotech	playerNDeck
robotech_MS021Grel.png	Grel	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-Grel.png	default	Character	Officer/Pilot - Zentraedi	M-L	Khyron's Forces	1				Macross Saga	robotech	playerNDeck
robotech_MS022Khyron.png	Khyron	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-Khyron.png	default	Character	Officer/Pilot - Zentraedi	M-L	Khyron's Forces	3				Macross Saga	robotech	playerNDeck
robotech_MS023ZentraediPilot.png	Zentraedi Pilot	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-ZentraediPilot.png	default	Character	Pilot - Zentraedi	M-L	Khyron's Forces	0	Y			Macross Saga	robotech	playerNDeck
robotech_MS024ZentraediWarrior.png	Zentraedi Warrior	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-ZentraediWarrior.png	default	Character	Pilot - Zentraedi	M-L		0	Y			Macross Saga	robotech	playerNDeck
robotech_MS025PoweredArmorMale.png	Powered Armor - Male	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-PoweredArmorMale.png	default	Mecha	Armor - Zentraedi	LS	Khyron's Forces	3				Macross Saga	robotech	playerNDeck
robotech_MS026BattlepodCannonFodder.png	Battlepod - Cannon Fodder	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-BattlepodCannonFodder.png	default	Mecha	Battlepod - Zentraedi	LS		2				Macross Saga	robotech	playerNDeck
robotech_MS027BattlepodExpendable.png	Battlepod - Expendable	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-BattlepodExpendable.png	default	Mecha	Battlepod - Zentraedi	LS		1				Macross Saga	robotech	playerNDeck
robotech_MS028BattlepodGroup.png	Battlepod - Group	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-BattlepodGroup.png	default	Mecha	Battlepod - Zentraedi	LS		1				Macross Saga	robotech	playerNDeck
robotech_MS029BattlepodHeavyArtillery.png	Battlepod - Heavy Artillery	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-BattlepodHeavyArtillery.png	default	Mecha	Battlepod - Zentraedi	LS	Khyron's Forces	2				Macross Saga	robotech	playerNDeck
robotech_MS030BattlepodLightArtillery.png	Battlepod - Light Artillery	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-BattlepodLightArtillery.png	default	Mecha	Battlepod - Zentraedi	LS	Khyron's Forces	2				Macross Saga	robotech	playerNDeck
robotech_MS031BattlepodSwarm.png	Battlepod - Swarm	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-BattlepodSwarm.png	default	Mecha	Battlepod - Zentraedi	LS	Khyron's Forces	1	Y			Macross Saga	robotech	playerNDeck
robotech_MS032FighterPod.png	Fighter Pod	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-FighterPod.png	default	Mecha	Battlepod - Zentraedi	LS		1				Macross Saga	robotech	playerNDeck
robotech_MS033OfficersBattlepod.png	Officer's Battlepod	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-OfficersBattlepod.png	default	Mecha	Battlepod - Zentraedi	LS		4				Macross Saga	robotech	playerNDeck
robotech_MS034ReconBattlepod.png	Recon Battlepod	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-ReconBattlepod.png	default	Mecha	Battlepod - Zentraedi	LS		3				Macross Saga	robotech	playerNDeck
robotech_MS035FuelLeak.png	Fuel Leak	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-FuelLeak.png	default	Action				3				Macross Saga	robotech	playerNDeck
robotech_MS036Showdown.png	Showdown	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-Showdown.png	default	Action				3				Macross Saga	robotech	playerNDeck
robotech_MS037SpaceFold.png	Space Fold	robotech-ccg/macross-saga/RobotechCcg-MacrossSaga-SpaceFold.png	default	Action				3				Macross Saga	robotech	playerNDeck
