databaseId	name	imageUrl	cardBack	type	rarity	number	faction	health	vp	weak	strong	text	packName	set	loadGroupId
Premiere_001	Body	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Body.jpg	default	Power	Common	1							Premiere	Premiere	playerNDeck
Premiere_002	Mind	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Mind.jpg	default	Power	Common	2							Premiere	Premiere	playerNDeck
Premiere_003	Soul	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Soul.jpg	default	Power	Common	3							Premiere	Premiere	playerNDeck
Premiere_004	Morga/Kigaan	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-MorgaKigaan.jpg	default	Monster	Common	4	Negaverse	40	1	Soul	Body	{B}+ {D} Thieves - Attacking opponent must discard 1 Item or Person of your choice for every {B} Morga/Kigaan discards. / {A} Double Claws: 20	Premiere	Premiere	playerNDeck
Premiere_005	Kyurene/Garoben	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-KyureneGaroben.jpg	default	Monster	Common	5	Negaverse	40	1	Soul	Mind	{JKP} {D} Fly Away - Win avoids attack. / {A} Razor Paper: 20	Premiere	Premiere	playerNDeck
Premiere_006	Titus	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Titus.jpg	default	Monster	Common	6	Negaverse	50	1	Body	Soul	{S} {D} Item Creation - Discard {S}. Search deck for 1 Item and bring into play immediately. Shuffle deck. / {A} Water Geyser: 20	Premiere	Premiere	playerNDeck
Premiere_007	Black Widow	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-BlackWidow.jpg	default	Monster	Common	7	Negaverse	30	1	Mind	Body	{JKP}{JKP} {D} Sticky Thread Trap - One win. Entangles attacker and prevents him or her from attacking this turn and the next turn. Two wins also entangles all of the attacking opponent's other Scouts/Knights and prevents them from attacking next turn.	Premiere	Premiere	playerNDeck
Premiere_008	Leo the Lion	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-LeoTheLion.jpg	default	Monster	Common	8	Negaverse	10	1	Mind	Body	{D} Super Strength - Ignore 30 damage from each attack. / {A} Bite and Claw: 40	Premiere	Premiere	playerNDeck
Premiere_009	Yasha/Plant Sisters	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-YashaPlantSisters.jpg	default	Monster	Common	9	Negaverse	40	1	Body	Mind	{M} {D} Spy - Discard {M}. Look at arttacking opponent's hand. / {A} Imbed Thorn: 10 - Thorn will continue to deliver 10 damage to attacking Scout/Knight at the beginning of each of the attacking opponent's turns until Yasha/Plant Sisters are defeated or replaced.	Premiere	Premiere	playerNDeck
Premiere_010	Game Machine Man	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-GameMachineMan.jpg	default	Monster	Common	10	Negaverse	60	2	Mind	Body	{D} Armor - Ignore 20 damage from each attack. / {A} Hammer: 30	Premiere	Premiere	playerNDeck
Premiere_011	Bobo the Vulture	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-BoboTheVulture.jpg	default	Monster	Common	11	Negaverse	40	1	Mind	Soul	{A} Punch: 10 / {S}{JKP} {A} Left Hook: 30 - Discard {S}. Win increases Bobo's damage to 60 points total.	Premiere	Premiere	playerNDeck
Premiere_012	Bumboo	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Bumboo.jpg	default	Monster	Common	12	Negaverse	50	2	Soul	Body	{D} Armor - Ignore 10 damage from each attack. / {A} Bite: 50	Premiere	Premiere	playerNDeck
Premiere_013	Veena/Misha & Janelle	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-VeenaMishaJanelle.jpg	default	Monster	Common	13	Negaverse	40	1	Body	Soul	{A} Skate Kick: 10 / {S}{S}{JKP} {A} Create Falling Rocks: 40 - Discard {S}{S}. Win increases attack damage to 70 points total.	Premiere	Premiere	playerNDeck
Premiere_014	Techniclon	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Techniclon.jpg	default	Monster	Common	14	Negaverse	20	1	Soul	Body	{JKP} {D} Catch the Attack - Win avoids attack. / {B}{B} {A} Return Attack: ? - Discard {B}{B}. Techniclon delivers the damage of the attack that the Scout/Knight used against her.	Premiere	Premiere	playerNDeck
Premiere_015	Bakene	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Bakene.jpg	default	Monster	Common	15	Negaverse	40	1	Soul	Body	{A} Claws: 50	Premiere	Premiere	playerNDeck
Premiere_016	Mitsuaami	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Mitsuaami.jpg	default	Monster	Common	16	Negaverse	40	1	Body	Soul	{JKP} {D} Wind Blast - Win prevents Scout/Knight from attacking. / {A} Electric Razor Arm: 30	Premiere	Premiere	playerNDeck
Premiere_017	Polite Society	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-PoliteSociety.jpg	default	Monster	Common	17	Negaverse	40	2	Mind	Body	{B}{B}{JKP} {D} Encase in Wax - Discard {B}{B}. Win encases the attacking Scout/Knight in wax, preventing him or her from attacking this turn and next turn. / {A} Wax Blast Attack: 40	Premiere	Premiere	playerNDeck
Premiere_018	Fro/Blizzard	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-FroBlizzard.jpg	default	Monster	Common	18	Negaverse	70	2	Body	Mind	{JKP} {D} Encase in Ice - Win prevents Scout/Knight from attacking. / {JKP} {A} Explosive Breath: 30 - Win allows these Yoma to also attack each of the attacking opponent's Scouts/Knights for 30 damage each.	Premiere	Premiere	playerNDeck
Premiere_019	Papion	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Papion.jpg	default	Monster	Common	19	Negaverse	60	2	Body	Soul	{JKP} {D} Fly Away - Win avoids attack. / {A} Butterfly Swarm: 30	Premiere	Premiere	playerNDeck
