databaseId	name	imageUrl	cardBack	type	packName	set	loadGroupId	faction	subtitle	cost	requires	provides	fighting	power	body	rarity	designators	text
10kbullets_now_youve_made_us_mad_10kb	Now You've Made Us Mad	shadowfist/10-000-bullets/Shadowfist-10000Bullets-NowYouveMadeUsMad.jpg	default	Event	10,000 Bullets	10kbullets	playerNDeck	Dragons	Event	0	{dra}{dra}					Fixed	now youve made us mad	Gain 1 Power for each damaged Character you control.
10kbullets_abominable_lab_10kb	Abominable Lab	shadowfist/10-000-bullets/Shadowfist-10000Bullets-AbominableLab.jpg	default	Site	10,000 Bullets	10kbullets	playerNDeck	Architects of the Flesh	Site	2		{arc}		1	5	Fixed	abominable lab	Abominable Lab provides one {tek} resource for each <Buro> Character and each <PubOrd> Character you control.
10kbullets_alabaster_javelin_10kb	Alabaster Javelin	shadowfist/10-000-bullets/Shadowfist-10000Bullets-AlabasterJavelin.jpg	default	State	10,000 Bullets	10kbullets	playerNDeck	Magic	State	1	{mag}					Fixed	alabaster javelin	Weapon. When subject Character is smoked, you may inflict 3 damage on any target.
10kbullets_amulet_of_the_turtle_10kb	Amulet of the Turtle	shadowfist/10-000-bullets/Shadowfist-10000Bullets-AmuletOfTheTurtle.jpg	default	State	10,000 Bullets	10kbullets	playerNDeck	Magic	State	0	{mag}					Fixed	amulet turtle	Play on a Character. Redirect all damage inflicted on subject to this card. Smoke Amulet of the Turtle when it accumulates X damage; any damage in excess of X is immediately inflicted on subject. X= the number of {mag} resources in your pool.
10kbullets_arcane_scientist_10kb	Arcane Scientist	shadowfist/10-000-bullets/Shadowfist-10000Bullets-ArcaneScientist.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Purists	Initiate of Paradox	2		{pur}{mag}	2			Fixed	arcane scientist initiate paradox	Turn to draw a card during your Main Shot.
10kbullets_arcanotank_10kb	Arcanotank	shadowfist/10-000-bullets/Shadowfist-10000Bullets-Arcanotank.jpg	default	State	10,000 Bullets	10kbullets	playerNDeck	Architects of the Flesh	State	3	{arc}					Fixed	arcano tank	Vehicle. Subject Character gains +3 Fighting and Toughness: 1. Turn Arcanotank to inflict 1 damage on all Characters at Arcanotank's location.
10kbullets_assault_squad_10kb	Assault Squad	shadowfist/10-000-bullets/Shadowfist-10000Bullets-AssaultSquad.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Architects of the Flesh	BuroMil Soldiers	2		{arc}	2			Fixed	assault squad buro mil soldier	Play at no cost when an opponent declares an attack with 2 or more Characters on a card you control. If you do so, this card must intercept the attack.
10kbullets_avenging_thunder_10kb	Avenging Thunder	shadowfist/10-000-bullets/Shadowfist-10000Bullets-AvengingThunder.jpg	default	Event	10,000 Bullets	10kbullets	playerNDeck	Four Monarchs	Event	0	{mon}					Fixed	avenging thunder	One-Shot. Play in response to an opponent seizing or burning-for-victory a Site you control. Choose a Character that damaged that Site this turn :: Gain power equal to that Character’s cost and toast that Character.
10kbullets_bag_full_of_guns_10kb	Bag Full of Guns	shadowfist/10-000-bullets/Shadowfist-10000Bullets-BagFullOfGuns.jpg	default	State	10,000 Bullets	10kbullets	playerNDeck	Dragons	State	2	{dra}{dra}					Fixed	bag full gun	Weapon. Turn to give +2 damage until the end of the turn to all Characters you control at subject Character's location.
10kbullets_big_brother_tsien_10kb	Big Brother Tsien	shadowfist/10-000-bullets/Shadowfist-10000Bullets-BigBrotherTsien.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Eaters of the Lotus	Demon Hood	2		{lot}	2			Fixed	big brother tsien demon hood	Unique. Once per turn, you may pay 1 Power to give Big Brother Tsien +3 Fighting until the end of the turn.
