databaseId	name	imageUrl	cardBack	type	missionType	affiliation	classification	integrity	cunning	strength	points	span	quadrant	region	icons	uniqueness	keywords	text	lore	rarity	property	packName	set	printing	loadGroupId
tmp_110hmsbountyklg	H.M.S. Bounty*	star-trek-ccg-1e/the-motion-pictures/StarTrekCcg1e-TheMotionPictures-HMSBounty.jpg	default	Ship		Klingon/Federation	B'rel Class	7	6	6					[AU][Films]		Bird-of-Prey; Cloaking Device; Federation ship; Klingon ship; Tractor Beam;	Cloaking Device, Tractor Beam (cannot carry ships aboard).	Bird-of-prey captained by Kruge on a covert mission to the Genesis Planet. Stolen and commanded by Admiral Kirk; re-christened with historical irony by Dr. McCoy.	110 R+	TVH	The Motion Pictures	tmp	Physical	playerNDeck
roa_hagath	Hagath	star-trek-ccg-1e/rules-of-acquisition/StarTrekCcg1e-RulesOfAcquisition-Hagath.jpg	default	Personnel		Non-Aligned	CIVILIAN	2	7	5					[Stf]		Humanoid; Arms dealer; Male;	CIVILIAN Acquisition Treachery x 2 Anthropology ENGINEER Your hand weapons may report here.	Humanoid arms dealer. Associate of Quark's cousin Gaila. Ruthless. Treats his business associates like family - until they cross him.	R	DS9	Rules of Acquisition	roa	Physical	playerNDeck
au_hail	Hail	star-trek-ccg-1e/alternate-universe/StarTrekCcg1e-AlternateUniverse-Hail.jpg	default	Interrupt														Plays on any ship "flying by" one of your ships; it must stop at your location. OR Select two ships; they cannot battle each other this turn.	Using a universal translator and other communication technology, such as at Worf's station aboard the U.S.S. Enterprise, starships can greet any ships they encounter.	C	TNG	Alternate Universe	au	Physical	playerNDeck
borg_hajurhir	Hajur	star-trek-ccg-1e/the-borg/StarTrekCcg1e-TheBorg-Hajur.jpg	default	Personnel		Hirogen/Non-Aligned	CIVILIAN	7	9	9					[Cmd][DQ]		Hirogen; Male; Tsunkatse-related card;	CIVILIAN Leadership Biology MEDICAL Anthropology Geology Archaeology	Hirogen captured by Penk on his son's first hunt. Has fought at Tsunkatse for nearly two decades. Trained Seven of Nine, hoping she could end his captivity.	80 R+	VOY	The Borg	borg	Physical	playerNDeck
borg_hajurna	Hajur*	star-trek-ccg-1e/the-borg/StarTrekCcg1e-TheBorg-Hajur-2.jpg	default	Personnel		Non-Aligned/Hirogen	CIVILIAN	7	9	9					[Cmd][DQ]		Hirogen; Male; Tsunkatse-related card;	CIVILIAN Leadership Biology MEDICAL Anthropology Geology Archaeology	Hirogen captured by Penk on his son's first hunt. Has fought at Tsunkatse for nearly two decades. Trained Seven of Nine, hoping she could end his captivity.	80 R+	VOY	The Borg	borg	Physical	playerNDeck
voy_haliz	Haliz	star-trek-ccg-1e/voyager/StarTrekCcg1e-Voyager-Haliz.jpg	default	Personnel		Kazon	OFFICER	5	8	9					[Cmd][DQ]		Kazon; Kazon-Ogla; Male;	OFFICER Biology SCIENCE Leadership Stellar Cartography	One of the greatest Kazon-Ogla warriors. Serves under Razik. Admired by many young Ogla, including Karden. Killed a Relora with his bare hands to earn his name.	144 U	VOY	Voyager	voy	Physical	playerNDeck
mm_HalkanCouncil_MM	Halkan Council	star-trek-ccg-1e/mirror-mirror/StarTrekCcg1e-MirrorMirror-HalkanCouncil.jpg	default	Time Location	[P]								Mirror					Seeds or plays on table; any players may download one [MQ] Constitution-class ship here. Native to this timeline: all [AU][MU][OS] cards, and all [OS] Equipment cards. Once per turn, one such card reporting at this location may report for free.	Site of dilithium deposits and obstinate inhabitants.	131 R		Mirror, Mirror	mm	Physical	playerNMissions
voy_handshake	Handshake	star-trek-ccg-1e/voyager/StarTrekCcg1e-Voyager-Handshake.jpg	default	Incident														Plays once each turn (for free) if you have played no cards this turn and have fewer in hand than opponent; they must choose to discard three cards or allow you to draw three. OR Plays to look at top five cards in any draw deck or discard pile for ten seconds; rearrange as desired. OR Plays if you have at least three other cards in hand; discard entire hand and draw seven cards. Discard incident after any use.		62 U	VOY	Voyager	voy	Physical	playerNSeed
roa_HanokA	Hanok	star-trek-ccg-1e/rules-of-acquisition/StarTrekCcg1e-RulesOfAcquisition-Hanok.jpg	default	Personnel		Dominion	V.I.P.	7	7	6					[Cmd][GQ]		Karemma; Male; Minister;	V.I.P. Acquisition Diplomacy Smuggling ENGINEER DL/ {Any [Rule] card}	Karemma Commerce Minister. Helped to defuse a torpedo lodged in the hull of the U.S.S. Defiant. Learned of Ferengi business philosophy from Quark.	U	DS9	Rules of Acquisition	roa	Physical	playerNDeck
voy_hanonianlandeel	Hanonian Land Eel	star-trek-ccg-1e/voyager/StarTrekCcg1e-Voyager-HanonianLandEel.jpg	default	Dilemma	[P]												SCIENCE-related dilemma;	Unless SECURITY, SCIENCE, and STRENGTH>50 present, kills Away Team member with lowest CUNNING or fewest [*] icons (opponent's choice).	While stranded on a savage world by the Kazon-Nistrim, the crew of U.S.S. Voyager encountered a carnivorous creature with an appetite for Starfleet engineers.	11 R	VOY	Voyager	voy	Physical	playerNSeed
borg_HarnessParticle010A	Harness Particle 010	star-trek-ccg-1e/the-borg/StarTrekCcg1e-TheBorg-HarnessParticle010.jpg	default	Objective							30				[BO][HA]			Plays on table. Target {Omega Particle} (download if needed; it is immune to {Kevin Uxbridge}) at your mission with no [BO] objective on it. Your Borg may scout that location. After scouting complete, if your staffed Borg cube there, you may probe: [Enigma], [Incident], [Objective]: Perfection achieved. Place on mission; discard Particle. Doubles point boxes of your subsequently completed [BO] objectives.		47 R	VOY	The Borg	borg	Physical	playerNSeed
