databaseId	name	imageUrl	cardBack	type	packName	set	loadGroupId	subtype	rarity
Base_Alice_in_Wonderland_Challenge	Alice in Wonderland	star-trek-tcg/base-set/StarTrekTcg-BaseSet-AliceInWonderland.jpg	default	Challenge	Base Set	Base	playerNChallenges	Enigma	C
Base_Alien_Savages_Challenge	Alien Savages	star-trek-tcg/base-set/StarTrekTcg-BaseSet-AlienSavages.jpg	default	Challenge	Base Set	Base	playerNChallenges	Ambush	C
Base_Andorians_Challenge	Andorians	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Andorians.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture	C
Base_Android_Duplicate_Challenge	Android Duplicate!	star-trek-tcg/base-set/StarTrekTcg-BaseSet-AndroidDuplicate.jpg	default	Challenge	Base Set	Base	playerNChallenges	Attack	V
Base_Ayelborne_Challenge	Ayelborne	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Ayelborne.jpg	default	Challenge	Base Set	Base	playerNChallenges	Enigma or Negotiate	R
Base_Balok_Challenge	Balok	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Balok.jpg	default	Challenge	Base Set	Base	playerNChallenges	Enigma or Negotiate	R
Base_Bele_Challenge	Bele	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Bele.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture or Argue	R
Base_Ben_Childress_Challenge	Ben Childress	star-trek-tcg/base-set/StarTrekTcg-BaseSet-BenChildress.jpg	default	Challenge	Base Set	Base	playerNChallenges	Negotiate	U
Base_Bilar_Challenge	Bilar	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Bilar.jpg	default	Challenge	Base Set	Base	playerNChallenges	Attack or Capture	U
Base_Black_Knight_Challenge	Black Knight	star-trek-tcg/base-set/StarTrekTcg-BaseSet-BlackKnight.jpg	default	Challenge	Base Set	Base	playerNChallenges	Attack	U
Base_Capellans_Challenge	Capellans	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Capellans.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture	C
Base_Claudius_Marcus_Challenge	Claudius Marcus	star-trek-tcg/base-set/StarTrekTcg-BaseSet-ClaudiusMarcus.jpg	default	Challenge	Base Set	Base	playerNChallenges	Conquer or Command or Argue	R
Base_Colonel_Green_Challenge	Colonel Green	star-trek-tcg/base-set/StarTrekTcg-BaseSet-ColonelGreen.jpg	default	Challenge	Base Set	Base	playerNChallenges	Ambush or Capture or Outwit	C
Base_Commodore_Jose_Mendez_Challenge	Commodore Jose' Mendez	star-trek-tcg/base-set/StarTrekTcg-BaseSet-CommodoreJoseMendez.jpg	default	Challenge	Base Set	Base	playerNChallenges	Command or Enigma	V
Base_Commodore_Stone_Challenge	Commodore Stone	star-trek-tcg/base-set/StarTrekTcg-BaseSet-CommodoreStone.jpg	default	Challenge	Base Set	Base	playerNChallenges	Command or Negotiate	U
Base_Decius_Challenge	Decius	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Decius.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture	C
Base_Denevan_Neural_Parasites_Challenge	Denevan Neural Parasites	star-trek-tcg/base-set/StarTrekTcg-BaseSet-DenevanNeuralParasites.jpg	default	Challenge	Base Set	Base	playerNChallenges	Conquer	R
Base_Dikironium_Cloud_Creature_Challenge	Dikironium Cloud Creature	star-trek-tcg/base-set/StarTrekTcg-BaseSet-DikironiumCloudCreature.jpg	default	Challenge	Base Set	Base	playerNChallenges	Ambush or Outwit	V
Base_Don_Juan_Challenge	Don Juan	star-trek-tcg/base-set/StarTrekTcg-BaseSet-DonJuan.jpg	default	Challenge	Base Set	Base	playerNChallenges	Enigma or Capture	C
Base_Dr_Brown_Challenge	Dr. Brown	star-trek-tcg/base-set/StarTrekTcg-BaseSet-DrBrown.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture or Enigma	C
Base_Dr_Elizabeth_Dehner_Challenge	Dr. Elizabeth Dehner*	star-trek-tcg/base-set/StarTrekTcg-BaseSet-DrElizabethDehner.jpg	default	Challenge	Base Set	Base	playerNChallenges	Negotiate or Mind Control	V
Base_Dr_Roger_Korby_Challenge	Dr. Roger Korby	star-trek-tcg/base-set/StarTrekTcg-BaseSet-DrRogerKorby.jpg	default	Challenge	Base Set	Base	playerNChallenges	Outwit or Argue	R
Base_Dr_Simon_Van_Gelder_Challenge	Dr. Simon Van Gelder	star-trek-tcg/base-set/StarTrekTcg-BaseSet-DrSimonVanGelder.jpg	default	Challenge	Base Set	Base	playerNChallenges	Ambush or Enigma	C
Base_Dr_Tristan_Adams_Challenge	Dr. Tristan Adams	star-trek-tcg/base-set/StarTrekTcg-BaseSet-DrTristanAdams.jpg	default	Challenge	Base Set	Base	playerNChallenges	Mind Control or Command	U
