databaseId	name	imageUrl	cardBack	type	subtype	side	uniqueness	packName	rarity	destiny	deploy	power	ability	armor	maneuver	hyperspeed	landspeed	forfeit	politics	icons	cardTypes	lore	text
101_1	Death Star: Level 6 Core Shaft Corridor	star-wars-ccg/premiere-introductory-two-player-game/StarWarsCcg-PremiereIntroductoryTwoPlayerGame-DeathStarLevel6CoreShaftCorridor.gif	Light	LOCATION	SITE	LIGHT	UNIQUE	Premiere Introductory Two Player Game	PM	0	0									DARK_FORCE, INTERIOR_SITE, LIGHT_FORCE, MOBILE	LOCATION		Light: If the Light Side controls this site, Luke and Obi-Wan are each power +2. / Dark: If you control, opponent needs 2 ability to control each Death Star site.
101_2	Luke	star-wars-ccg/premiere-introductory-two-player-game/StarWarsCcg-PremiereIntroductoryTwoPlayerGame-Luke.gif	Light	CHARACTER		LIGHT	UNIQUE	Premiere Introductory Two Player Game	PM	1	4	2	3				1	4	0	REBEL, WARRIOR	REBEL	Raised by guardians Owen and Beru Lars on a moisture farm on Tatooine, where Owen wanted him to stay. Nicknamed 'Wormie' by childhood friends Camie and Fixer.	Must deploy on Tatooine, but may move elsewhere. May not be deployed if two or more of opponent's unique (•) characters on table. Your warriors at same site as Luke, or adjacent sites are forfeit +1.
101_3	Run Luke, Run!	star-wars-ccg/premiere-introductory-two-player-game/StarWarsCcg-PremiereIntroductoryTwoPlayerGame-RunLukeRun.gif	Light	INTERRUPT	LOST	LIGHT	UNIQUE	Premiere Introductory Two Player Game	PM	6										INTERRUPT	INTERRUPT	After seeing Vader strike down Obi-Wan, Luke attacked recklessly until he heard the old Jedi Master's voice warn, 'Run Luke, Run!'	At any time, move Luke as a regular move (for free) to a battle just initiated at an adjacent site. Luke is power +2 during that battle, unless Vader is present or adjacent to the battle site. OR You may cancel Vader's Obsession.
101_4	Death Star: Docking Control Room 327	star-wars-ccg/premiere-introductory-two-player-game/StarWarsCcg-PremiereIntroductoryTwoPlayerGame-DeathStarDockingControlRoom327.gif	Dark	LOCATION	SITE	DARK	UNIQUE	Premiere Introductory Two Player Game	PM	0	0									DARK_FORCE, INTERIOR_SITE, MOBILE, SCOMP_LINK	LOCATION		Light: If you control, with a Rebel with ability > 2 present, Force drain +2 here. / Dark: If you control, may deploy a docking bay directly from your Reserve Deck. Reshuffle deck.
101_5	Vader	star-wars-ccg/premiere-introductory-two-player-game/StarWarsCcg-PremiereIntroductoryTwoPlayerGame-Vader.gif	Dark	CHARACTER		DARK	UNIQUE	Premiere Introductory Two Player Game	PM	1	7	4	6				1	5	0	IMPERIAL, WARRIOR	IMPERIAL	Sought to extinguish all Jedi. Former student of Obi-Wan Kenobi. Seduced by the dark side of the Force.	Must deploy on Death Star, but may move elsewhere. May not be deployed if two or more of opponent's unique (•) characters on table. If in a losing battle, draw destiny. If destiny > 4, 'choke' (lose) one Imperial present (your choice).
101_6	Vader's Obsession	star-wars-ccg/premiere-introductory-two-player-game/StarWarsCcg-PremiereIntroductoryTwoPlayerGame-VadersObsession.gif	Dark	INTERRUPT	LOST	DARK	UNIQUE	Premiere Introductory Two Player Game	PM	6										INTERRUPT	INTERRUPT	Vader sought to hunt down and destroy all Jedi. After completing the circle with Obi-Wan, he turned his attention to the young Skywalker.	During your move phase, if Vader moves to Luke's site from an adjacent site, begin a duel between them. Each adds two destiny to power. Winner retrieves lost Force equal to the difference. Loser loses same amount of Force, plus the character.
102_1	For Luck	star-wars-ccg/jedi-pack/StarWarsCcg-JediPack-ForLuck.gif	Light	EFFECT	NORMAL	LIGHT	UNIQUE	Jedi Pack	PM	4										PREMIUM, EFFECT	EFFECT	Before swinging across the treacherous abyss, Leia gave Luke a kiss for luck. Despite an incessant storm of laserblasts, they made it.	Deploy on table. If Counter Assault is played, may use 1 Force to add one destiny to your total. If Sense or Alter just played, may use X Force to exclude X Dark Jedi from being the 'highest-ability character.'
102_10	Motti	star-wars-ccg/jedi-pack/StarWarsCcg-JediPack-Motti.gif	Dark	CHARACTER		DARK	UNIQUE	Jedi Pack	PM	1	4	2	2				1	3	0	PREMIUM, IMPERIAL, PILOT	IMPERIAL	Considered an overrated leader by many subordinates. Has a disturbing lack of faith. Became a member of the Death Star's command triumvirate despite his failings.	
102_11	Tarkin	star-wars-ccg/jedi-pack/StarWarsCcg-JediPack-Tarkin.gif	Dark	CHARACTER		DARK	UNIQUE	Jedi Pack	PM	1	4	2	2				1	3	0	PREMIUM, IMPERIAL	IMPERIAL	Imperial Governor of the Seswenna Sector. Conceived and implemented the Death Star project. A leader in the effort to crush the Rebellion.	
102_2	Han	star-wars-ccg/jedi-pack/StarWarsCcg-JediPack-Han.gif	Light	CHARACTER		LIGHT	UNIQUE	Jedi Pack	PM	1	4	2	2				1	3	0	PREMIUM, ALIEN, PILOT	ALIEN	Corellian. Graduated with honors from the Imperial Academy. Dishonorably discharged. Wanders the galaxy building a reputation as a gambler and a hot-shot pilot.	
102_3	Leia	star-wars-ccg/jedi-pack/StarWarsCcg-JediPack-Leia.gif	Light	CHARACTER		LIGHT	UNIQUE	Jedi Pack	PM	1	4	2	2				1	3	0	PREMIUM, REBEL	REBEL	Adopted daughter of the Viceroy and First Chairman of Alderaan. Became a political leader at a young age. The injustices of the New Order led her to join the Rebellion.	
102_4	Luke's T-16 Skyhopper	star-wars-ccg/jedi-pack/StarWarsCcg-JediPack-LukesT16Skyhopper.gif	Light	VEHICLE	SHUTTLE	LIGHT	UNIQUE	Jedi Pack	PM	4	2	2			5			4		PREMIUM, VEHICLE	VEHICLE	Enclosed vehicle used by Luke Skywalker for his early pilot training. Often raced with Biggs Darklighter through Beggar's Canyon.	Requires 1 pilot to use. May carry 1 passenger. May move as a 'react.' May 'bullseye' one Womp Rat per turn. *Landspeed = 4, OR 1 character may shuttle to or from same site for free.
102_5	Tedn Dahai	star-wars-ccg/jedi-pack/StarWarsCcg-JediPack-TednDahai.gif	Light	CHARACTER		LIGHT	UNIQUE	Jedi Pack	PM	3	2	1	1				1	4	0	PREMIUM, ALIEN	ALIEN	Male Bith musician. Member in good standing of the Intergalactic Federation of Musicians. Plays the Fanfar in Figrin D'an's band. Once worked for the Empire as a scout.	For each other musician at same site, during any control phase you may use 1 Force to choose one opponent's alien present. That alien cannot utilize its game text for remainder of that turn.
102_6	Dark Forces	star-wars-ccg/jedi-pack/StarWarsCcg-JediPack-DarkForces.gif	Dark	EFFECT	NORMAL	DARK	UNIQUE	Jedi Pack	PM	4										PREMIUM, EFFECT	EFFECT	'The ability to destroy a planet is insignificant next to the power of the Force.'	Deploy on your side of table. When Surprise Assault is played, may use 1 Force to add one destiny to your total. Also, when Sense or Alter is played, may use X Force to exclude X Jedi from being the 'highest-ability character.'
102_7	Eriadu	star-wars-ccg/jedi-pack/StarWarsCcg-JediPack-Eriadu.gif	Dark	LOCATION	SYSTEM	DARK	UNIQUE	Jedi Pack	PM	0	0									PREMIUM, DARK_FORCE, PLANET	LOCATION		Light: If you control, Force drain +1 here. / Dark: Tarkin deploys free here. If you control, all Imperials with ability > 2 on table are forfeit +2.
102_8	Gravity Shadow	star-wars-ccg/jedi-pack/StarWarsCcg-JediPack-GravityShadow.gif	Dark	INTERRUPT	LOST	DARK	UNIQUE	Jedi Pack	PM	4										PREMIUM, INTERRUPT	INTERRUPT	'Traveling through hyperspace ain't like dustin' crops, boy!' Gravitational phenomena cast shadows in hyperspace, posing a serious threat to lightspeed navigation.	If opponent's starship is about to move through hyperspace, target that starship and its highest-ability pilot. Draw destiny. If destiny > pilot's ability, starship may not move this turn. If destiny = pilot's ability, starship is lost.
102_9	Hyperoute Navigation Chart	star-wars-ccg/jedi-pack/StarWarsCcg-JediPack-HyperouteNavigationChart.gif	Dark	GAME_AID		DARK		Jedi Pack	PM											PREMIUM			[0] Coruscant [1] Carida, Corellia, Eriadu, Kirdo III, Kuat [2] Alderaan, Bothawui, Kiffex, Rendili, Tibrin, Wakeelmui [3] Malastare, Nal Hutta, Raithal, Ralltiir [4] Aquaris, Chandrila, Corulag, Yavin 4* [5] Anoat, Dantooine, Hoth*, Naboo [6] Bespin, Fondor, Kashyyyk, Mon Calamari [7] Clak'dor VII, Ord Mantell, Roche, Sullust, Tatooine [8] Endor, Kessel [9] Dagobah, Gall * Known Rebel Base
103_1	Gold Leader In Gold 1	star-wars-ccg/rebel-leader-pack/StarWarsCcg-RebelLeaderPack-GoldLeaderInGold1.gif	Light	STARSHIP	STARFIGHTER	LIGHT	UNIQUE	Rebel Leader Pack	PM	2	5	2			3	4		4		PREMIUM, STARSHIP, NAV_COMPUTER, PILOT	STARSHIP	At the Battle of Yavin, Dutch led his squadron of outdated but reliable Y-wings in the first wave of the assault against the Death Star.	May add 1 pilot or passenger. Permanent pilot aboard is •Dutch, who provides ability of 2, adds 2 to power and may draw one battle destiny if not able to otherwise.
103_2	Red Leader In Red 1	star-wars-ccg/rebel-leader-pack/StarWarsCcg-RebelLeaderPack-RedLeaderInRed1.gif	Light	STARSHIP	STARFIGHTER	LIGHT	UNIQUE	Rebel Leader Pack	PM	2	6	3			4	5		5		PREMIUM, STARSHIP, NAV_COMPUTER, PILOT	STARSHIP	Called 'Boss' or 'Chief' by his squadron, Garven Dreis was the first pilot to fire proton torpedoes at the Death Star's exhaust port during the Battle of Yavin.	Permanent pilot aboard is •Red Leader, who provides ability of 2, adds 2 to power and may draw one battle destiny if not able to otherwise.
104_1	Chewie	star-wars-ccg/empire-strikes-back-introductory-two-player-game/StarWarsCcg-EmpireStrikesBackIntroductoryTwoPlayerGame-Chewie.gif	Light	CHARACTER		LIGHT	UNIQUE	Empire Strikes Back Introductory Two Player Game	PM	1	5	4	2				1	3	0	PREMIUM, REBEL, PILOT	REBEL	Loyal Wookiee companion of Captain Han Solo. Co-pilot of the Millennium Falcon. Leia referred to him as a 'walking carpet.'	Must deploy on Hoth, but may move elsewhere. May not be deployed if three or more of opponent's unique (•) characters on table.
104_2	Lone Rogue	star-wars-ccg/empire-strikes-back-introductory-two-player-game/StarWarsCcg-EmpireStrikesBackIntroductoryTwoPlayerGame-LoneRogue.gif	Light	INTERRUPT	LOST	LIGHT	UNRESTRICTED	Empire Strikes Back Introductory Two Player Game	PM	4										PREMIUM, INTERRUPT	INTERRUPT	The pilots at the Rebel Base on Hoth are trained to respond quickly to the Empire's forces. Many Rebels feel that they could take on the whole Empire themselves.	If one of your pilots is at an exterior Hoth site, use 2 Force to search your Reserve Deck and take one T-47 into hand. OR If your piloted T-47 is defending a battle alone at a site, add one battle destiny.
104_3	Rebel Snowspeeder	star-wars-ccg/empire-strikes-back-introductory-two-player-game/StarWarsCcg-EmpireStrikesBackIntroductoryTwoPlayerGame-RebelSnowspeeder.gif	Light	VEHICLE	COMBAT	LIGHT	UNRESTRICTED	Empire Strikes Back Introductory Two Player Game	PM	3	1	2			3		4	2		PREMIUM, VEHICLE, PILOT	VEHICLE	Technicians at the Rebel Base on Hoth modified T-47 airspeeders to fly in the frigid atmosphere of the ice planet. Enclosed.	May add 1 pilot or passenger. Permanent pilot aboard provides ability of 1.
104_4	Hoth: Mountains (6th Marker)	star-wars-ccg/empire-strikes-back-introductory-two-player-game/StarWarsCcg-EmpireStrikesBackIntroductoryTwoPlayerGame-HothMountains6thMarker.gif	Dark	LOCATION	SITE	DARK	UNIQUE	Empire Strikes Back Introductory Two Player Game	PM	0	0									PREMIUM, DARK_FORCE, EXTERIOR_SITE, PLANET	LOCATION		Light: If you control, Force drain +1 here. / Dark: Your Imperials and combat vehicles deploy -1 here.
104_5	Imperial Walker	star-wars-ccg/empire-strikes-back-introductory-two-player-game/StarWarsCcg-EmpireStrikesBackIntroductoryTwoPlayerGame-ImperialWalker.gif	Dark	VEHICLE	COMBAT	DARK	UNRESTRICTED	Empire Strikes Back Introductory Two Player Game	PM	2	4	4		6			1	4		PREMIUM, VEHICLE, PILOT, SCOMP_LINK	VEHICLE	Four-legged, enclosed combat vehicle. The monstrous, plodding AT-AT (All Terrain Armored Transport) can carry an entire squadron of armed troops.	May add 1 pilot and 8 passengers. Permanent pilot aboard provides ability of 1.
104_6	Veers	star-wars-ccg/empire-strikes-back-introductory-two-player-game/StarWarsCcg-EmpireStrikesBackIntroductoryTwoPlayerGame-Veers.gif	Dark	CHARACTER		DARK	UNIQUE	Empire Strikes Back Introductory Two Player Game	PM	1	4	2	3				1	3	0	PREMIUM, IMPERIAL, WARRIOR	IMPERIAL	General of the AT-AT assault armor division sent by Darth Vader to crush the Rebellion on Hoth. Cold and ruthless.	Must deploy on Hoth, but may move elsewhere. May not be deployed if three or more of opponent's unique (•) characters on table. Snowtroopers at same site are forfeit +1.
104_7	Walker Garrison	star-wars-ccg/empire-strikes-back-introductory-two-player-game/StarWarsCcg-EmpireStrikesBackIntroductoryTwoPlayerGame-WalkerGarrison.gif	Dark	INTERRUPT	LOST	DARK	UNRESTRICTED	Empire Strikes Back Introductory Two Player Game	PM	4										PREMIUM, INTERRUPT	INTERRUPT	When efficiently deployed, a squadron of AT-ATs can quickly take control of a wide area, making it easy for imperial forces to dominate a planet.	If Veers is at an exterior Hoth site, use 2 Force to search your Reserve Deck and take one AT-AT into your hand. OR If you have 3 AT-ATs at three different Hoth sites, your Force drains are +2 at Hoth locations this turn.
105_1	Commander Wedge Antilles	star-wars-ccg/first-anthology/StarWarsCcg-FirstAnthology-CommanderWedgeAntilles.gif	Light	CHARACTER		LIGHT	UNIQUE	First Anthology	PV	3	3	3	2				1	6	0	SPECIAL_EDITION, REBEL, PILOT, WARRIOR	REBEL	Promoted to commander for his heroism in the Battle of Yavin. Leader in charge of training new pilots assigned to Echo Base. Piloted Rogue 3 in the battle of Hoth.	Adds 3 to power of anything he pilots. When piloting Rogue 3, also adds 2 to maneuver and draws battle destiny if not able to otherwise. May use 2 Force to take one One More Pass into hand from Reserve Deck; reshuffle.
105_2	Hit And Run	star-wars-ccg/first-anthology/StarWarsCcg-FirstAnthology-HitAndRun.gif	Light	INTERRUPT	LOST	LIGHT	UNIQUE	First Anthology	PV	3										SPECIAL_EDITION, INTERRUPT	INTERRUPT	Many pilots for the Rebellion learned their skills using modified T-47s and other airspeeders. Being able to weave in and out of combat has become second nature to them.	Just after the weapons segment of a battle, you may move any or all of your starships there away. ('Hit' cards must still be lost.)
105_3	X-wing Assault Squadron	star-wars-ccg/first-anthology/StarWarsCcg-FirstAnthology-XWingAssaultSquadron.gif	Light	STARSHIP	SQUADRON	LIGHT	UNRESTRICTED	First Anthology	PV	2		9			4	5		12		SPECIAL_EDITION, STARSHIP, NAV_COMPUTER x3, PILOT x3, SCOMP_LINK x3	STARSHIP	A squadron of X-wings ran interference for Y-wings during their assault on the Death Star. Keeping a tight formation dramatically increased the squadron's efficiency.	* Replaces 3 X-wings at one location (X-wings go to Used Pile). Permanent pilots provide total ability of 3.
105_4	Boba Fett	star-wars-ccg/first-anthology/StarWarsCcg-FirstAnthology-BobaFett.gif	Dark	CHARACTER		DARK	UNIQUE	First Anthology	PV	1	5	3	2	5			1	4	0	SPECIAL_EDITION, ALIEN, PILOT, WARRIOR	ALIEN	Infamous bounty hunter. Hired to help Jabba intimidate debtors and smugglers. Crack shot. Mandalorian armor and jet pack provide protection and flight capability.	Adds 2 to power and 1 to maneuver of anything he pilots. May deploy -1 as a 'react' to same site as a gangster or smuggler. When firing weapons, any 'hit' characters are forfeit = 0. May 'fly' (landspeed = 3). Immune to attrition < 3.
