databaseId	name	imageUrl	cardBack	type	attack	cost	faction	flavorText	force	hitPoints	mainText	quantity	resources	rewardText	targetValue	traits	unique	set
arquitens_command_cruiser	Arquitens Command Cruiser	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-ArquitensCommandCruiser.jpg	mandalorian	CapitalShip	1	5	Mandalorian	They tend to get mad when you hijack their ships. –The Mandalorian		5	While Arquitens Command Cruiser is in play, each of your Trooper units gains 1 [attack].	1	2				0	mandalorian
arvala_VII	Arvala VII	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-ArvalaVII.jpg	mandalorian	Base			Mandalorian			16	When your turn begins, if the Force marker is on the neutral space, gain 1 [resource]. If it is not, move the Force marker 1 space toward neutral.	1					1	mandalorian
axe_woves	Axe Woves	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-AxeWoves.jpg	mandalorian	Unit	3	3	Mandalorian			3	Place Axe Woves on top of the galaxy deck to move the Force marker to the neutral space.	1		Gain 2 [force].	3	Trooper.	1	mandalorian
balutar_swoop_rider	Balutar Swoop Rider	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-BalutarSwoopRider.jpg	mandalorian	Unit		2	Mandalorian			2	When you purchase a card, move the [force] marker 1 space toward neutral.	1	2	Exile 1 card from your hand or discard pile.	2	Trooper.	0	mandalorian
bo-katan	Bo-Katan	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-BoKatan.jpg	mandalorian	Unit	6	8	Mandalorian			8	If the Force marker is on the neutral space, add a Mandalorian card in your discard pile to your hand.	1	2	Gain 4 [resource] and 4 [force].	8	Trooper.	1	mandalorian
captured_gozanti_cruiser	Captured Gozanti Cruiser	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-CapturedGozantiCruiser.jpg	mandalorian	CapitalShip		3	Mandalorian	“We are taking the ship for the battles ahead.” — Bo-Katan		3	If the Force marker is on the neutral space, draw 1 card.	1	2				0	mandalorian
child_of_the_watch	Child of the Watch	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-ChildOfTheWatch.jpg	mandalorian	Unit		0	Mandalorian	Those who follow the Way of the Mandalore are viewed by some as religious zealots.			When you play Child of the Watch, choose: They gain 1 [attack], 1 [resource], or 1 [force] this turn.	1					0	mandalorian
clan_kryze_commando	Clan Kryze Commando	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-ClanKryzeCommando.jpg	mandalorian	Unit	2	2	Mandalorian			2	If the Force marker is on the neutral space, deal 2 damage to your opponent's base.	1		Exile 1 card from your hand or discard pile.	2	Trooper.	0	mandalorian
concord_dawn	Concord Dawn	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-ConcordDawn.jpg	mandalorian	Base			Mandalorian			8	Start the game with this base in play.	1				Mandalorian Outpost.	1	mandalorian
concordia	Concordia	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-Concordia.jpg	mandalorian	Base			Mandalorian			12	When you reveal Concordia, exile up to 3 cards from your hand or discard pile.	1					1	mandalorian
cw_g1	AAT	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-AAT.png	card	Unit	5	5	Separatist	Armored Assault Tanks wield 6 missile tubes and a heavy laser cannon to cause untold devastation.		5	Exile a Separatist card from the galaxy row. If you do, gain 2 [resource].	1		Exile up to 2 cards from your hand or discard pile.	5	Vehicle.	0	clone_wars
