databaseId	name	imageUrl	cardBack	type	cost	health	team	powerSymbol	rangedFlight	keyword	text	packName	set	loadGroupId
THE MARVEL BATTLES_Abomination_SC	Abomination	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Abomination.jpg	default	Supporting Character	5	3	Villains	None		Monstrous	When he is melee team attacked, he strikes back against each attacker.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Academy_L	Academy	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Academy.jpg	default	Location	None			Intellect			[Intellect]	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Adam_Warlock_SC	Adam Warlock	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-AdamWarlock.jpg	default	Supporting Character	7	1	Guardians of the Galaxy	Might	Flight		Evolutionary Cocoon. Adam Warlock appears stunned. Main [Might]: Recover Adam Warlock and ready him. Use this power only while he's stunned.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Agent_Venom_SC	Agent Venom	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-AgentVenom.jpg	default	Supporting Character	2	1	Guardians of the Galaxy	Might			Symbiote Strength. Main [Might]: Put two +1/+1 counters on Agent Venom	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Ant-Man_SC	Ant-Man	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-AntMan.jpg	default	Supporting Character	1	1	Avengers	None		Shrink	The first time he's attacked each turn, you may cancel the combat.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Avengers_Mansion_L	Avengers Mansion	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-AvengersMansion.jpg	default	Location	None		Avengers	Energy, Intellect, Might, Skill			[Energy] or [Intellect] or [Might] or [Skill] for an [Avengers] character.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Beast_SC	Beast	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Beast.jpg	default	Supporting Character	4	2	X-Men	None		Ferocious, Genius	During melee combat, he strikes before enemy characters. At the start of your turn, if he's face-up, you may draw a card.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Best_Offense_Is_A_Good_Defense_PT	Best Offense Is A Good Defense	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-BestOffenseIsAGoodDefense.jpg	default	Plot Twist	None			None			[Any Turn] Combat: Choose an attacker to get +0/+5 this combat.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Black_Panther_SC	Black Panther	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-BlackPanther.jpg	default	Supporting Character	2	2	Avengers	None		Ferocious	During melee combat, he strikes before enemy characters.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Black_Widow_SC	Black Widow	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-BlackWidow.jpg	default	Supporting Character	1	1	Avengers	None	Ranged	Sting	When she appears, put a -1/-1 counter on an enemy character.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Cable_SC	Cable	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Cable.jpg	default	Supporting Character	5	1	X-Men	Skill	Ranged	Ultimate Soldier	Combat [Skill]: At the end of this combat, stun each enemy character that survived the combat.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Captain_America_L1	Captain America L1	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-CaptainAmericaL1.jpg	default	Main Character	None	5	Avengers	Skill			Avengers Assemble. Main [Skill]: This turn, enemy characters can't strike back during team attacks.Level Up [3] - When Cap team attacks and stuns an enemy character, he gains an XP.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Captain_America_L2	Captain America L2	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-CaptainAmericaL2.jpg	default	Main Character	None	5	Avengers	Skill, Intellect			Avengers Assemble. Main [Skill]: This turn, enemy characters can't strike back during team attacks. Main [Intellect]: Put a +1/+1 counter on each character on your side.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Captain_America_SC	Captain America	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-CaptainAmerica.jpg	default	Supporting Character	3	1	Avengers	None		Leader, Inspire	Leader. While he's team attacking, you choose who the defender strikes back against. Inspire. When another character appears on your side, put a +1/+1 counter on it.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Colossus_SC	Colossus	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Colossus.jpg	default	Supporting Character	6	1	X-Men	Might		Toss, Organic Steel	When he appears, choose another character on your side to gain [Flight] this turn. [Any Turn] Combat [Might]: Colossus gets +5/+5 this combat.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Cosmo_SC	Cosmo	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Cosmo.jpg	default	Supporting Character	1	1	Guardians of the Galaxy	None	Ranged	Nullify	When he appears, choose an enemy character. It loses and can't gain  Keyword and Super Powers this turn.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Cyclops_SC	Cyclops	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Cyclops.jpg	default	Supporting Character	2	1	X-Men	Skill	Ranged	Leader, Battle Tactics	While he's team attacking, you choose who the defender strikes back against. Main [Skill]: Move a character on your side to your front or back row.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_DareDevil_SC	DareDevil	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-DareDevil.jpg	default	Supporting Character	2	1	Avengers	None		Dodge, Fearless	He can't be ranged attacked. While attacking a main character, Daredevil strikes with double his ATK.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Deadpool_L1	Deadpool L1	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-DeadpoolL1.jpg	default	Main Character	None	6	X-Men	Skill	Ranged		Main [Skill]: Characters on your side are Lethal this turn [When they stun a supporting character, KO that character.] Level Up [3] - At the end of your turn, if all of an enemy player's characters are stunned, Deadpool gains an XP.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Deadpool_L2	Deadpool L2	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-DeadpoolL2.jpg	default	Main Character	None	6	X-Men	Skill, Intellect	Ranged		Main [Skill]: Characters on your side are Lethal this turn [When they stun a supporting character, KO that character.] Main [Intellect]: For the rest of the game, Deadpool can attack enemy players. [ A player can only be attacked if all of its characters are stunned. While defending, the player is 0/1, has 1[Health], and counts as a supporting character.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Deadpool_SC	Deadpool	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Deadpool.jpg	default	Supporting Character	3	1	X-Men	Might	Ranged	Mercenary, Can't Keep a Bad Man Down	He can team attack with any main character. Build [Might]: If Deadpool is in your KO pile, put him into play.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Doctor_Octopus_SC	Doctor Octopus	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-DoctorOctopus.jpg	default	Supporting Character	3	1	Villains	None		Grab, Genius	While he's in the front row, enemy characters can't fly over him. At the start of your turn, if he's face-up, you may draw a card.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
