databaseId	name	imageUrl	cardBack	type	category	clan	group	capacity	discipline	poolCost	bloodCost	set	rarity	text	loadGroupId
coachtyronesorosg6	"Coach" Tyrone Soros	vampire-the-eternal-struggle/nb2/Vtes-NB2-CoachTyroneSoros.jpg	crypt	Vampire	Vampire	Ministry	6	3	obf pre			NB2	NB2:PMi1	Anarch.	playerNCrypt
motheranjagiovannig6	"Mother" Anja Giovanni	vampire-the-eternal-struggle/nb3/Vtes-NB3-MotherAnjaGiovanni.jpg	crypt	Vampire	Vampire	Hecata	6	8	dom pot AUS FOR OBL			NB3	V5:PH1, NB3:PH1	Independent: Once each turn, if she is ready, Anja can burn 1 blood after another Hecata you control performs a successful action requiring Hecata or Oblivion [obl] to unlock that Hecata.	playerNCrypt
aabbtkindredg2	Aabbt Kindred	vampire-the-eternal-struggle/fn/Vtes-FN-AabbtKindred.jpg	crypt	Vampire	Vampire	Ministry	2	4	for pre ser			FN	FN:U2, POD:DTC	Independent: Aabbt Kindred cannot perform directed actions unless Nefertiti is ready. Aabbt Kindred can prevent 1 damage each combat. Non-unique.	playerNCrypt
aaradhyathecalloustyrantg6	Aaradhya, The Callous Tyrant	vampire-the-eternal-struggle/sv5/Vtes-SV5-AaradhyaTheCallousTyrant.jpg	crypt	Vampire	Vampire	Ventrue	6	10	ANI DOM FOR POT PRE			SV5	SV5:PPower1	Sabbat cardinal: Aaradhya can unlock after performing a successful political action (even if the referendum failed). +1 bleed.	playerNCrypt
aaronbathurstg4	Aaron Bathurst	vampire-the-eternal-struggle/third/Vtes-Third-AaronBathurst.jpg	crypt	Vampire	Vampire	Nosferatu antitribu	4	4	for obf pot			Third	Third:V	Sabbat.	playerNCrypt
aaronduggancameronstoadyg2	Aaron Duggan, Cameron's Toady	vampire-the-eternal-struggle/sw/Vtes-SW-AaronDugganCameronsToady.jpg	crypt	Vampire	Vampire	Lasombra	2	2	obt			SW	Sabbat:V, SW:U, POD:DTC	Sabbat.	playerNCrypt
abaddong7	Abaddon	vampire-the-eternal-struggle/nb3/Vtes-NB3-Abaddon.jpg	crypt	Vampire	Vampire	Salubri	7	8	cel pot AUS DOM FOR			NB3	V5C:PSal2, NB3C:PS1	Independent: Abaddon gets 1 optional maneuver and 1 optional press each combat.	playerNCrypt
abdalrashidg2	Abd al-Rashid	vampire-the-eternal-struggle/fn/Vtes-FN-AbdAlRashid.jpg	crypt	Vampire	Vampire	Banu Haqim	2	5	obf CEL QUI			FN	AH:V3, FN:PA, POD:DTC	Independent: Blood cursed.	playerNCrypt
abdelsobekg5	Abdelsobek	vampire-the-eternal-struggle/lotn/Vtes-LotN-Abdelsobek.jpg	crypt	Vampire	Vampire	Ministry	5	5	for nec obf pre ser			LotN	LotN:U, POD:DTC	Independent: Abdelsobek can unlock a vampire or mummy you control as a +1 stealth action.	playerNCrypt
abderrahimdeathshandg6	Abderrahim, Death's Hand	vampire-the-eternal-struggle/sv5/Vtes-SV5-AbderrahimDeathsHand.jpg	crypt	Vampire	Vampire	Lasombra	6	9	tha AUS DOM OBL POT			SV5	SV5:PDeath1	Sabbat: During an action, Abderrahim can burn 1 blood to give an ally or younger vampire you control +1 stealth. +1 strength.	playerNCrypt
