databaseId	name	imageUrl	cardBack	type	cardsubtype	cost	deckbuilderQuantity	defense	destiny	energy	faction	lore	numberInPack	packName	power	setUuid	supportcost	tactics	text
00f7d525-5015-4236-a8f4-380f622d52ed	Diplomacy Bot	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-DiplomacyBot.jpg	normal	CHARACTER	CHARACTER � Bot � Unit	5	4	3	4		Independent	"�Force is all-conquering, but its victories are short-lived.� � Abraham Lincoln"	1U278	Incursion	2	d49b7fa3-163b-4e9c-9e32-69f47d4363d4		1	"Each time you lose a battle here, if your casualties are more than 5, they are reduced to 5."
011872b6-2ab2-4603-bc3a-a6a458074fe3	Torrid Katal	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-TorridKatal.jpg	multi_sided	CHARACTER	CHARACTER � Katal � Inverter � Unit	1	4	3/3	3		Quay	"After kundanaka, their hides become ashen, and their minds burn with rage."	1C271	Incursion	1/3	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1 Quay	1/1	Pay 2 energy ? Invert this unit. / � Pay 2 energy ? You cause attrition +1 here until end of turn.
011872b6-2ab2-4603-bc3a-a6a458074fe3	Torrid Katal	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-TorridKatal-2.jpg	multi_sided	CHARACTER	CHARACTER � Katal � Inverter � Unit	1	4	3/3	3		Quay	"After kundanaka, their hides become ashen, and their minds burn with rage."	1C271	Incursion	1/3	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1 Quay	1/1	Pay 2 energy ? Invert this unit. / � Pay 2 energy ? You cause attrition +1 here until end of turn.
011872b6-2ab2-4603-bc3a-a6a458074fe3	Torrid Katal	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-TorridKatal-3.jpg	multi_sided	CHARACTER	CHARACTER � Katal � Inverter � Unit	1	4	3/3	3		Quay	"After kundanaka, their hides become ashen, and their minds burn with rage."	1C271	Incursion	1/3	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1 Quay	1/1	Pay 2 energy ? Invert this unit. / � Pay 2 energy ? You cause attrition +1 here until end of turn.
0145c2d3-2af6-4a66-9786-4126d4510d90	?Chindon Relk	wars-trading-card-game/nowhere-to-hide/WARSTradingCardGame-NowhereToHide-ChindonRelk.jpg	normal	CHARACTER	CHARACTER � Kizen � CISyn � Unit	2	4	4	5		Earther	"""Relk is one of CISyn�s new recruits. He can�t remember much about his past, but that seems to be common in his current assignment."""	2U2	Nowhere to Hide	1	f503fc45-3379-4d7d-907c-106b7fcf7e08	2 Earther	2	Your battle destiny in a site battle here is +1 for each of your kizen here and at each related site.
01dca171-3c0e-4c4c-bf83-ecb57db69d04	Expansion - WARS First Tournament Weekend Oct 2004	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-ExpansionWARSFirstTournamentWeekendOct2004.jpg	normal	INTERRUPT	INTERRUPT (Lost)	0	60		3		Independent	"Location, location, location."	1F26	Incursion		d49b7fa3-163b-4e9c-9e32-69f47d4363d4			"Choose one: Download an encampment that has a support icon matching one you have in play; or, if you have only one type of support icon in play, download an encampment. (When you download a card, search your reserve for that card, reveal it to your opponent, and put it in your hand. Then shuffle your reserve.)"
03a3728e-ef84-4abb-b3e0-8319db0adcd8	The Beckoning	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-TheBeckoning.jpg	normal	ORDER	ORDER (Used)	0	4		4		Quay	"In times of distress, Quay call for aid through minute vibrations of their carapace."	1C270	Incursion		d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1 Quay		"Search your used pile for an inverter, put it in your hand, then shuffle your used pile."
04cca0c8-3c11-4b5a-a26b-5ea33e85fce7	Gishi Combat Tech	wars-trading-card-game/nowhere-to-hide/WARSTradingCardGame-NowhereToHide-GishiCombatTech.jpg	normal	CHARACTER	CHARACTER � Deigan � Tech � Unit	2	4	2	1		Gongen	Fusion generators require skilled engineers like Yoro Tosunta to keep them in tune.	2U34	Nowhere to Hide	1	f503fc45-3379-4d7d-907c-106b7fcf7e08	1 Gongen	2	Damage this character ? Put your target bot here or your target vehicle here in its owner�s hand. You may use this ability only during a battle here.
05277bd7-a2c7-4d4a-b683-7d2d1918b7c5	?Themis/Mobile Asteroid	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-ThemisMobileAsteroid.jpg	normal	SECTOR	LOCATION (Sector) � Asteroid	0	4		0	2/1			1C323	Incursion		d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1 Maverick		"As long as you have a ship here, your side of this location gains a [Maverick] support icon."
05395899-3d06-4c0e-b0bb-7ce0f46989eb	�Hostilities Unleashed	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-HostilitiesUnleashed.jpg	normal	INTERRUPT	INTERRUPT (Lost)	2	4		6		Earther	�Victory belongs to the most persevering.� � Napoleon Bonaparte	1R28	Incursion		d49b7fa3-163b-4e9c-9e32-69f47d4363d4	3 Earther		You may play this interrupt only when you could perform an attack. Perform an attack at no cost at target location where a battle has already taken place this turn.
05980814-23b2-478c-a378-13417663b2a4	Ikazuchi Follower	wars-trading-card-game/nowhere-to-hide/WARSTradingCardGame-NowhereToHide-IkazuchiFollower.jpg	normal	CHARACTER	CHARACTER � Ikazuchi � Warrior � Unit	3	4	3	3		Gongen	�In your might and glory I place my hand. Guide my weapon in your service.� � Kazui Oko	2C38	Nowhere to Hide	2	f503fc45-3379-4d7d-907c-106b7fcf7e08	2 Gongen	2	"As long as this character is damaged, it is power +2"
066fc383-bd9d-4772-8b39-bebd5b4f0a5c	?Aggressive Stance	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-AggressiveStance.jpg	normal	ASSET	ASSET	2	4		3		Independent	�If an injury has to be done to a man it should be so severe that his vengeance need not be feared.� � Niccolo Machiavelli	1U275	Incursion		d49b7fa3-163b-4e9c-9e32-69f47d4363d4			"Each attack you perform costs 1 less energy to perform. As an additional cost for a player to drain, that player pays 3 energy unless he or she has a ship at a battleground sector and a unit at a battleground site."
0685b153-98ae-432d-96ef-70e556400475	Honorable Death	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-HonorableDeath.jpg	normal	ASSET	ASSET	1	4		5		Gongen	�Tigers die and leave their skins; people die and leave their names.� � Traditional	1U74	Incursion		d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1 Gongen		"Each time one of your fighters is lost from a battle, you may stack it on this asset. Dismiss this asset ? Make your total power at target sector +2 until end of turn for each fighter stacked on this asset."
072f0686-757f-40b6-acfa-23e2d872aee4	?Ivan McCarr	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-IvanMcCarr.jpg	normal	CHARACTER	CHARACTER � CISyn � Infiltrator � Unit	4	4	0	4		Earther	McCarr mastered his craft as a Gongen agent. The Coordination and Intelligence Syndicate proved that his loyalty could be bought.	1U34	Incursion	0	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	3 Earther	2	"As an additional cost for your opponent to use a support icon here, he or she pays 1 energy."
077e3752-d573-4cec-8757-33385fe83426	Nimble Jockey	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-NimbleJockey.jpg	normal	CHARACTER	CHARACTER � Hellcats � Unit	3	4	3	3		Maverick	�What idiot fitted a plasma accelerator in front of the filter? Wait... that was me.�	1C141	Incursion	2	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	2 Maverick	2	"Piloting 2 (As long as this character is aboard a ship, that ship is power +2 and tactics +2.) � Pay 4 energy ? Make a ship this character is aboard power+[D] until end of turn."
08e79173-aacd-4571-9036-5ef6b317fd19	Ilna Guide	wars-trading-card-game/nowhere-to-hide/WARSTradingCardGame-NowhereToHide-IlnaGuide.jpg	normal	CHARACTER	CHARACTER � Qurim � Tech � Unit	2	4	3	2		Quay	"The Ilna�s talents lay primarily in shipbuilding. Some, like Alakan, are also able pilots."	2C128	Nowhere to Hide	2	f503fc45-3379-4d7d-907c-106b7fcf7e08	2 Quay	1	"Piloting 1 (As long as this character is aboard a ship, that ship is power +1 and tactics +1.) As long as this character is at a sector, each ship here without a character who has piloting aboard is tactics �1."
09b075ef-3549-4cd8-a2b0-a3d415544846	?Banak Ilnasit	wars-trading-card-game/nowhere-to-hide/WARSTradingCardGame-NowhereToHide-BanakIlnasit.jpg	normal	CHARACTER	CHARACTER � Kizen � Qurim � Unit	7	4	5	1		Quay	"�Though we are new to the Council, the impact of the Qurim will soon resonate throughout this system.�"	2R117	Nowhere to Hide	4	f503fc45-3379-4d7d-907c-106b7fcf7e08	3 Quay	4	"Each time you win a battle here, you may damage target other unit here. If you do, you may undamage this character."
